"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F24B","DOMESTIC STOVES OR RANGES FOR SOLID FUELS  (for solid fuels in combination with gaseous fuels, liquid fuels or other kinds of energy supply F24C1/02); IMPLEMENTS FOR USE IN CONNECTION WITH STOVES OR RANGES","F24C1/02","Bakers' ovens; machines or equipment for bakingCombustion apparatus using only solid fuelCombustion apparatus using fluent fuelBurnersGrates; cleaning or raking gratesRemoval of combustion products (ashes) or combustion residuesConstructional details of combustion chambersIgnitionOther domestic stoves or ranges; details of domestic stoves or ranges of general applicationDomestic- or space-heating systems; domestic hot water supply systemsFluid heaters, e.g. water or air heaters, having heat generating meansHeat-exchange apparatus","A21B|F23B|F23C|F23D|F23H|F23J|F23M|F23Q|F24C|F24D|F24H|F28D","","","Combustion chambera chamber in which fuel is burned to establish a self-supporting fire or flame and which surrounds that fire or flameBurnera device by which fluent or pulverised fuel is passed to a combustion space where it burns to produce a self-supporting flame. A burner includes means for feeding air that are arranged in immediate connections with a fuel feeding conduit, for example concentric with it.Aira mixture of gases containing free oxygen and able to promote or support combustionPrimary airair supplied to the burning fuel, e.g. together with the fuel, in order to liberate combustible gasesSecondary airair supplied to the combustible gases liberated by the primary air in order to complete their combustion. The expression ""secondary air"" covers ""tertiary air"" etc.Combustionthe direct combustion of oxygen gas, e.g. in air, and a burnable substanceCombustion zonethe part of an apparatus where the reaction takes place between air and fuel","This place covers: Domestic stoves or ranges for solid fuel. The solid fuel can be in the form of lumps or pieces, e.g. coal, briquettes or firewood, or pulverulent or granulated material, e.g. wood pellets."
"F24B1/00","Stoves or ranges","","Catalytic processesSolid fuelsStorage heaters, i.e. heaters in which energy is stored as heat in masses for subsequent release","B01D53/86|C10L5/02|F24H7/00","","","","This place covers: Closed stoves and stoves with open fires, e.g. fireplaces. A fireplace comprising a door, optional with a window for a visual aspect, is considered as a stove with open fire. Ranges for cooking with optionally a baking oven."
"F24B1/06","Construction of tiles or bracing means therefor, e.g. shim liner","","Forming of tiles in general Glazing of tiles in general ","B28B|C04B","","","",""
"F24B1/187","Condition responsive controls for regulating combustion ","","Valves or dampers for air supply Regulating or controlling combustion","F23L|F23N","","","",""
"F24B3/00","Heaters not covered by group F24B1/00, e.g. charcoal braziers ","F24B1/00","","","","","","This place covers: Heaters for burning solid fuel, e.g. brazier, fire-pits or fire basket."
"F24B5/00","Combustion-air or flue-gas circulation in or around stoves or ranges  (stoves with open fires with air-handling means F24B1/185)","F24B1/185","","","","","","This place covers: Combustion-air or flue-gas circulation in or around stoves or ranges; The supply of combustion air in or around stoves. The air could be primary air supplied to the burning fuel and/or secondary air for completing combustion. Circulation of flue gases in or around stoves or ranges in order to improve heat exchange."
"F24B5/021","{combustion-air circulation}","","Valves or dampers for air supply Regulating or controlling combustion","F23L|F23N","","","",""
"F24B7/00","Stoves, ranges or flue-gas ducts, with additional provisions for convection heating   (stoves with open fires characterised by use of heat exchange means F24B1/188)","F24B1/188","Baffles or deflectors for air or combustions productsAir heaters having heat generating meansHeat-exchange apparatus - air heaters for domestic or space-heating systems, the heat being derived from steam or hot gases, e.g. exhaust gases","F23M9/00|F24H3/00|F28D21/0008","","","","This place covers: Provisions for convection heating to improve the heat exchange between the stove or range and the surrounding. These provisions could be placed external, e.g. annular device surrounding a flue-gas duct or placed internal."
"F24B9/00","Stoves, ranges or flue-gas ducts, with additional provisions for heating water   (stoves with open fires with additional provisions for cooking F24B1/182; for heating water F24B1/183)","F24B1/182|F24B1/183","Solid fuel fired boiler for central heating installationsWater heaters having heat generating means, e.g. boiler, flow-heater, water-storage heaterSolid fuel fired boiler for fluid heaters, e.g. water heaters","F24D2200/06|F24H1/00|F24H2230/00","","","","This place covers: Stoves or ranges comprising additional provisions for heating water. The water could be used as domestic water or for central heating."
"F24B13/00","Details solely applicable to stoves or ranges burning solid fuels   (component parts or accessories for stoves with open-fires F24B1/191)","F24B1/191","Ceramic materials, Grates; cleaning or raking of gratesRemoving ash, clinker, or slag from combustion chamberRemoving solid residues from passages or chambers beyond the fire, e.g. from flues by soot blowersJoints or connections for chimneys or fluesMouths or inlet holes for chimneys or fluesCasings, linings, walls for combustion chambersMeans for supervising combustion, e.g. window","C04B33/00|C04B35/00|F23H|F23J1/00|F23J3/00|F23J13/04|F23J13/06|F23M5/00|F23M11/04","","","","This place covers: Details of stoves, e.g. doors for closed stoves, arrangements for removal of ashes, arrangements or mountings of fire-grates or arrangements for feeding solid fuel."
"F24B13/02","Arrangement or mountings of fire-grate assemblies; Arrangement or mountings of linings for fire-boxes, e.g. fire-backs ","","Ceramic materials , Grates in general Casings, linings, walls for combustion chambers in general ","C04B33/00|C04B35/00|F23H|F23M","","","",""
"F24B13/04","Arrangements for feeding solid fuel, e.g. hoppers ","","Feeding solid fuel to combustion apparatus in general ","F23K","","","",""
"F24B15/00","Implements for use in connection with stoves or ranges","","Crushing, pulverising or disintegrating in generalSeparating solids from solids by sieving, screening or siftingRemoval or treatment of combustion products or combustion residues Devices for igniting","B02C|B07B|F23J|F23Q","","","","This place covers: Devices used in connection with stoves, e.g. scratchers, pokers, ash-sifters, coal boxes, shovels to remove ashes and grippers for manipulation of firewood. Devices for starting a fire or stirring up the fire."
"F24B15/005","{Igniting devices; Fire-igniting fans}","","Charcoal igniting devices for barbecuesFirelighters BellowsIncandescent igniters for igniting solid fuelGas pokers","A47J37/079|C10L11/00|F04B45/02|F23Q7/02|F23Q13/02","","","",""
