"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F25C","PRODUCING, WORKING OR HANDLING ICE","","Concentrating solutions by removing frozen solventsPurification of water by freezingRefrigeration machines, plants, or systemsRefrigerators; cold rooms; ice-boxes; cooling or freezing apparatusSolidification of gases or gaseous mixturesFreeze-drying","B01D9/04|C02F1/22|F25B|F25D|F25J|F26B","Control means for production, working, storing or distribution of ice are classified in .Sensors for production, working, storing or distribution of ice are classified in .","F25C2600/00|F25C2700/00","IceAny frozen liquid and also covers frozen semi-liquids or pasty substances",""
"F25C1/00","Producing ice  (F25C3/00 takes precedence)","F25C3/00","Production of ice slurriesForced air circulation with compartments at different temperatureForced air circulation through special compartmentsForced air circulation with air guides Forced air circulation characterized by the air returnForced air circulation characterized by the air supplyForced air circulation characterized by air ductsForced air circulation characterized by the fans","F25C2301/002|F25D17/065|F25D2317/061|F25D2317/063|F25D2317/065|F25D2317/066|F25D2317/067|F25D2317/068","Multiple classification in  for the air flow to cool the ice mould. Multiple classification in  for cooling the ice mould with a Peltier element.Multiple classification in  for cooling the ice mould with an evaporator.","F25D17/06|F25B21/02|F25B39/02","","This place covers: Freezers for pelletizing/granulating liquids. Production of ice slurries. Illustrative example of subject matter classified in this group."
"F25C1/04","by using stationary moulds","","Producing ice by using rotating or otherwise moving mouldsIce trays positioned manually inside a freezer after being filled manually with waterHarvesting ice including rotating or tilting or pivoting of a mould or tray Refrigerator unitsUsing Peltier effectsFan speed control of evaporator fansForced air circulation Through special compartmentsAlong the inside of doorsWith air guidescharacterized by the air returncharacterized by the air supplycharacterized by the air ductscharacterized by the fans","F25C1/10|F25C1/24|F25C2305/022|F25C2400/10|F25B2321/02|F25B2600/112|F25D17/065|F25D2317/061|F25D2317/062|F25D2317/063|F25D2317/065|F25D2317/066|F25D2317/067|F25D2317/068","Multiple classification in  are necessary when constructional details of the mould itself are claimed.Multiple classification in  and  when the mould is cooled by:a Peltier element () or an evaporator ().Multiple classification in  and  when the mould is cooled by forced air circulation ().Multiple classification in  when the automatic ice producing unit is placed inside a household refrigerator.","F25C1/22|F25C1/04|F25B|F25B21/02|F25B39/02|F25C1/04|F25D|F25D17/065|F25C2400/10","","This place covers: Automatic ice producing units using moulds which are not rotated or moved during freezing of the water. Drive units to harvest ice of automatic ice makers with stationary mould during freezing. Illustrative example of subject matter classified in this group."
"F25C1/045","with the open end pointing downwards","","Harvesting ice including rotating or tilting or pivoting of a mould or tray ","F25C2305/022","Multiple classification in  when constructional details of the mould itself are claimed.","F25C1/22","","This place covers: Automatic ice producing units using moulds which are not rotated or moved during freezing of the water, the mould has an open end pointing downwards. Drive units to harvest ice for automatic ice makers with stationary mould during freezing, the mould with the open end pointing downwards. Illustrative example of subject matter classified in this group."
"F25C1/06","open or openable at both ends","","","","","","","This place covers: Automatic ice producing units using moulds which are not rotated or moved during freezing of the water, the mould is open or openable at both ends. Production of bar-ice. Illustrative example of subject matter classified in this group."
"F25C1/08","by immersing freezing chambers {, cylindrical bodies} or plates into water","","Producing ice by freezing water on cooled surfaces, e.g. to form slabs ","F25C1/12","","","","This place covers: Producing ice by immersing cooling fingers, rods, conduits, pipes, chambers or plates into water. Illustrative example of subject matter classified in this group."
"F25C1/10","by using rotating or otherwise moving moulds  (F25C1/08 takes precedence)","F25C1/08","By using stationary moulds","F25C1/04","Rotation of moulds during harvesting of ice is classified in  or lower and .","F25C5/02|F25C2305/022","","This place covers: Producing ice by using rotating or otherwise moving moulds during freezing of water. Illustrative example of subject matter classified in this group."
"F25C1/12","by freezing water on cooled surfaces, e.g. to form slabs","","","","","","","This place covers: Producing ice by freezing water on cooled surfaces. Ice slabs. Illustrative example of subject matter classified in this group."
"F25C1/125","{on flexible surfaces}","","","","","","","This place covers: Producing ice by freezing water on flexible surfaces. Illustrative example of subject matter classified in this group."
"F25C1/14","to form thin sheets which are removed by scraping or wedging, e.g. in the form of flakes","","","","","","","This place covers: Producing ice by freezing water on cooled flat surfaces to form thin sheets which are removed by scraping or wedging, e.g. in the form of flakes. Illustrative example of subject matter classified in this group."
"F25C1/142","from the outer walls of cooled bodies","","","","","","","This place covers: Producing ice by freezing water on cooled surfaces to form thin sheets which are removed by scraping or wedging from the outer walls of cooled bodies. Illustrative example of subject matter classified in this group."
"F25C1/145","from the inner walls of cooled bodies","","","","","","","This place covers: Producing ice by freezing water on cooled surfaces to form thin sheets which are removed by scraping or wedging from the inner walls of cooled bodies. Illustrative example of subject matter classified in this group."
"F25C1/147","by using augers","","","","","","","This place covers: Producing ice by freezing water to form thin sheets which are removed from the inner walls of cooled bodies by using augers. Illustrative example of subject matter classified in this group."
"F25C1/22","Construction of moulds; Filling devices for moulds","","Metering by volume in general","G01F","Multiple classification in  when an automatic ice producing unit with stationary mould is claimed.Multiple classification in  when ice produced in mould is used to cool glasses, bottles, etc.Multiple classification in  when mould is used to create a snow sculpture.","F25C1/04|F25D3/08|F25C3/00","","This place covers: Moulds for non-automatic ice production. Constructional details of moulds of automatic ice production."
"F25C1/24","for refrigerators, e.g. freezing trays","","Producing ice by using stationary moulds","F25C1/04","","","","This place covers: Construction of moulds to be filled by tap water manually and placed inside refrigerators manually."
"F25C1/243","Moulds made of plastics e.g. silicone","","","","","","","This place covers: Construction of moulds to be filled by water manually and placed inside refrigerators manually, the moulds made of plastics, e.g. silicone. Illustrative example of subject matter classified in this group."
"F25C1/246","Moulds with separate grid structure","","","","","","","This place covers: Construction of moulds to be filled manually with water and placed manually inside a refrigerator, the mould has a separate grid structure. Illustrative example of subject matter classified in this group."
"F25C3/00","Processes or apparatus specially adapted for producing ice or snow for winter sports or similar recreational purposes, e.g. for sporting installations; Producing artificial snow","","Spraying apparatus for discharge of liquids or other fluent materials from two or more sourcesSimulating ice or snowFoundations or pavings for artificial surfaces for outdoor or indoor practice of snow or ice sportsWorking on surfaces of snow or ice in order to make them suitable for traffic or sporting purposes","B05B7/00|C09K3/24|E01C13/10|E01H4/00","","","",""
"F25C3/02","for ice rinks","","Shape of rinks Construction of rinks ","A63C19/10|E01C","","","",""
