"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F41A","FUNCTIONAL FEATURES OR DETAILS COMMON TO BOTH SMALLARMS AND ORDNANCE, e.g. CANNONS; MOUNTINGS FOR SMALLARMS OR ORDNANCE","","","","","","","This place covers: This subclass covers those features or details which are considered to be of a kind generally applicable to, or to be concerned with intrinsic functions common to, both smallarms and ordnance. Such features or details are classified in this subclass, even if they are stated to be applied only to smallarms or only to ordnance."
"F41A1/00","Missile propulsion characterised by the use of explosive or combustible propellant charges  (projecting missiles without use of explosive or combustible propellant charge F41B; launching rockets or torpedoes F41F3/00; missile self-propulsion F42B15/00)","F41B|F41F3/00|F42B15/00","","","","","","This place covers: Propulsion is to be interpreted as the launching process of a missile within the barrel. Emphasis is made on the ""characterised by"", obviously only documents with characteristic propulsion systems are included in this subclass, since every single firearm launches missiles with a pyrotechnic propellant charge."
"F41A1/02","Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length; Multistage missile propulsion","","","","","","","This place covers: Multistage propulsion is generated by the firearm and NOT the missile, usually by using multiple sequentially triggered propellant chambers located at different locations along the barrel."
"F41A1/06","Adjusting the range without varying elevation angle or propellant charge data, e.g. by venting a part of the propulsive charge gases, or by adjusting the capacity of the cartridge or combustion chamber {(adjusting the range by using gas-relieving ports in the barrel F41A21/28)}","F41A21/28","","","","","","This place covers: Mechanical aspects of the range adjustments."
"F41A1/08","Recoilless guns, i.e. guns having propulsion means producing no recoil","","Cartridge ammunition for recoilless guns","F42B5/05","","","","This place covers: Guns with means for eliminating recoil by accelerating a mass in a direction opposite to the missile propulsion direction. Usually through Venturi pipes or by causing a part of the propellant gases to be expelled rearwardly to counteract the recoil forces."
"F41A1/10","a counter projectile being used to balance recoil","","","","","","","This place covers: The counter projectile can be a disintegrating projectile, e.g. comprising liquid or powder."
"F41A3/00","Breech mechanisms, e.g. locks","","","","","","BreechThe rear part of the bore of a gun barrel, especially the opening that permits the projectile to be inserted at the rear of the bore.","This place covers: The breech mechanism, i.e. the breech block itself and the mechanism enabling the opening and closing and if applicable the locking of the breech. Furthermore the mounting of the breech block and mechanism is covered."
"F41A3/66","Breech housings or frames; Receivers","","Weapons manufactured from plastics:","B29L2031/777","","","",""
"F41A3/78","Bolt buffer or recuperator means","","","","","","","This place covers: The primary mechanism in automatic and semi-automatic firearms for bringing the bolt or breech block back into closed position after a recoil cycle."
"F41A5/00","Mechanisms or systems operated by propellant charge energy for automatically opening the lock","","Bolt buffers or recuperator meansGun mounting permitting recoil or return to battery","F41A3/78|F41A25/00","","","","This place covers: Mechanisms for opening the lock of semi-automatic and automatic firearms using ONLY the energy provided by the propellant charge during the launching of the projectile, i.e. autonomous systems, independent from an auxiliary source of energy."
"F41A5/08","having an accelerator lever acting on the breech-block or bolt during the opening movement","","Delaying breech opening movements","F41A3/62","","","",""
