"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F41F","APPARATUS FOR LAUNCHING PROJECTILES OR MISSILES FROM BARRELS, e.g. CANNONS  (smallarms F41C); LAUNCHERS FOR ROCKETS OR TORPEDOES; HARPOON GUNS  (functional features or details common to both smallarms and ordnance, mountings therefor F41A; projecting missiles without use of explosive or combustible propellant charge F41B)","F41C|F41A|F41B","","","","","","This place covers: Projectile launchers per se, except for smallarms which are covered in  , i.e. cannons, mortars, medium/large calibre guns, artillery guns, ordnance. Launchers for self propelled missiles, i.e. rockets and torpedos. Gravity propelled missile launchers and missile launching apparatuses without barrels."
"F41F1/00","Launching apparatus for projecting projectiles or missiles from barrels, e.g. cannons  (F41F3/00 takes precedence); Harpoon guns","F41F3/00","","","","","","This place covers: Includes the projectile launching apparatuses with a barrel which is larger than smallarms. A barrel being defined as a gun tube with a closable breech at the proximal end. Includes mortars. Includes harpoon guns projecting harpoons with a pyrotechnic charge."
"F41F3/00","Rocket or torpedo launchers","","","","","","","This place covers: Launchers for rockets, including portable rocket tubes and vehicle/infrastructure mounted rocket pods or silos. Torpedo launchers from above (ship, land and air) and below the water surface."
"F41F3/04","for rockets","","","","","","","This place covers: Launchers for rockets, i.e. missiles including a warhead and a rocket propulsion system or self propelled missiles."
"F41F3/048","Means for imparting spin to the rocket before launching","","","","","","",""
"F41F3/055","Umbilical connecting means {(means for facilitating disengagement of electric line connector coupling parts in general H01R13/633)}","H01R13/633","Command link guidance using wiresWire guided self propelled missilesMeans for facilitating disengagement of electric line connector coupling parts","F41G7/32|F42B15/04|H01R13/633","","","",""
"F41F3/07","Underwater launching-apparatus","","Arrangements on submarines for launching missiles","B63G8/30","","","",""
"F41F3/08","for marine torpedoes {(F41A23/22 takes precedence)}","F41A23/22","Arrangements on submarines of torpedo launch installations","B63G8/32","","","",""
"F41F5/00","Launching-apparatus for gravity-propelled missiles or projectiles  (from aircraft B64D1/04)","B64D1/04","","","","","","This place covers: Includes devices for dropping warheads from a certain height only propelled by gravity, e.g. from land vehicles or buildings."
"F41F7/00","Launching-apparatus for projecting missiles or projectiles otherwise than from barrels, {e.g. using spigots} (F41F3/04 takes precedence; {centrifugal sling apparatus F41B3/04})","F41F3/04|F41B3/04","","","","","","This place covers: Residual maingroup for projectile or missile launchers not covered by   -   and   -  ."
