"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01J","MEASUREMENT OF INTENSITY, VELOCITY, SPECTRAL CONTENT, POLARISATION, PHASE OR PULSE CHARACTERISTICS OF INFRA-RED, VISIBLE OR ULTRA-VIOLET LIGHT; COLORIMETRY; RADIATION PYROMETRY  (light sources F21, H01J, H01K, H05B; investigating properties of materials by optical means G01N)","F21|H01J|H01K|H05B|G01N","Apparatus for testing or examining the human eyesColour determination, selection, or synthesis in painting or artistic drawing, e.g. use of colour tablesLight sourcesIndicating or recording measured values in generalTesting of optical apparatusSunshine-duration recordersOptical elements, systems or apparatusInterference filters, gratings, lenses, etc. per seControl of light by devices or arrangements the optical operation thereof is modified by changing the optical properties of the medium of the devices or arrangementsControl of light in generalMass spectrometryDischarge lamps, , Electric incandescent lampsSemiconductor devices sensitive to light, , Semiconductor devices for light emission, e.g. LEDs, , Thermoelectric elements per se, Lasers, Electric arc lampsElectroluminescent light sources","A61B3/00|B44D3/00|F21|G01D|G01M11/00|G01W1/12|G02B|G02B|G02F1/00|G05D25/00|H01J49/00|H01J61/00|H01J63/00|H01J65/00|H01K|H01L27/14|H01L31/00|H01L51/42|H01L27/15|H01L33/00|H01L51/50|H01L35/00|H01L37/00|H01S3/00|H01S5/00|H05B31/00|H05B33/00"," comprises Indexing Codes corresponding to EC classes and Indexing Codes corresponding to finer subdivisions of EC classes. Generally speaking, the classification policy in  is to allocate all relevant EC classes and make a correspondingly limited use of Indexing Codes (by opposition to policies in some other fields, where for example a single EC class is given and all other aspects are allocated in the form of Indexing Codes). The limited use of the Indexing Codes in  is defined as follows:The Indexing Codes corresponding to EC classes (e.g. , corresponding to EC class ) should be given to a document which should not have an EC class in  (because it relates primarily to another field) but which describes a side aspect of potential relevance for the subject-matter of the corresponding group (e.g. ).Of the Indexing Codes corresponding to finer subdivisions of EC classes, only a limited number is used, because the classification practice has shown that not all of these Indexing Codes are necessary and that a danger of loosing in classification consistency exists, due to potential overlaps between these groups. A list of the Indexing Codes (corresponding to finer subdivisions of EC classes) to be used is appended under the headers of each section below (, , etc.).","G01J|G01J|G01J|G01J1/04|G01J1/04|G01J|G01J1/04|G01J1/00|G01J3/00","Opticalconcerning light with wavelengths in the infrared, visible and ultraviolet domainsUVUltravioletVisVisibleNIRNear Infra Red","This place covers: Apparatus or methods for measuring properties of infra-red, visible, or ultra-violet light, for the purpose of: Photometry not otherwise provided for ( ) Spectrometers and spectroscopy per se : measurement of the spectral content of incident light and spectroscopic methods used in this process ( ) Colorimetry per se ( ) Measurement of temperature by optical means (remote detection of infrared radiation, non-contact) ( ) Polarimeters and polarimetry per se : passive measurement of the state of polarisation of incident light ( ) Measurement of the velocity of light ( ) Measurement of optical phase differences : wavefront and coherence measurements ( ) Measurement of the wavelength of incident light ( ) Measurement of the characteristics of ultrashort pulses ( )"
"G01J1/00","Photometry, e.g. photographic exposure meter  (spectrophotometry G01J3/00; specially adapted for radiation pyrometry G01J5/00 {; exposure meters built in cameras G03B17/06})","G01J3/00|G01J5/00|G03B17/06","SpectrophotometrySpecially adapted for radiation pyrometryMedical goniometersSolar simulators, Investigating biological material (sunscreen on skin)Meteorology/sun lightFor the control of intensity, phase, colour of light","G01J3/00|G01J5/00|A61B5/1071|F21V13/08|F21S8/006|G01N33/5088|G01W1/12|G05D25/00","In , the list of Indexing Codes corresponding to finer subdivisions of EC classes and being in use is the following:These Indexing Codes therefore belong to the list of codes which must be considered for use during classification.The further remaining Indexing Codes, not appearing in this list above, optionally may be considered as well, but these additional codes, being only optional, cannot be considered as a reliable help for search, because they are not complete.Indexing Code  is used for classifying the aspect of synchronous detection for all apparatuses of .","G01J1/00|G01J2001/0276|G01J2001/028|G01J2001/0285|G01J2001/0481|G01J2001/0485|G01J1/0488|G01J1/0492|G01J2001/4238|G01J2001/4242|G01J2001/4247|G01J2001/4261|G01J2001/4266|G01J2001/4406|G01J2001/442|G01J2001/4426|G01J2001/4433|G01J2001/444|G01J2001/4242|G01J","","This place covers: Photometry per se, photodetection principles, solar radiance measurements, goniophotometry, aspects of integrating sphere measurement theory, standard sources for perfoming photometry; e.g. relating to exposure meters, scalar irradiance meters, directionally sensitive photodetectors, sunshine monitors, laser power meters, illuminometers, standard flashing lights, domestic lighting measurements, measurement of street lighting."
"G01J1/02","Details","","","","","","","This place covers: Optical or mechanical details specific to photometry, e.g. relating to removing stray light, photometer field of view determination, pointing of a photometer, housings, user interfaces or display arrangements"
"G01J1/04","Optical or mechanical part {supplementary adjustable parts}","","Reflective bafflesIntegrating spheresFilters, filter glassesSolar radiation detectors for controlling air-conditioning of a carSolar radiation detectors for controlling protective blades or dimming, , , , Burglar alarms, ","G01J1/0214|G01J2001/0481|G01J1/0488|B60H1/0075|E06B9/32|F21S11/00|F21S23/00|H05B39/04|G05D25/02|G08B13/00|G01J5/20","","","","This place covers: Optical or mechanical details of photometers. Optical concentrators, deflectors, attenuators, conical light guides, corrugated diffusers."
"G01J1/06","Restricting the angle of incident light","","","","","","","This place covers: Photometers having elements positioned in front of the detector for restricting the angle of incident light."
"G01J1/08","Arrangements of light sources specially adapted for photometry {standard sources, also using luminescent or radioactive material}","","","","The ""arrangements of light sources"" are not necessarily for calibration. This group covers documents referring to photometric devices making use of a light source, wherein details of the light source are an important part of the disclosure (for example the way the source itself is built). This is independent from any consideration as to calibration. In addition, documents referring to the calibration of a light sensor by means of light sources which are able to impinge the detector with known and predetermined amounts of light. These light sources used for calibrating light sensors are particular light sources, and therefore are classified in this group too. ","","","This place covers: Standard light sources, e.g. relating to deuterium lamps, argon arc, tungsten filaments. Calibration of photodetectors using these standard sources, e.g. relating to a model sky for calibration and testing, or comparison sources built in photometers for calibrating the latter."
"G01J1/16","using electric radiation detectors  (G01J1/20 takes precedence)","G01J1/20","","","","","","This place covers: Photometers based on a comparison of a value measured through electric radiation detectors with reference light or a reference electric value, e.g. relating to signal processing details, lock in amplifiers, ratio forming circuits, automatic gain control for compensation."
"G01J1/1626","{Arrangements with two photodetectors, the signals of which are compared}","","Arrangements with two or more detectors, e.g. for sensitivity compensation","G01J1/4228","","","","This place covers: Photometers, light meters, or the like, in which a second detector is used for correction, compensation, or the like. Series connected pairs of photodiodes, or the like. Differential photometers, ratiometric photometers. AGC (automatic gain control). Automatic exposure control."
"G01J1/18","using comparison with a reference electric value","","Compensation of spectrometers","G01J3/28","","","","This place covers: Compensation for drift of photometers by comparison with standard light sources, voltages, etc. Compensation for dirty lenses, temperature compensation."
"G01J1/22","using a variable element in the light-path, e.g. filter, polarising means  (G01J1/34 takes precedence)","G01J1/34","Polarizing means inserted in the light path","G01J1/0429","","","","This place covers: Photometers having means for varying the intensity of a measured or a reference value in order to equalise their effects at the detectors, and wherein said means is a variable element positioned in the light path; e.g. relating to Visual photometers in which the field of view is split to allow comparison with a standard source and which use grey wedges, adjustable slits or diaphragms, or polarisation filters which swing into the line of sight. Printed scales for light meters. Photographic exposure meters, graduated neutral density wedges. Spinning sectored discs. Polarisation photometers."
