"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01K","MEASURING TEMPERATURE; MEASURING QUANTITY OF HEAT; THERMALLY-SENSITIVE ELEMENTS NOT OTHERWISE PROVIDED FOR  (radiation pyrometry G01J5/00)","G01J5/00","Thermometer holders specially adapted to veterinary purposesAmbient temperature regulation specially adapted to passengers or goods spaces in vehiclesHeating in general, , Sensing temperature changes for compensating measurements of other variables or for compensating readings of instruments for variations in temperatureBimetallic elementsCompensating for the effects of temperature on instrumentsThermistors, i.e. thermo-resistors - Electrolytic temperature-sensitive devicesPeltier elementsSemiconductor or solid-state thermoelectric or thermomagnetic devices , ","A61D13/00|B60H1/00|F24B|F24C|F24D|G01D|G12B1/02|G12B7/00|H01C7/00|H01C7/04|H01G9/21|H01L23/38|H01L35/00|H01L37/00","For the following application fields, the following appropriate additional information is obligatory (also check the scheme for the groups):Airconditioning: Indexing code Cryogenics: Indexing code Vehicle motors: Indexing code Household appliances (e.g. cooking): Indexing code Further, the following general technical details are also obligatory as additional information using the following classes:Thermometers based on nanotechnology: Indexing code Spatial (2D) mapping of temperature: Indexing code Details or special adaptations concerning the sensor power supply: Indexing code Dedicated Analog to Digital Converters for temperature sensors: Indexing code ","G01K2201/00|G01K2203/00|G01K2205/00|G01K2207/00|G01K2211/00|G01K2213/00|G01K2215/00|G01K2217/00","ThermometerIncludes thermally-sensitive elements not provided for in other subclasses.","This place covers: A detailed description of the subject matter appropriate for the subclass   is possible only at the main-group level. Provisions that are valid at a general level (e.g. of a kind appropriate to more than one of the main groups) are provided in the sections that follow. The user is otherwise referred to the definitions for the individual main groups of   which follow hereafter. The following listing is intended to assist the user: Apparatus or methods for measuring temperature, i.e. thermometers. The following types of thermometers are therefore covered, the list being non exhaustive: thermometers giving results other than momentary value of temperature; thermometers based on the expansion or contraction of a material; thermometers based on the use of electric or magnetic elements directly sensitive to heat; thermometers based on movements caused by redistribution of weight, e.g. tilting thermometer; thermometers based on other physical or chemical changes. Testing or calibrating of thermometers. Apparatus or methods for measuring quantity of heat, i.e. calorimeters. Testing or calibrating of calorimeters. Thermally-sensitive elements not otherwise provided for."
"G01K1/00","Details of thermometers not specially adapted for particular types of thermometer  (circuits for reducing thermal inertia G01K7/42)","G01K7/42","Compensation of undesired influences per seSensor housings in generalCasings for pressure sensorsIndicating of human comfortRemote indication per se","G01D3/0365|G01D11/245|G01L19/14|G01W1/17|G08C","","","","This place covers: Indicating and recording of temperature. Protective devices and casings. Support and fastening of thermometers. Conducting heat from an object to the sensor. Compensation, e.g., for ambient temperature or pressure."
"G01K1/02","Means for indicating or recording specially adapted for thermometers","","Indicating measured values, in general","G01D7/00","","","",""
"G01K1/022","for recording","","Recording measured values, in general","G01D9/00","","","",""
"G01K1/026","{arrangements for monitoring a plurality of temperatures, e.g. by multiplexing}","","","","If a temperature profile is recorded, Indexing code  is obligatory as additional information.","G01K2213/00","",""
"G01K1/08","Protective devices, e.g. casings","","","","","","","This place covers: Protective devices for preventing both chemical attack and heat overloading. Protective devices that are vibration resistant."
"G01K1/14","Supports; Fastening devices; Arrangements for mounting thermometers in particular locations","","","","To clarify difference between  and : In general  concerns internal adaptation of the sensor,  concerns mounting of an existing sensor.","G01K1/14|G01K13/00|G01K13/00|G01K1/14","",""
"G01K1/143","for measuring surface temperatures","","","","If a pipe wall temperature is measured as a reference of flowing fluid temperature inside the pipe, also classify in .","G01K13/02","","This place covers: The measurement of a representative temperature of solid, extended objects, e.g. pipes, vessels, containers, requiring that the geometry of the temperature sensor be suitably matched to the solid, extended object to be measured. For example, an apparatus for measuring the temperature of a fluid flowing in a tube by measuring the temperature of the outer surface of the tube would be classified in this group. Another example would be the geometric adaptation of a temperature sensor to measure the temperature of an electric cable carrying current."
"G01K1/146","{arrangements for moving thermometers to or from a measuring position}","","","","Thermometers fixed or removed manually are placed in .","G01K1/14","","This place covers: Automated systems moving the thermometer to and from the measurement position."
"G01K1/16","Special arrangements for conducting heat from the object to the sensitive element","","","","","","","This place covers: Preventing heat leakage. Preventing heat from electronics to affect sensor temperature."
