"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01L","MEASURING FORCE, STRESS, TORQUE, WORK, MECHANICAL POWER, MECHANICAL EFFICIENCY, OR FLUID PRESSURE  (weighing G01G)","G01G","Torque indicators in wrenches or screwdriversTyre-inflating valvesSeat occupant detectionSupplying air for tyre inflationApplication of tension indicators for adjusting or controlling tension in filamentary materialDevices for indicating tension in warp or clothEmbedding pads or other sensitive devices in paving or other road surfacesIndicating lubricant pressure in machinesIndicating coolant pressure in machines or enginesSpecial adaptations of indicating, measuring, or monitoring equipment for the filling or discharging of vesselsMeasuring the deformation in a solid by mechanical strain gaugesMeasuring the deformation in a solid by resistance strain gaugesMeasuring the deformation in a solid by optical strain gaugesMeasurement of mechanical vibrations or ultrasonic, sonic or infrasonic wavesTesting of bearingsTesting steering behaviour of vehiclesInvestigating strength properties of solid materials by application of mechanical stressDevices characterised by the determination of the variation of atmospheric pressure with height to measure the vertical components of speedScanning-probe techniques using atomic force microscopyHollow bodies deformable or displaceable under pressure, e.g. Bourdon tubes, bellowsSwitches operated by change of fluid pressureControllable semiconductor devices by variation of applied mechanical force, e.g. of pressureDynamo-electric clutches; Dynamo-electric brakes ","B25B23/14|B60C29/00|B60N2/002|B60S5/04|B65H59/40|D03D49/18|E01F11/00|F01M1/20|F01P11/18|F17C13/02|G01B5/30|G01B7/16|G01B11/16|G01H|G01M13/04|G01M17/06|G01N3/00|G01P3/62|G01Q|G12B1/04|H01H35/24|H01L29/84|H02K49/00","In , CPC is only to be used for the classification of invention information and not for classifying additional information.","G01L","Fluidgas or liquidPressureforce induced by a fluid on a surface","This place covers: Apparatus or methods for measuring force, stress, torque or the like, and particularly: force or stress, in general; torque, work, mechanical power, or mechanical efficiency, in general; force, e.g. due to impact, work, mechanical power, or torque, adapted for special purposes and for testing brakes. Apparatus or methods for measuring fluid pressure, and particularly: the steady or quasi-steady pressure of a fluid or a fluent solid material by mechanical or fluid pressure-sensitive elements; by electric or magnetic pressure-sensitive elements; by optical or acoustic means, or other means; differences of two or more pressure values, or two or more pressure values simultaneously; tyre pressure or the pressure in other inflated bodies; Apparatus or methods for measuring, indicating or recording: rapid changes, such as oscillations, in the pressure of steam, gas or liquid; work or energy of steam, internal-combustion, or other fluid-pressure engines from the condition of the working fluid; knocks in internal-combustions engines. pressure in inlet or exhaust ducts of internal-combustion engines. Vacuum gauges. Testing or calibrating of the apparatus as described. Details or accessories of the apparatus as described."
"G01L1/00","Measuring force or stress, in general  (measuring force due to impact G01L5/00)","G01L5/00","Measuring fluid pressure - , Measuring deformation of bodies as a result of stress by using gauges","G01L7/00|G01L21/00|G01L27/00|G01B","Multiple classification is allowed, sometimes necessary since for example some sub-groups are devoted to what is deformed (for instance springs in ), other to what parameter is measured (for instance capacitance/inductance in ). It is the grade of detail of the disclosure of the document which is important (for instance just mentioning that the measurement is done by measuring a capacitance without other precision is not sufficient for a classification in  or subgroups).The main Group  has a similar structure as the main group .;  take precedence, i.e. when the hydraulic or pneumatic means are used for generating the counter-balancing forces .This sub-group also contains sensor with elastomeric transmitting means (like rubber).; This sub-group contains force measurement system using the print of a pinpoint in material, or using indentation hardness (see also  hardness testing of material).; See also similar arrangement in , ,  and  in weighing systems.; The sub-group  has to be chosen when it is the material under stress in which inductance is varying, otherwise classify in .; See also semi-conductor devices controllable by variation of applied mechanical force .; Also contains sensor with the resistance material being a part of the mechanical structure of the sensor.The sub-group contains Force Sensing Resistor or FSR.; For search, in the case of ring shaped support adapted for measuring force along a single direction () see also nut tightening force measurement system () using washer ().The sub-group  also contains mounting details of the strain gauges.; This group also contains pressure sensitive films or paper or coatings having changes in optical properties when stresses are applied.The important characteristic to check for classification is to find which means are stressed by the force to be measured.For the search, in the case of the measurement of a physical variable influencing the optical properties of an optical fibre see .For the search, Bragg grating per se see ; This group also contains light beam shutters.","G01L1/04|G01L1/14|G01L1/14|G01G3/00|G01L1/00|G01L1/02|G01L1/083|G01L1/06|G01N3/40|G01L1/08|G01G5/00|G01G5/006|G01G7/04|G01G7/045|G01L1/12|G01L1/127|G01L1/14|G01L1/18|H01L29/84|G01L1/20|G01L1/22|G01L1/2231|G01L5/24|G01L5/243|G01L1/2287|G01L1/24|G01D5/353|G02B6/124|G01L1/26","","This place covers: Apparatus or methods for measuring force: by using hydraulic or pneumatic means, counterbalancing forces, piezo-electric or piezo-resistive devices, wave or particle radiation; by measuring elastic or permanent deformation of gauges; by measuring variation of frequency of stresses vibrating elements, of magnetic properties or capacitance or inductance or ohmic resistance or optical properties of the stressed material or other electrical means Auxiliary measure taken on the apparatus or methods for measuring force"
"G01L1/08","by the use of counterbalancing forces","","Automatic balancing arrangements for measuring electric variables in which a force or torque representing the measured value is balanced by a force or torque representing the reference value","G01R17/08","","","",""
"G01L1/10","by measuring variations of frequency of stressed vibrating elements, e.g. of stressed strings  (using resistance strain gauges G01L1/22)","G01L1/22","Using piezo-resistive vibrators","G01L1/183","","","",""
"G01L1/125","{by using magnetostrictive means  (magnetostrictive sensors H01L41/125)}","H01L41/125","Magnetostrictive devices in general","H01L41/12","","","",""
"G01L1/18","using properties of piezo-resistive materials, i.e. materials of which the ohmic resistance varies according to changes in magnitude or direction of force applied to the material","","","","","","",""
"G01L1/22","using resistance strain gauges","","Resistance strain gauges for measuring linear expansion or contraction","G01B","","","",""
"G01L3/00","Measuring torque, work, mechanical power, or mechanical efficiency, in general","","Measuring angle and encoders thereforMeasuring angular speed or differences of angular speed","G01D5/00|G01P3/00",";This group contains all apparatus and method for determining the value of power, not only by measuring torque, but also by measuring force or pressure multiplied by a displacement variable (angular or linear velocity).This group do not contains measurement of power adapted to special purposes (see ).; For classification and search purpose see also , testing engines by monitoring power, and , Indicators for determining work or energy of steam or internal combustion engines.","G01L3/24|G01L5/0095|G01L3/26|G01M15/044|G01L23/00","","This place covers: Apparatus or methods for measuring torque: by using rotary-transmission dynamometer like a flexible shaft or other means; by using rotary-absorption dynamometers, for instance of brake type Apparatus or methods for determining the value of power: by measuring torque and velocity, pressure and velocity, tractive or propulsive force and velocity; Apparatus or methods for measuring efficiency (ratio of power input to power output)."
"G01L3/102","{involving magnetostrictive means  (magnetostrictive sensors H01L41/125)}","H01L41/125","Magnetostrictive devices in general","H01L41/12","","","",""
"G01L3/22","electrically or magnetically actuated","","Electrical or magnetic brakes in general","H02K49/00","","","",""
