"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01M","TESTING STATIC OR DYNAMIC BALANCE OF MACHINES OR STRUCTURES; TESTING OF STRUCTURES OR APPARATUS, NOT OTHERWISE PROVIDED FOR","","Devices for testing the performance of portable percussive tools with fluid-pressure drive","B25D9/005","","","Calibrating means ascertaining the quality of a measuring or testing device, or checking, adjusting graduations of measuring or testing device.Monitoring means maintain a continuous or periodical watch (human or instrumental) on, to enable action to be taken or initiated, or a signal to be given, if undesired conditions occur.Investigating means testing or determining.Testing means determination of the presence, quality, or genuineness of object to be tested.","This place covers: Testing characterised by the objects investigated: Machines or machine parts – see definitions for  ,  ,  ,  ,  ,  Structures – see definitions for  ,  ,  ,  Apparatus not provided elsewhere – see definitions for  ,  Testing characterised by the properties investigated: Balance – see definition for  Fluid tightness – see definition for  Elasticity, deflection – see definition for  Vibration resistance – see definition for  Aerodynamic properties – see definition for  Hydrodynamic properties – see definition for  Optical properties – see definition for "
"G01M1/00","Testing static or dynamic balance of machines or structures","","Counterweights; Attaching or mounting same Correcting- or balancing-weights or equivalents means for balancing rotating bodies, e.g. vehicle wheelsMeasuring vibrations in generalMeasuring electrical variables in generalControl of mechanical oscillations Microphones or like acoustic electromechanical transducers","F16F15/28|F16F15/32|G01H|G01R|G05D19/00|H04R","","","","This place covers: Methods and apparatus for: Determining and compensating static or dynamic unbalance of machine or structures. Determining the moment of inertia of machines or structures. Static balancing of machines or structures. Determining position of centre of gravity of machines or structures. Combined machines or devices for both determining and correcting unbalance of machines or structures."
"G01M1/04","Adaptation of bearing support assemblies for receiving the body to be tested","","","","","","",""
"G01M1/12","Static balancing; Determining position of centre of gravity  (by determining unbalance G01M1/14)","G01M1/14","Levelling, stabilizing of vehicles transporting loads","B60P1/045","","","",""
"G01M1/22","and converting vibrations due to unbalance into electric variables","","","","","","",""
"G01M1/30","Compensating unbalance","","Counterweights","F16F15/28","","","",""
"G01M1/32","by adding material to the body to be tested, e.g. by correcting-weights","","Correcting-weights per se","F16F15/32","","","",""
"G01M1/34","by removing material from the body to be tested, e.g. from the tread of tyres","","Uniformity test of tyre and surface correction","G01M17/024","","","","This place covers: Devices for compensating unbalance by removing by grinding or drilling."
"G01M1/36","by adjusting position of masses built-in the body to be tested","","","","","","","This place covers: Devices for: Hydraulic positioning of balancing weights. Electric, magnetic positioning, like solenoids, motors. Mechanical positioning. Balancing with free moving parts, like balls, Balancing by using eccentric discs."
"G01M3/00","Investigating fluid-tightness of structures","","Detection of leak in washing machinesMembrane leak detection in blood dialysisDetecting medical infusion flow leakage Detecting or repairing leaks in apparatus using semi-permeable membranesLeak detection in membraneTesting for leaks in apparatus for blow-moldingMonitoring, testing or servicing air conditioning in vehiclesLeakage-indicating devices for large containersLocating fluid leaks in boreholes or wellsLeakage detectors for rocket-engine plantsLeak detection in pumpsMeans for stopping flow from pipes Preventing, monitoring or locating loss in the pipe-line and networksLeak detection in steam boilers Leakage detection in pressure sensorsInvestigating material strength by pressure testInvestigating the permeability, pore volume, or surface area of porous materialsInvestigating the presence of flaws or irregularities of material by mechanical methodsInvestigating the presence of flaws, defects or contamination by the use of optical meansInvestigating the presence of flaws by the use of microwavesInvestigating the presence of flaws by wave or particle radiation, e.g. X-raysInvestigating the presence of flaws by the use of thermal meansInvestigating the presence of flaws by the use of electric, electro-chemical or magnetic meansInvestigating the presence of flaws by the use of ultrasonic, sonic or infrasonic wavesLeakage detection for insulated conductors or cables characterised by their formMass spectrometers per se Leak testing of cell or batteries","A47L15/4212|A61M1/1692|A61M5/16831|B01D65/10|B01D65/102|B29C49/80|B60H1/00585|B65D90/50|E21B47/10|F02K9/54|F04B43/009|F16L55/10|F17D5/02|F22B37/421|G01L19/0672|G01N3/12|G01N15/08|G01N19/08|G01N21/88|G01N22/02|G01N23/18|G01N25/72|G01N27/00|G01N29/04|H01B7/32|H01J49/26|H01M10/4228","","","","This place covers: Investigating fluid-tightness of structures: Like cables, tubes, pipes, welds, pipe joints, seals, valves, containers, radiators. By using thermal means, pigs or moles, fluid or vacuum, tracer materials, infrasonic, sonic, or ultrasonic vibrations, pressure or flow or level detector, light or by using other electric means, e.g. by observing electric discharges. With leakage calibration devices and standard leak"
