"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01P","MEASURING LINEAR OR ANGULAR SPEED, ACCELERATION, DECELERATION, OR SHOCK; INDICATING PRESENCE, ABSENCE, OR DIRECTION, OF MOVEMENT  (measuring or recording blood flow A61B5/02, A61B8/06; monitoring speed or deceleration of electrically-propelled vehicles B60L3/00; vehicle lighting systems adapted to indicate speed B60Q1/54; determining position or course in navigation, measuring ground distance in geodesy or surveying G01C; combined measuring devices for measuring two or more variables of movement G01C23/00; measuring velocity of sound G01H; measuring velocity of light G01J7/00; measuring direction or velocity of solid objects by reception or emission of radiowaves or other waves and based on propagation effects, e.g. Doppler effect, propagation time, direction of propagation, G01S; measuring speed of nuclear radiation G01T; measuring acceleration of gravity G01V; {measuring or recording the speed of trains B61L23/00; speed indicators incorporated in motor vehicles B60K35/00; measuring frequency or phase G01R; traffic control G08G})","A61B5/02|A61B8/06|B60L3/00|B60Q1/54|G01C|G01C23/00|G01H|G01J7/00|G01S|G01T|G01V|B61L23/00|B60K35/00|G01R|G08G","Speed indicators incorporated in motor vehiclesDetermining position or course in navigation, measuring ground distance in geodesy or surveyingGyroscopes or turn-sensitive devices per seMechanical means for transferring the output of a sensing member; Means for converting the output of a sensing member to another variable where the form or nature of the sensing member does not constrain the means for converting; Transducers not specially adapted for a specific variableMeasuring torque Testing structures or apparatus not otherwise provided forMeasuring frequency or phaseInstruments for indicating weather conditions by measuring two or more variables, e.g., humidity, pressure, temperature, cloud cover, wind speedMeasuring short time intervalsSystems for control of linear speed, angular speed, acceleration or deceleration, e.g. governorsDevices for counting moving objects in generalRegistering or indicating the working conditions of vehiclesTraffic control","B60K35/00|G01C|G01C19/00|G01D5/00|G01L3/00|G01M|G01R|G01W1/02|G04F|G05D13/00|G06M|G07C5/00|G08G","","","","This place covers: Means to measure linear or angular rate of change of position of solid bodies or fluid mediums (speed, velocity). Means to measure rate of change of linear or angular speed or velocity (acceleration, deceleration, shock) of solid bodies or fluid mediums. Means to indicate or record movement of solid bodies or fluid mediums (presence, absence or direction). Means to test or calibrate apparatus or devices covered by this subclass."
"G01P1/00","Details of instruments","","","","","","","This place covers: Aspects of housings, e.g. related to providing particular operational conditions for the sensors, or indicating devices or recording devices"
"G01P1/02","Housings","","Component parts of measuring arrangements not specially adapted for a specific variable","G01D11/245","Means for mounting the sensor in a defined position or orientation should additionally classified in ","G01P1/00","","This place covers: Support / mountings of sensors; Sensor housings; e.g. protection against environmental influences; Housings: also sensor encapsulations, overmoulding, potting."
"G01P1/023","{for acceleration measuring devices}","","Housings for microstructural devices or systems in generalMeasuring frequency or phase","B81B|G01R","For wafer-level encapsulation Indexing Code  should be used.","G01P2015/088","",""
"G01P1/04","Special adaptations of driving means","","","","","","","This place covers: (Mechanical) transmission elements between rotating object (the speed of which is determined) and The speed indicator; e.g. flexible tachometer shaft or gearings therefor."
"G01P1/122","{Speed recorders}","","Indicating working conditions of vehicles","G07C5/08","","","",""
"G01P3/00","Measuring linear or angular speed; Measuring differences of linear or angular speeds  (G01P5/00 - G01P11/00 take precedence; {direction and speed indication G01P13/045}; counting mechanisms G06M)","G01P5/00|G01P11/00|G01P13/045|G06M","Devices for counting moving objects in general","G06M","","","",""
"G01P3/263","{by using fluidic impulse generators}","","","","","","","This place covers: (E.g. detection of cyclical modulation of fluid flow or pressure)"
"G01P3/266","{by using a vortex chamber}","","","","","","","This place covers: Detection of deflection of fluid streams caused by gyroscopic effects."
"G01P3/36","Devices characterised by the use of optical means, e.g. using infra-red, visible, or ultra-violet light  (G01P3/68 takes precedence; gyrometers using the Sagnac effect, i.e. rotation-induced shifts between counter-rotating electromagnetic beams G01C19/64)","G01P3/68|G01C19/64","Evaluation of sequences of (video-) camera images and of image processing;Gyrometers using the Sagnac effect, i.e. rotation-induced shifts between counter-rotating electromagnetic beamsVelocity measurements using electromagnetic waves per se, Determination of speed relative to a surface by using image analysis see also","G01P3/38|G01C19/64|G01S17/00|G01S17/58|G06T7/20","When classifying in this group, classification should also be considered in , in particular ","G01S17/00|G01S17/58","","This place covers: E.g. spacial filtering; speckle velocimetry;"
"G01P3/366","{by using diffraction of light  (for measuring speed of fluids G01P5/26)}","G01P5/26","General aspects, i.e. not related to rough surfaces, of optical Doppler measurements of velocity of solid objectsOptical mice","G01S17/00|G06F3/00","","","","This place covers: Optical velocity measurement exploiting the Doppler effect; e.g. LDA,LDV; determining velocity over rough surfaces."
"G01P3/44","for measuring angular speed  (G01P3/56 takes precedence)","G01P3/56","Speed sensors in internal combustion enginesSpeed sensors in electric motors;Speed sensors in commutatorless electric motors","F02D41/345|H02K11/21|H02K29/14","","","",""
"G01P3/443","{mounted in bearings  (bearings F16C)}","F16C","Sensors being integrated in bearing seals","F16J15/326","","","","This place covers: The pick-up, and/or the encoder being integrated in a bearing unit or being designed in a particular manner for the purpose of being integrated in the bearing unit; The detector elements being directly mounted to the bearing rings or to seal arrangements of the bearing."
