"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01Q","SCANNING-PROBE TECHNIQUES OR APPARATUS; APPLICATIONS OF SCANNING-PROBE TECHNIQUES, e.g. SCANNING PROBE MICROSCOPY [SPM]","","Optical microscopes in general","G02B21/00","In this subclass, the first place priority rule is applied, i.e. at each hierarchical level, classification is made in the first appropriate place.","","","This place covers: Scanning probes, i.e. devices having at least a tip of nanometre sized dimensions that scans or moves over an object surface, typically at a distance of a few angstroms or nanometres, monitoring some interaction between the tip and the surface, e.g. monitoring the generation of a tunnelling current. Techniques or apparatus involving the use of scanning probes. The following subjects are therefore covered, the list being non-exhaustive: scanning probes per se, their manufacture or their related instrumentation, e.g. holders. scanning-probe microscopy (SPM) or microscopes, i.e. the application of scanning probes to the investigation or analysis of a surface structure in atomic ranges. applications, other than SPM, involving the use of scanning probes."
"G01Q10/00","Scanning or positioning arrangements, i.e. arrangements for actively controlling the movement or position of the probe","","","","","","","This place covers: Actively controlling the movement or the location of the scanning probe tip relative to the object surface."
"G01Q10/02","Coarse scanning or positioning","","","","","","","This place covers: Generating movement of the scanning probe tip relative to the object surface at a scale larger than the resolution of the scanning probe microscope. Coarse scanning or positioning means are at least partially mechanical. Illustrative example: US6267005"
"G01Q10/04","Fine scanning or positioning","","","","","","","This place covers: Generating movement of the scanning probe tip relative to the object surface of a size comparable to the resolution of the scanning probe microscope. Fine scanning. Piezoelectrical scanning or positioning means are classified in this group. Illustrative example:"
"G01Q10/045","{Self-actuating probes, i.e. wherein the actuating means for driving are part of the probe itself, e.g. piezoelectric means on a cantilever probe}","","","","","","","This place covers: Illustrative example of subject matter classified in this group: US6422069."
"G01Q10/06","Circuits or algorithms therefor","","","","","","","This place covers: Electronic means for locating or stabilizing the movement of the scanning probe tip relative to the object surface. Electronic circuits or algorithms governing scanning. Illustrative example: US2008/0277582, Figure 6."
"G01Q10/065","{Feedback mechanisms, i.e. wherein the signal for driving the probe is modified by a signal coming from the probe itself}","","","","In the case said circuits or algorithms belong to a specific kind of scanning probe microscope, the documents about them should be classified in the class pertinent to said particular kind of scanning probe microscope: e.g. a tapping mode atomic force microscopy, wherein the detected signal is used to keep the oscillation frequency of an atomic force microscopy probe, i.e., a cantilever, at its resonance frequency, should be classified in .","G01Q60/34","","This place covers: Circuits or algorithms for driving the scanning probe during a scanning probe microscopy measurement, wherein the driving signal is adjusted during the measurement by using the detected signal coming from the interaction between the probe and the sample. Illustrative example:"
"G01Q20/00","Monitoring the movement or position of the probe","","Monitoring the movement or position of the probe with active control thereof","G01Q10/00","","","","This place covers: Methods or apparatus to monitor the movement of the probe."
"G01Q20/02","by optical means","","","","","","","This place covers: Monitoring the movement of the probe by means of light-sensitive/responsive devices. Illustrative example: US2003047675."
"G01Q20/04","Self-detecting probes, i.e. wherein the probe itself generates a signal representative of its position, e.g. piezo-electric gauge","","","","","","","This place covers: Probes comprising in their structure means for detecting a signal to control/monitor their movements, e.g. piezoelectric gauges. This group covers any kind of position-sensitive sensor integrated in the probe, like piezoresistive, capacitive, etc. Illustrative example:"
