"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01R","MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES  (indicating correct tuning of resonant circuits H03J3/12)","H03J3/12","ElectrotherapyMagnetotherapyMeasuring not specially adapted for a specific variable Tariff metering apparatusMeasuring temperature based on the use of electric elements directly sensitive to heatMeasuring temperature based on the use of magnetic elements directly sensitive to heatMeasuring diffusion of ions in an electric field, e.g. electrophoresis, electro-osmosisSystems for regulating electric variables - Systems for regulating magnetic variablesImage data processing or generationMonitoring of signal or alarm line circuits, e.g. signalling of line faults Superconducting magnetsMagnets, Electric switches; Emergency protective devicesCathode-ray tubesThermo-electric solid state devices , Thermo-magnetic solid state devices , Devices using galvano-magnetic or similar magnetic effects, e.g. Hall effectAerialsEmergency protective circuit arrangementsCircuit arrangements for charging, or depolarising batteries or for supplying loads from batteriesMethods or apparatus specially adapted for manufacturing, assembling, maintaining or repairing dynamo-electric machinesGeneration of oscillationsModulationFrequency discriminators; Phase discriminatorsAmplifiersImpedance networks, e.g. resonant circuits; ResonatorsTuning resonant circuits; Selecting resonant circuitsPulse techniqueMonitoring electronic pulse countersA/D or D/A conversionMonitoring operation of communication systemsHousings for electric apparatusScreening of electric apparatus or components against electric fieldsScreening of electric apparatus or components against magnetic fieldsArrangements for monitoring manufacture of assemblages of electric components","A61N1/00|A61N2/00|G01D|G01D4/00|G01K7/00|G01K7/36|G01N|G05F1/00|G05F5/00|G05F7/00|G06T|G08B29/06|H01F6/00|H01F7/00|H01H|H01J31/00|H01L35/00|H01L37/00|H01L35/00|H01L37/00|H01L43/00|H01Q|H02H|H02J7/00|H02K15/00|H03B|H03C|H03D|H03F|H03H|H03J|H03K|H03K21/40|H03M1/00|H04|H05K|H05K9/00|H05K9/00|H05K13/08","General remark:  (electric part) is a big subclass with many low level subgroups. When classifying at group or subgroup level, care should taken to see to it that the document(s) really concern the measuring of an electric variable and that all higher level (subclass, group, subgroup) definitions are met with.The scheme was created at a time when electromechanical instruments were common. The groups closely linked to such instruments are rarely used for classifying measuring or testing devices that fall under .","G01R|G01R","Measuring propertiescan also be interpreted as investigating propertiesRemark: Measuring ""properties"" is rarely a subject for patenting in .Instruments or measuring instruments means electro-mechanical measuring mechanisms Remark: This rule is of little relevance, as electromechanical devices are basically obsolete.DUTDevice Under TestArrangements for measuringmeans apparatus, circuits, or methods for measuring","This place covers: Measuring electric variables or properties. Measuring electric variables directly, e.g. electromechanical instruments (see Glossary of terms) where the measured electric variables directly effect the indication of the measured value. Measuring electric variables by derivation from other electric variables, i.e. arrangements (see Glossary of terms) involving circuitry to obtain an indication of a measured value by deriving, calculating or otherwise processing electric variables, e.g. by comparison with another value. Measuring or investigating electric properties of materials. Electric testing of analogue or digital electric devices, apparatus or networks, or measuring their characteristics. Indicating presence or sign of current or voltage. The following technical subjects are therefore covered, the list being non-exhaustive: Measuring time integral of electric power or current (i.e. Energy), e.g. Of consumption Displaying electric variables or waveforms Measuring currents or voltages or for indicating presence or sign thereof Measuring electric power or power factor Measuring time integral of electric power or current, e.g. By electronic methods Measuring frequencies (of electric signals); measuring and analysing frequency spectra (of electric signals) Measuring phase angle between a voltage and a current or between voltages or currents Measuring resistance, reactance, impedance, or electric characteristics derived therefrom Testing electric properties of apparatus, e.g. Discharge tubes, amplifiers, transistors, integrated circuits Locating electric faults Electrical testing characterised by what is being tested not provided for elsewhere Testing for digital signal parameters (delay, skew, signal level) and characterization of device performance by use of test patterns; test apparatus or integrated test circuits therefor; methods for test pattern generation Details, testing or calibrating of   related instruments or arrangements Measuring magnetic variables or properties Measuring magnetic variables. Measuring or investigating magnetic properties of materials. The following technical subjects are therefore covered, the list being non-exhaustive: Measuring direction or amount of magnetic fields, or measuring characteristics of magnetic materials Apparatus based on magnetic resonance, e.g. Nmr, mri, epr (i.e. Esr) (see synonyms and keywords) and not specially adapted for a particular application Details, testing or calibrating of related instruments or arrangements"
"G01R1/02","General constructional details","","Details of a kind applicable to measuring arrangements not specially adapted for a specific variableConstructional details common to different types of electric apparatus","G01D7/00|H05K7/00","","","","This place covers: Structural, tangible details of devices."
"G01R1/04","Housings; Supporting members; Arrangements of terminals","","External aspects, e.g. related to chambers, contacting devices or handlersTerminalsTerminal strips or boardsHousings for electrical apparatus","G01R31/286|H01R|H02B|H05K","","","",""
"G01R1/0425","{Test clips, e.g. for IC's}","","","","","","","This place covers: Test clips, which are contacting devices that clip onto the integrated circuit to be tested."
"G01R1/06","Measuring leads; Measuring probes  (G01R19/145, G01R19/165 take precedence)","G01R19/145|G01R19/165","End pieces for leads","H01R11/00","","","",""
"G01R1/067","Measuring probes","","Plugs, sockets or clipsContacting IC's for test purposes when probe design is not the essential featureUsing radiation beam as probeTesting of connectionsEnd pieces for wires terminating in a probe","G01R1/0408|G01R31/2886|G01R31/302|G01R31/66|H01R11/18","","","","This place covers: Probes for connecting to electric devices for measuring or testing purposes."
"G01R1/06711","{Probe needles; Cantilever beams; ""Bump"" contacts; Replaceable probe pins}","","End pieces terminating in a probe","H01R11/18","","","","This place covers: Constructional details of individual probe elements or tips."
"G01R1/06744","{Microprobes, i.e. having dimensions as IC details}","","","","","","","This place covers:  Geometric details where the dimensions are of microscopic dimensions, corresponding to features of integrated elements."
"G01R1/06755","{Material aspects}","","","","","","","This place covers: Details related to the material as such (alloy, heat treatment, surface deposit...)"
"G01R1/06766","{Input circuits therefor}","","","","","","","This place covers: Circuits being part of or closely linked to a probe, such as amplifiers, filters or power supplies integrated in a probe."
"G01R1/06772","{High frequency probes}","","","","","","","This place covers: Probes adapted for the measuring of high frequencies, for example by having low inductance leads, low loss or linear frequency properties."
"G01R1/06777","{High voltage probes}","","","","","","","This place covers: Probes specially adapted for measuring high voltages."
"G01R1/07","Non contact-making probes","","Wireless interface with the DUT ","G01R31/3025","","","",""
"G01R1/073","Multiple probes","","","","","","","This place covers: Probes having multiple contacting points"
"G01R1/0735","{arranged on a flexible frame or film}","","","","","","","This place covers: Probes mounted on a flexible membrane, such as so called ""membrane probes""."
"G01R1/07357","{with flexible bodies, e.g. buckling beams}","","","","","","DUTDevice under test","This place covers: Probes having long needles, which flex when pressed against the DUT."
"G01R1/07364","{with provisions for altering position, number or connection of probe tips; Adapting to differences in pitch}","","","","","","","This place covers: Features related to geometrical adaption between probe tips and probe output, e.g. using an adapter board."
"G01R1/07392","{manipulating each probe element or tip individually}","","Manipulating a single (i.e. single contact) probe.Manipulating a complete ""multi probe""","G01R1/06705|G01R31/2886","","","","This place covers: Manipulation of one or more individual probe elements, e.g. the tip part."
"G01R1/10","Arrangements of bearings","","Bearings in general ","F16C","","","",""
"G01R1/18","Screening arrangements against electric or magnetic fields, e.g. against earth's field","","Screening of electrical apparatus or components in generalMeasuring shielding efficiency","H05K9/00|H05K9/0069","","","",""
"G01R1/20","Modifications of basic electric elements for use in electric measuring instruments; Structural combinations of such elements with such instruments","","Instrument transformers per se","H01F38/20","","","",""
"G01R1/22","Tong testers acting as secondary windings of current transformers","","Voltage or current isolation using transformers","G01R15/18","","","",""
"G01R1/38","Arrangements for altering the indicating characteristic, e.g. by modifying the air gap","","Circuits","G01R15/005","","","",""
"G01R1/44","Modifications of instruments for temperature compensation","","When measuring current or voltage","G01R19/32","","","",""
"G01R5/00","Instruments for converting a single current or a single voltage into a mechanical displacement","","Vibration galvanometers","G01R9/02","","","","This place covers: Instruments classified in this group may be used as indicating instruments for electric or non-electric variables."
"G01R5/22","Thermoelectric instruments","","Measuring effective values of currents or voltages using thermoconverters","G01R19/03","","","",""
"G01R5/28","Electrostatic instruments","","Electrometers without passively moving electrodesMeasuring electrostatic fieldsMeasuring charge","G01R15/165|G01R29/12|G01R29/24","","","",""
"G01R7/00","Instruments capable of converting two or more currents or voltages into a single mechanical displacement  (G01R9/00 takes precedence)","G01R9/00","","","","","","This place covers: Instruments classified in this group may be used as indicating instruments for electric or non-electric variables."
