"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01S","RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES","","Measuring dimensions or angles of objectsMeasuring distances by optical means between spaced objects when propagation effects are irrelevantNavigation in generalPassive optical systems for measuring distances in line of sight or transverse to line of sight, respectively; Navigation not using radio waves when propagation effects are not relevant; navigation beyond position fixing, determining velocity of a vehicle or craft or its direction of velocityMeasuring infrasonic, sonic or ultrasonic vibrations in generalMeasuring infra-red, visible, or ultra-violet radiation in generalTransducers per se, see the following relevant subclasses, , Investigating materials by optical radiation, microwaves or acoustic wavesMeasuring direction or velocity of flowing fluids by reception or emission of radio waves or other waves and based on propagation effects caused in the fluid itselfDetermining velocities by optical means when propagation effects are not relevantDetermining presence, absence, or direction of movementMeasuring electric or magnetic variables in generalDetecting masses or objects by methods not involving reflection or reradiation of radio, acoustic, or other waves; prospectingProspecting by optical means; detecting the presence of objects or masses by optical means, e.g. by interruption of beams, i.e. light barriersOptical systemsTime-interval measuringControl of position, course, altitude or attitudeDetecting the presence of objects for the purpose of counting them, Traffic control systems; anti-collision systemsAerials","G01B|G01B11/14|G01C|G01C3/00|G01C5/00|G01C21/00|G01H|G01J|G01L|H01L|H04R|G01N|G01P|G01P3/36|G01P13/00|G01R|G01V|G01V8/00|G02B|G04F|G05D|G06M7/00|G06M11/00|G08G|H01Q","","","WavesIs the mechanism by which energy is transported without the transfer of matter. Waves may be either electromagnetic waves, which do not require a medium to propagate, or mechanical waves, which require a medium, e.g. acoustic waves. Waves most easily are defined in mathematical terms as obeying a so-called wave equation.Propagation effectsAre relevant if the outcome of a measurement depends on the actual value of a physical quantity characterising the propagation of the wave, i.e. its wavelength, frequency, velocity, or phase. The mere presence or direction of a wave are not considered a propagation effect or to contribute to a propagation effect. To put it in another way, propagation effects are irrelevant, if the radiation may be looked upon as a beam of radiation whose wave nature can be ignored. Examples of measurements where propagation effects are relevant include e.g. measurements of propagation time, phase difference, phase delay, measurements using the Doppler effect, or interference.NavigationIs in this subclass limited to position fixing, or determining the velocity or direction of velocity of vehicles or crafts or their distance from other objects.ReflectionMeans the general physical phenomenon that propagating waves are being scattered by any object, body or target in their path. Scattering can be elastic (i.e. the frequencies of the incoming and outgoing waves are the same) or inelastic (i.e. the respective frequencies are different). Other properties of the wave may change as well. Reflection can be specular or diffuse depending on surface properties of the scattering object. Reradiation further includes the mechanism characteristic of a transponder, i.e. receiving a wave and then transmitting an answering wave.TransponderMeans an arrangement which reacts to an incoming interrogating or detecting wave by emitting a specific answering or identifying wave.Active systemsMeans systems comprising an artificial source for emitting waves. The propagating waves interact with at least one object and are eventually detected by the system. The interaction may consist in e.g. a reflection.Passive systemsMeans systems detecting waves that are not emitted by the measuring system itself (e.g. by the sun).ObjectAn entity that is not part of the measuring device.","This place covers: Methods or apparatus for determining positions, directions and distances by use of radio waves. Methods or apparatus for determining velocities of solid objects/bodies by use of radio waves, unless the body is moving relative to some fluid and the influence of the streaming medium on the wave propagating therein is measured. Methods or apparatus for locating solid objects/bodies, or detecting their presence by use of reflection or re-radiation of radio waves. Methods or apparatus for navigation by use of radio waves (attention is drawn to the limited scope of the term navigation, given below in the section Glossary of Terms). Analogous methods or apparatus using other waves than radio waves, e.g. infrared, visible or ultraviolet light, or acoustic waves. Certain restrictions and priorities apply as regards other subclasses (see sections Relationships between larger subject matter areas and References relevant to classification in this subclass below). Radar, Lidar, Sonar systems in general and specially adapted for specific applications if not specifically designed for geophysical use."
"G01S1/00","Beacons or beacon systems transmitting signals having a characteristic or characteristics capable of being detected by non-directional receivers and defining directions, positions, or position lines fixed relatively to the beacon transmitters; Receivers co-operating therewith  (position fixing by co-ordinating a plurality of determinations of direction or position lines G01S5/00)","G01S5/00","","","","","","This place covers: Beacons (transmitters) which are dedicated to transmit signals from which a position, direction or direction line can be derived. It also covers dedicated receivers for these beacons. Marker beacons, i.e. beacons, the reception of whose signal indicates a location, are also found in  ."
"G01S1/028","{Simulation means, e.g. of beacon signals therefor  (for teaching or training purposes G09B9/00)}","G09B9/00","Simulation means for teaching or training purposes","G08B9/00","","","",""
"G01S1/08","Systems for determining direction or position line","","Aerial arrangements for changing or varying the orientation or the shape of the directional pattern Combinations of different interacting units for giving a desired directional characteristicAerials or aerial systems providing at least two radiation patterns","H01Q3/00|H01Q21/29|H01Q25/00","","","",""
"G01S1/20","using a comparison of transit time of synchronised signals transmitted from non-directional antennas or antenna systems spaced apart, i.e. path-difference systems","","Synchronisation in general","H03L7/00","","","",""
"G01S1/24","the synchronised signals being pulses or equivalent modulations on carrier waves and the transit times being compared by measuring the difference in arrival time of a significant part of the modulations {, e.g. LORAN systems}","","","","","","LORAN(LOng RAnge Navigation) is a terrestrial radio navigation system using low frequency radio transmitters in multiple deployment (multilateration) to determine the location and speed of the receiver.",""
"G01S1/245","{Details of receivers cooperating therewith, e.g. determining positive zero crossing of third cycle in LORAN-C}","","","","","","LORAN-CVersion of LORAN which operates in the low frequency portion of the electromagnetic spectrum from 90 to 110 Kilohertz",""
"G01S1/304","{Analogous systems in which a beat frequency, obtained by heterodyning the signals, is compared in phase with a reference signal obtained by heterodyning the signals in a fixed reference point and transmitted therefrom, e.g. LORAC (long range accuracy) or TORAN systems}","","","","","","LORAC Long range accuracy",""
"G01S1/306","{Analogous systems in which frequency-related signals (harmonics) are compared in phase, e.g. DECCA systems}","","","","","","DECCAThe Decca Navigator System was a hyperbolic low frequency radio navigation system",""
"G01S1/308","{particularly adapted to Omega systems}","","","","","","OmegaRadio navigation operating in the 10kHz-14kHz range employing hyperbolic techniques",""
