"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G01V","GEOPHYSICS; GRAVITATIONAL MEASUREMENTS; DETECTING MASSES OR OBJECTS; TAGS  (means for indicating the location of accidentally buried, e.g. snow-buried persons A63B29/02)","A63B29/02","Detecting or locating foreign bodies for diagnostic, surgical or person-identification purposesSurvey of boreholes or wellsInvestigating or analysing earth materials by determining their chemical or physical propertiesMeasuring electric or magnetic variables in general, other than direction or magnitude of the earth's fieldRadar, sonar, lidar or analogous systems, or details of such systems in generalBurglar, theft, or intruder alarms ","A61B|E21B47/00|G01N|G01R|G01S|G08B13/00","","","","This place covers: Methods and apparatus for geophysical purposes such as Seismic measurements, including the generation of seismic energy, the detection of seismic signals and their processing, Measuring the magnetic or electric field of the earth or its modification by geological structures, Measuring the gravitational field of the earth or its modification by geological structures; Prospecting or detecting of masses or objects in general, e.g. by seismic, electric, magnetic, gravimetric, or optical means, or by the use of nuclear radiation. Measuring gravitational fields or waves in general, e.g. gravitational forces between two bodies, or gravitational waves of cosmic origin. Manufacturing, calibrating, cleaning, or repairing such apparatus. Tags attached to, or associated with, an object, in order to enable detection of the object. Geophysical modelling, whether or not related to the measurement of a physical parameter In this subclass, the geophysical methods apply both to the earth and to other celestial objects, e.g. planets."
"G01V1/00","Seismology; Seismic or acoustic prospecting or detecting","","Survey of boreholes or wells","E21B47/00","For details which are not covered by specific subgroups of , the Indexing Codes  and subcodes should be applied.","G01V1/00|G01V2200/00","","This place covers: Seismic measurements, including the generation of seismic energy, the detection of seismic signals and their processing. Presence detection by acoustical means. Earthquake detection or prediction."
"G01V1/001","{Acoustic presence detection  (measurement of sonic vibrations G01H; alarm systems G08B)}","G01H|G08B","Measuring vibrations as such","G01H","","","","This place covers: Acoustic presence detection for passive detection only, e.g. footsteps by walking person."
"G01V1/003","{Seismic data acquisition in general, e.g. survey design  (G01V1/3808, G01V1/42 takes precedence)}","G01V1/3808|G01V1/42","Generating seismic energy per se","G01V1/02","","","","This place covers: General design of seismic surveys Use of special signals, e.g. for slip sweep arrangements, swept signals, pseudo-random codes. Use of plurality of generators for generating single coherent signals."
"G01V1/008","{Earthquake measurement or prediction  (event detection for microseismic events G01V1/288)}","G01V1/288","","","","","","This place covers: Earthquake detection or prediction Mudslides or avalanche detection"
"G01V1/02","Generating seismic energy {(G01V1/003 takes precedence)}","G01V1/003","Generating special signals  Generating single signals by using more than one generator, other than explosive charge Details exclusively relevant in a marine environment Control of marine source arraysGenerating mechanical vibrations by using piezoelectric or magnetostrictive effect, in general, Blasting in generalNuclear explosivesSpark gaps, discharge apparatus, not otherwise provided for","G01V1/005|G01V1/006|G01V1/38|G01V1/3861|B06B1/06|B06B1/08|F42D3/06|G21J|H01T","Subject matter relating to application in a marine environment should also be classified as additional information under . Subject matter relating to application in a borehole environment should also be classified as additional information under . ","G01V1/38|G01V1/40","","This place covers: Details of seismic sources, like ground coupling, ignition or the like. Types of seismic sources: using explosions using fluidic driving means using mechanical driving means using spark discharges using piezoelectric or magnetostrictive driving means"
"G01V1/16","Receiving elements for seismic signals; Arrangements or adaptations of receiving elements","","Integrated optoseismic systems Fibre-optical receiving elements Accelerometers in generalTransducer mountings in generalElectromechanical transducers","G01V1/226|G01H9/004|G01P|G10K11/004|H04R","Subject matter relating to application in a marine environment should also be classified as additional information under . Subject matter relating to application in a borehole environment should also be classified as additional information under . ","G01V1/38|G01V1/40","","This place covers: Details of receiving elements, like ground coupling, circuits or the like. Deployment of receiving elements. Types of receiving elements: geophones hydrophones combinations thereof Arrangements of receiving elements, e.g. geophone patterns or streamers"
"G01V1/22","Transmitting seismic signals to recording or processing apparatus","","Signal transmitting systems in generalTransmission systems in general","G08C|H04B","Subject matter relating to application in a marine environment should also be classified as additional information under .Subject matter relating to application in a borehole environment should also be classified as additional information under .","G01V1/38|G01V1/40","","This place covers: Transmission of seismic signals, e.g. by wire or radio signals. Integrated combinations of receiving elements and transmission systems, e.g.optoseismic systems"
"G01V1/24","Recording seismic data","","Transforming one recording into anotherClock synchronisation-related issuesRecording measured values in generalAmplitude control in general","G01V1/32|G01V2200/12|G01D|H03G","Subject matter relating to application in a marine environment should also be classified as additional information under .Subject matter relating to application in a borehole environment should also be classified as additional information under .","G01V1/38|G01V1/40","","This place covers: Recording systems for seismic data always containing a memory structure for intermediate or final storage. This also covers seismographs that use paper as storage. Amplitude control. e.g. for dynamic compression (for analogue systems). Storage in acquisition units. Time reference systems for synchronisation of the seismic data."
"G01V1/28","Processing seismic data, e.g. analysis, for interpretation, for correction  (G01V1/48 takes precedence)","G01V1/48","Computing in general","G06","Subject matter relating to application in a marine environment should also be classified as additional information under .Subject matter relating to application in a borehole environment should also be classified as additional information under .For details which are not covered by specific subgroups of , the Indexing Codes  and subcodes should be applied.For further details, including details which may already be covered by specific subgroups of , the Indexing Codes  and subcodes should also be applied. covers ""Details of seismic processing or analysis"", e.g.:Aspects of acoustic signal generation or detectionTrace signal pre-filtering to select, remove or transform specific events or signal components, i.e. trace in and trace outNoise handlingTransforming data representationCorrections and adjustments related to wave propagationAnalysisOther details related to processing","G01V1/38|G01V1/40|G01V1/28|G01V2210/00|G01V1/28|G01V2210/00|G01V2210/00","","This place covers: Processing seismic data: application of seismic models application of particular components of seismic signal, e.g. shear waves event detection in seismic signals, e.g. microseismics Analysis of seismic data: determining seismic cross-section or geostructures determining velocity profiles or traveltimes determining physical properties of the subsurface determining seismic attributes time lapse or 4D effects Transforming representations of seismic data Displaying data Correcting seismic data; eliminating unwanted energy: static or dynamic corrections seismic filtering specially adapted for continuous agitation of the ground"
"G01V1/38","specially adapted for water-covered areas  (G01V1/28, {G01V1/42} take precedence)","G01V1/28|G01V1/42","Seismic data acquisition in generalEquipment for marine deployment in generalControl of attitude or depth of underwater vessels","G01V1/003|B63B|B63G","Classification in  usually also requires classification in one of the subgroups  - ","G01V1/38|G01V1/02|G01V1/375","OBCOcean Bottom CableROVRemotely Operated Vehicles","This place covers: Marine seismic data acquisition. This also covers survey design Positioning of marine seismic devices, including determining the position Deployment of marine seismic devices, i.e. bringing into position prior to use, of streamers, ocean bottom cables [OBC] or nodes Control of source arrays, e.g. for far field control"
"G01V1/40","specially adapted for well-logging","","Structural details for well-logging in generalSurvey of boreholes or wells","G01V11/002|E21B47/00","Further constructional details should be classified as additional information in  or ","G01V1/523|G01V1/52D","","This place covers: Seismic or acoustic well-logging: Seismic logging in this group concerns investigation of the formation as a whole extending far away from the borehole, e.g. VSP or inter-well seismic tomography Acoustic logging in this group concerns close range investigations of the vicinity of the borehole Structural details directly related to acoustic and seismic well-logging"
