"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G03F","PHOTOMECHANICAL PRODUCTION OF TEXTURED OR PATTERNED SURFACES, e.g. FOR PRINTING, FOR PROCESSING OF SEMICONDUCTOR DEVICES; MATERIALS THEREFOR; ORIGINALS THEREFOR; APPARATUS SPECIALLY ADAPTED THEREFOR;  (phototypographic composing devices B41B; photosensitive materials or processes for photographic purposes G03C; electrophotography, sensitive layers or processes therefor G03G)","B41B|G03C|G03G","","","The following IPC groups are not used in the internal ECLA classification system. Subject-matter covered by these groups is classified in the following ECLA groups: covered by  ""  ""  "" ","G03F3/08|H04N1/46|G03F7/207|G03F7/20|G03F7/23|G03F7/22|G03F9/02|G03F9/00","PhotosensitiveSensitive to electromagnetic radiation but also to corpuscular radiationPhotosensitive compositionsPhotosensitive substances, e.g. quinonediazides, and, if applicable, binders or additivesPhotosensitive materialsPhotosensitive compositions, e.g. photoresists, the bases carrying them and, if applicable, auxiliary layers","This place covers: Photolithographic materials, processing these materials for producing textured or patterned surfaces, and apparatus for processing these materials."
"G03F1/00","Originals for photomechanical production of textured or patterned surfaces, e.g., masks, photo-masks, reticles; Mask blanks or pellicles therefor; Containers specially adapted therefor; Preparation thereof","","Stencil masks, , Transparent substrates, Phase plates (phase retarding optical elements)Mirrors, particularly UV and EUV, Phase masks for gratingsPhotographic masks, negativesMask or circuit layoutInspection of patterns and materials, Membranes for X-Ray windows","B41N1/00|B24C1/00|H01J37/00|C03B|C03C|G02B5/00|G02B5/00|G21K1/00|G02B6/02|G03C|G06F30/00|G06T|G02N|H01J33/00","","","Mask or photomaskNormally refers to 1:1 reproductionReticleNormally involves (de)magnification - the terms mask and reticle are however often considered synonyms.PellicleProtective cover placed at a distance from the surface of a reticle.EUV (extreme ultra-violet)Electromagnetic radiation in the 5-15 nm range (typically 13.4 nm)SCALPELScattering with angular limitation in projection electron beam lithography (characterized by the use of a membrane mask rather than a stencil mask)PSMPhase-shifting mask AttPSMAttenuated phase-shifting mask, aka half-tone PSMAltPSMAlternating phase-shifting mask, aka Levenson-Shibuya maskPhase edge PSMNo absorber between phase shifting areasOPCOptical proximity correctionPPCProcess proximity correction","This place covers: Products modifying the pattern of radiation being transmitted through or reflected by said products (e.g. masks, photomasks, reticles), substrates therefor, auxiliary features (e.g. pellicles or auxiliary structures), process for their preparation, control and repair, containers for storage and/or transport of said products."
"G03F3/00","Colour separation; Correction of tonal value  (photographic copying apparatus in general G03B)","G03B","Duplicating or marking methods; sheet materials for use thereinPhotographic copying apparatus in general","B41M5/00|G03B","","","","This place covers: Non numerical rendition of colours; non numerical colour proofing."
"G03F5/00","Screening processes; Screens therefor {(plates or light sensitive layers with incorporated screen G03F7/004)}","G03F7/004","CamerasImage treatment","G03B|G06T","","","","This place covers: Creation of half-tone patterns from continuous tone images using photolithographic / photomechanical processes."
"G03F7/00","Photomechanical, e.g. photolithographic, production of textured or patterned surfaces, e.g. printing surfaces; Materials therefor, e.g. comprising photoresists; Apparatus specially adapted therefor  (using photoresist structures for special production processes, see the relevant places, e.g. B44C, H01L, e.g. H01L21/00, H05K)","B44C|H01L|H01L21/00|H05K","Process for applying liquidsLithographic printing form preparation using heat, Printing form preparation by laser ingravingInfrared sensitive printing plate, Inkjet printers, thermal printersNanostructuresInorganic glassesPolymerization processes using a photoinitiator systemAddition polymers or copolymers, ethylenic monomersCondensation polymers of aldehydes or ketones with phenols only, e.g. novolak resinsPolystyrenesHomopolymers or copolymers of compounds having one or more unsaturated aliphatic radicals, each having only one carbon-to-carbon double bond, and only one being terminated by only one carboxyl radical, or of salts, anhydrides, esters, amides, imides or nitriles thereofEpoxide compounds, epoxy resinsPolyestersPolyurethanesPolyamidesPolyimidesPolysiloxanesOrganic dyes / pigmentsCurable inksAdhesivesDetergent compositions, Biological test and sensorsOptical fibres, mirrors, lensesColour filters (structures):Liquid crystal displayRecording or reproducing by optical means, by modifying optical properties or the physical structure (holographic medium, optical disks, compact disks or CD, digital versatile disks or DVD)Cathode ray tubes, electron or ion beam tubes, ","B05D1/00|B41C1/00|B41M5/00|B41C1/05|B41C1/10|B41M5/40|B41J|B82Y30/00|C03C3/00|C08F2/50|C08F220/00|C08G8/00|C08L25/06|C08L33/00|C08L63/00|C08L67/00|C08L75/04|C08L77/00|C08L79/08|C08L83/04|C09B|C09D11/10|C09J|C11D1/00|C11D3/00|G01N33/00|G02B|G02B5/20|G02F1/00|G11B7/00|H01J31/00|H01J29/00","","","Photolithography(1) Printing: Lithography in which the image is photographically transferred to the printing surface; esp. a planographic printing process using plates prepared from photographic negatives, usually printed by offset methods. (2) Electronics: A photoetching process in which a photomask is used in transferring the pattern to the photoresist, used esp. in the making of integrated circuits.RadiationEnergy radiated in the form of electromagnetic waves or particlesPhotoresistRadiation-sensitive material, whose solubility is altered by exposure to radiation.Negative-tone resistThe resist film beneath the clear areas of the photomask undergoes a chemical change that renders it insoluble in the developing solution.Positive tone resistThe resist film beneath the clear areas of the photomask undergoes a chemical change that renders it soluble in the developing solution.Imprint LithographyA technique that creates patterns by mechanical deformation of imprint resist and subsequent processes.","This place covers: Photolithographic production of textured or patterned surfaces, e.g. printing surfaces; materials therefor, e.g. comprising photoresists; apparatus specially adapted therefor (using photoresist structures for special production processes, see the relevant places, e.g.  ,  , e.g.  ,  ); imprint lithography."
"G03F7/0002","{Lithographic processes using patterning methods other than those involving the exposure to radiation, e.g. by stamping}","","Embossing in generalPrinting processes for forming pattern structures of organic semiconductive material","B29C|H01L51/0004","","","SFILStep and Flash Imprint LithographyNILNanoimprint lithographyDip-Pen nanolithography, aka DPNDeposition from cantilever using fluid transfer","This place covers: Micro- and nanostructuring of surfaces based on transfer printing and imprinting processes, specially adapted as alternatives for photolithographic processes. It also includes use of cantilevers for depositing, mechanically removing or displacing material for the same purpose."
"G03F7/0007","{Filters, e.g. additive colour filters; Components for display devices}","","Colour filters (structures)Liquid crystal displays","G02B5/20|G02F1/00","","","","This place covers: Radiation-sensitive compositions for colour filters, black matrix, etc, and processes"
"G03F7/001","{Phase modulating patterns, e.g. refractive index patterns}","","","","","","","This place covers: Radiation-sensitive compositions for holographic applications, and processes."
"G03F7/0037","{Production of three-dimensional images}","","","","","","","This place covers: Radiation-sensitive compositions for stereolithographic applications and processes."
"G03F7/004","Photosensitive materials  (G03F7/12, G03F7/14 take precedence)","G03F7/12|G03F7/14","","","","","",""
