"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G05D","SYSTEMS FOR CONTROLLING OR REGULATING NON-ELECTRIC VARIABLES  (for continuous casting of metals B22D11/16; valves per se F16K; sensing non-electric variables, see the relevant subclasses of G01; for regulating electric or magnetic variables G05F)","B22D11/16|F16K|G01|G05F","","","Control systems specially adapted for particular apparatuses, machines or processes are classified in the subclasses for the apparatus, machine or process, provided that there is specific provision for control or regulation relevant to the special adaptation, either at a detailed level, (e.g. : ""for regulating temperature in bakers' ovens"") or at a general level, (e.g. : ""for automatic control of welding parameters in arc welding""). Controlling aspects of space crafts are excluded from the . They should be classified in . Otherwise, classification is made in the most appropriate place in this subclass.Places where there is specific provision of the kind referred to above at a detailed level have been listed under the main groups of this subclass (see ""References relevant to classification in this subclass""). Where the provision is at a general level (e.g. of a kind appropriate to more than one of the main groups specified in the lists, or to main groups  or ), the places are listed under this subclass.A document that can be applied to two or more applications is not specific for any of them and has to be classified in  (for instance a thermostat for heating or air conditioning).A formulation of the kind ""regulator for the application X"" should a priori not be considered as specific to said application.Usually, the subdivisions of the regulation classes in the field of the application are less precise than in , therefore giving a class in  may be useful for search.When in a document there is mention of several controlled variables, one should try to visualize the block scheme of the regulation. The document is then to be classified in the group of the variable controlled in the outer control loop. In case the regulation in one of the other control loops is of particular interest, it should also be classified in the group(s) of the variable(s) concerned.Note that the above is without prejudice of the limiting references contained in the titles of the different groups and subgroups in this subclass.In the main groups of this subclass, remarks found under ""Further details of subgroups"" are not meant to replace the definitions in the titles, but either give further information about the definitions or mention particular types of documents to be classified in the subgroups or to be excluded from them. In case no remark is made on a given subgroup, the title is considered to be self-explanatory.In , the hierarchy in classification is generally done according:- to the physical variable- Then to the nature of the auxiliary power used, with the following possibilities, not used for all the variables:without auxiliary power (purely mechanical regulation)with auxiliary non-electric power (e.g. pneumatic or hydraulic)characterised by the use of electric meanswith combination of electric and non-electric auxiliary power- Then, to the type of sensor used.","A21B1/40|B23K9/095|G05D|B64G1/244|G05D27/00|G05D29/00|G05D|G05D|G05D|G05D","Systemsincludes self-contained devices such as speed governors, pressure regulators","This place covers: Systems for controlling or regulating non-electric variables, in particular: position, trajectory, attitude or altitude of a vehicle; position or direction of an object; thickness or size of materials; flow rate; level; quantity ratio; linear or angular speed; force or stress; fluid pressure; torque or mechanical power; vibrations; chemical variables; humidity; temperature; viscosity; and illumination. ""controlling"" means influencing a variable in any way, e.g. changing its direction or its value (including changing it to or from zero), maintaining it constant, limiting its range of variation. ""regulation"" means maintaining a variable automatically at a desired value or within a desired range of values. The desired value or range may be fixed, or manually varied, or may vary with time according to a predeterminated ""programme"" or according to variation of another variable. Regulation is a form of control. Merely acting on a variable for the purpose of influencing the state of a system (e.g. acting on the fuel flow rate in an engine for achieving a certain speed), where the value of the variable itself remains irrelevant, should a priori not be considered as controlling or regulating said variable."
"G05D1/00","Control of position, course or altitude of land, water, air, or space vehicles, e.g. automatic pilot  (radio navigation systems or analogous systems using other waves G01S)","G01S","Linear or angular position control of an object not being a vehicleControl of linear or angular speed or of accelerationSteering applicable only to other than landborne vehicles, e.g. three-dimensional steering applicable to both aircraft and submarinesRail vehiclesConstruction or disposition of steering means on land vehicleson waterborne vesselsManual or automatic control of aircraft, e.g. using automatic pilot or radiated signalAltitude control by jet reactionAircraft capable of landing or taking-off verticallyFlying bombsUnmanned aerial vehicles characterized by flight controlUnmanned aerial vehicles characterized by landing methodAircraft carrier installationsAltimeters Navigation, i.e. determining the position and course of land vehicles, ships, aircraft, and space vehicles Measuring distance traversed on the ground by vehicles, e.g. using odometersFlight directorsDisplays for beacons e.g. LORAN, VORUsing amplitude comparison of signals transmitted simultaneously from aerials or aerials systems having differently-oriented overlapping directivity-characteristicsLORAN systemsLORAC or TORAN systemsTACAN systemsVOR systemsPosition-fixing by co-ordinating a plurality of determinations of direction or position linesDetermining distance or velocity using waves and not using reflection or reradiation of wavesRadar systems specially designed for missile homing, autodirectorsRadar systems specially designed for traffic controlRadar systems specially designed for anti-collision purposesRadar systems specially designed for terrain avoidanceSonar systems specially designed for anti-collision purposesLidar systems specially designed for anti-collision purposesTraffic control systems for road vehiclesAnti-collision traffic control systemsMonitoring the location of fleet of vehicles in traffic control systemsModification of a flight planTerrain avoidance systemsSystems for monitoring atmospheric conditionsTraffic collision avoidance systems","G05D3/00|G05D13/00|B60K|B61|B62|B63|B64C|B64C15/00|B64C29/00|B64C2201/121|B64C2201/14|B64C2201/18|B64F|G01C5/005|G01C21/00|G01C22/00|G01C23/005|G01S1/047|G01S1/14|G01S1/24|G01S1/304|G01S1/48|G01S1/50|G01S5/00|G01S11/00|G01S13/883|G01S13/91|G01S13/93|G01S13/935|G01S15/93|G01S17/93|G08G1/00|G08G1/16|G08G1/20|G08G5/0039|G08G5/0086|G08G5/0091|G08G5/04","This main group concerns only vehicles.Documents are classified here in case:the stability of the vehicle is obtained or improved by the regulation;the sensors are piloting-specific: (i) to follow a predetermined trajectory; (ii) there is an interaction between the position determination and the goal to be achieved (for example there is a camera to recognize the environment and a processor to determine the trajectory);the security of the piloting or the control of the piloting is achieved by electronic means;of remote control;of piloting-specific optimization; orof interactions between vehicles.Within this main group, the possible applications of a land vehicle are also classified in .Within  and its subgroups, an invention is classified in the subgroups of all the sensors that are essential for the invention. Sensors that are either optional or not directly involved in the invention are classified as additional information.","G05D2201/02|G05D1/021","","This place covers: Control of position, course or altitude of land, water, air, or space vehicles, e.g. automatic pilot Further details of subgroups This subgroup covers control systems where the trajectory of an aircraft or satellite is optimized. Redundant control systems in general are classified only in  . This subgroup covers control of an aircraft while on the ground, i.e. while accelerating before taking-off, braking after touching down or taxiing.  and subgroups This subgroup covers control systems where the position determination or the position evolution takes place on a two-dimensional space. If the nature of the vehicle is specified, then it is classified in the corresponding subgroup.  and subgroup This subgroup covers two-dimensional navigation of an aircraft while in flight.  and subgroups This subgroup covers control systems to define a trajectory for a land vehicle, and to take suitable actions to make the vehicle follow said trajectory. Aspects of navigation systems that are important per se should also be classified in the relevant groups of  . Aspects of radio, sonar or lidar navigation systems that are important per se should also be classified in the relevant groups of  . Aspects of navigation systems for traffic purposes that are important per se should also be classified in the relevant groups of  . This subgroup also covers control systems using barcode readers for positioning. This subgroup also covers control systems using RFID tags for positioning. This subgroup covers control systems where one of the vehicles sends orders to the others."
"G05D1/12","Target-seeking control","","Direction control systems for self-propelled missilesAnalysis of motionTarget detection","F41G7/00|G06T7/20|G06V2201/07","","","","This place covers: Control of vehicle position to acquire, maintain or re-acquire a target, e.g. a person or another vehicle, for tracking, following or interdiction purposes."
"G05D3/00","Control of position or direction  (G05D1/00 takes precedence)","G05D1/00","","","","","",""
"G05D5/00","Control of dimensions of material","","","","","","","This place covers: Control of thickness or size of material"
"G05D7/00","Control of flow  (level control G05D9/00; ratio control G05D11/00; weighing apparatus G01G)","G05D9/00|G05D11/00|G01G","Of media to the human body","A61M5/168","Within this subgroup, an invention is classified in the last appropriate place.","G05D7/0629","","This place covers: Control of flow of liquids, gases, particulate matter and other fluent materials by action on throttling means and/or flow sources. Further details of subgroups: This subgroup covers valves where the flexible member itself, e.g. a membrane, acts on the valve seat. This subgroup covers for example flexible members having the form of a torus. This subgroup covers valves with a piston having one extreme facing the inlet chamber and an opposite extreme facing the outlet chamber.  and  These subgroups cover valves in which at least part of the piston has the form of a cylindrical sleeve in contact with and sliding over a fixed or moving stem. They also cover valves in which the control chamber comprising the biasing member is surrounded by the controlled fluid This subgroup covers valves using calibrated orifices for achieving a constant flow.  and  These subgroups cover systems where the target flow is defined in dependence on a specific parameter, e.g. the speed of a vehicle."
"G05D9/00","Level control, e.g. controlling quantity of material stored in vessel  (controlling level of liquid-pool electrode in electric discharge tubes and lamps H01J1/10, H01J13/14)","H01J1/10|H01J13/14","","","","","","This place covers: Control of quantity of liquids or particulate matter in a vessel by action on the input and/or the output flow."
"G05D11/00","Ratio control  (control of chemical or physico-chemical variables, e.g. pH-value G05D21/00 ; humidity control G05D22/00 ; control of viscosity G05D24/00 ; proportioning the ingredients for mixing clay or cement with other substances B28C7/00)","G05D21/00|G05D22/00|G05D24/00|B28C7/00","","","","","","This place covers: Control of the relative ratio of flow rate or of volume of two or more fluent materials by action on throttling means and/or flow sources."
"G05D13/00","Control of linear speed; Control of angular speed; Control of acceleration or deceleration, e.g. of a prime mover  (synchronising telegraph receiver and transmitter H04L7/00)","H04L7/00","","","","","",""
"G05D15/00","Control of mechanical force or stress; Control of mechanical pressure","","","","","","",""
