"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G05G","CONTROL DEVICES OR SYSTEMS INSOFAR AS CHARACTERISED BY MECHANICAL FEATURES ONLY  (""Bowden"" or like mechanisms F16C1/10; gearings or mechanisms not peculiar to this purpose F16H; speed changing or reversing mechanisms for gearings conveying rotary motion F16H59/00 - F16H63/00)","F16C1/10|F16H|F16H59/00|F16H63/00","","","Command treating mechanisms, i.e. mechanical systems aimed at transmitting, amplifying, converting or delaying the command received are considered as part of the related application and will be classified in the application place.","","Controlling memberKnob, handle, lever, disc, wheel, joystick, pedal, etc. , and consists of: Part manipulated or actuated directly by the operator (part A in the model of the operator control device), and the mechanism that does not transmit a command (part B in the model of the operator control device), andthe mechanism that processes the movement (part C in the model of the operator control device) from the operator actuated part to the controlled member.Controlled memberThe controlled commutation member (part D in the model of the operator control device), e.g. electric switch, sensor, valve or gear shifter yoke.Control mechanism Mechanism that is the mechanism that processes the movement (part C in the model of the operator control device) from the operator actuated part to the controlled member, and / orthe mechanism that does not transmit a command (part B in the model of the operator control device).","This place covers: Operator control devices (e.g. knobs, buttons, levers, joysticks or pedals) or systems insofar as characterised by mechanical features only, i.e. the element which the operator is manipulating or actuating, to generate control commands. The following model describes the operator control device: A) an operator actuated part (the part coming in contact with the human body to receive a command) B) mechanisms that do not transmit the command (e.g. ratchet mechanisms, mechanisms with hysteresis, return spring mechanisms) C) command treating mechanisms (i.e. mechanical systems aimed at transmitting, amplifying, converting or delaying the command received) D) a commutation part (aimed at performing the final operation, e.g. electric contact being actuated). If the invention is concerned with A or B, it is classified in respectively   or  . If the invention is concerned with C, and the mechanism is a mechanism in which: 1. the ratio of motion or force between the controlling member and the controlled member is altered (e.g. US 2009/0095100 with brake pedal, which includes a mechanism capable of varying a ratio between an output amount of a push rod connected to a master cylinder and an operation amount of the brake pedal), 2. repeated movement of the controlling member produces increments of movement of the controlled member (e.g. US4311060 a parking brake in which, when the brake handle is pulled up, the brake cable is winded around a rotating member. By repeating the above operation of the brake handle, the rotating member is intermittently rotated until necessary length of the brake cable is wound up to effect firm locking of the parking brake), or 3. repeated movement of the controlling member moves the controlled member through a cycle of distinct positions (e.g. US3187602; push button wherein a contact is switched on or off by repeated pushing), it is classified in groups   -  If the invention is concerned with C, and it is not one of the mechanisms under point 1 - 3 above, it is classified in other fields, e.g.  ,  ,   -  ,  ,  ,  , etc. If the invention is concerned with D, it is classified in other fields, e.g.  ,  ,   -  ,  ,  ,  , etc."
"G05G1/00","Controlling members, e.g. knobs or handles; Assemblies or arrangements thereof; Indicating position of controlling members  ({means for preventing, limiting or returning the movements of parts of a control mechanism G05G5/00; providing feel, e.g. means to create a counterforce G05G5/03; specially adapted for programme control G05G21/00; vibration damping G05G25/02;} joysticks G05G9/04; steering wheels for motor vehicles B62D)","G05G5/00|G05G5/03|G05G21/00|G05G25/02|G05G9/04|B62D","Joysticks in generalSpecially for programme control","G05G9/047|G05G21/00","","","","This place covers: Parts actuated or manipulated directly by the operator, e.g. knops, handles or pedals Arrangements of the control parts, e.g. arrangements of two or more controlling members with respect to one another Indication of the position of a control member actuated by the operator"
"G05G1/01","Arrangements of two or more controlling members with respect to one another  (double foot control, e.g. for instruction vehicles G05G1/34; mounting units comprising an assembly with two or more pedals G05G1/36)","G05G1/34|G05G1/36","Arrangements of handles or pedals in operator's stands or cabins for cranes;","B66C13/56","","","",""
"G05G1/04","Controlling members for hand actuation by pivoting movement, e.g. levers","","Arrangements or adaptations of levers for optical signalling or lighting devices for vehicles, e.g. steering column stalk switchesBrake-action initiating means with a tilting leverHand actuated levers for rider-operated controls specially adapted for cyclesHand levers for brake-actuating mechanisms specially adapted for cyclesLevers or the like for controlling the engine or the transmission specially adapted for spropulsion power plant or units on vessels","B60Q1/1469|B60T7/102|B62K23/06|B62L3/02|B63H21/213","","","",""
"G05G1/06","Details of their grip parts {(G05G1/10 takes precedence)}","G05G1/10","Additional switches or sensors on joysticksHandles for toolsConstructional features of the selector lever, e.g. grip parts, mounting or manufacturing details thereof","G05G2009/04774|B25G1/00|F16H59/0278","","","","This place covers: Grip parts of handles, levers or joysticks"
"G05G1/08","Controlling members for hand actuation by rotary movement, e.g. hand wheels","","Control members, e.g. levers or knobs, for heating, cooling or ventilating in vehiclesArrangement of fittings of control means on dashboards, e.g. control knobsHand wheels for steering vehiclesControl panels of stoves or ranges heated by electrical energyAdjustable resistors Mechanisms with turn knops for operating contactsUsing separate operating parts, e.g. a push button surrounded by a rotating knob","B60H1/0065|B60K37/06|B62D1/04|F24C7/082|H01C10/00|H01H3/08|H01H25/065","","","",""
"G05G1/085","{Crank handles  (G05G1/082 takes precedence)}","G05G1/082","Construction of cranks operated by hand or footOperating screening or protective devices for wall or similar openings in buildings with crank handles","B62M3/00|E06B9/76","","","","This place covers: Crank levers, foldable cranks with pivots Example drawing form US2010263476:"
"G05G1/087","{retractable; Flush control knobs}","","Mechanisms for selecting, projecting, retracting or locking writing units operated by push-buttons, e.g. mechanisms for ballpoint pensRetractable turn knops for operating switchesSwitches making use of a heart shaped cam Switches where the operating part is movable both, angularly and rectilinearly, the rectilinear movement being along the axis of angular movement; ","B43K24/086|H01H2003/085|H01H13/562|H01H25/06","","","","This place covers: Rotable control knops which can be flush mounted in an opening of the control panel. The control member can be extended into a working position or being pushed into a non-working position. Means for locking the control member in the non-working position. Example drawing form WO2010038033:"
"G05G1/105","{comprising arrangements for illumination}","","Illumination of the symbols or distinguishing marks for switchesLight-emitting indicators for switches ","H01H9/182|H01H19/025","","","","This place covers: Control members using light sources for illumination and often also for indicating position of control member. Example document DE102008064283 uses two light sources (15, 16) and colour filters for indicating position:"
"G05G1/12","Means for securing the members on rotatable spindles or the like","","Couplings for attaching a member on a shaft end Means for securing turn knops to a shaft of a mechanism for operating switches","F16D1/06|H01H3/10","","","","This place covers: Means for fixing the control member (e.g. knop) on the shaft of the control mechanisms"
