"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G06C","DIGITAL COMPUTERS IN WHICH ALL THE COMPUTATION IS EFFECTED MECHANICALLY  (score computers for card games A63F1/18; construction of keys, printing mechanisms or other parts of general application to the typewriting or printing art B41; keys or printing mechanisms for special applications, see the relevant subclasses, e.g. G05G, G06K; cash registers G07G1/00)","A63F1/18|B41|G05G|G06K|G07G1/00","",""," takes precedence over ","G06C3/00|G06C1/00","",""
"G06C1/00","Computing aids in which the computing members form at least part of the displayed result and are manipulated directly by hand, e.g. abacuses, pocket adding devices","","Arrangements for table look-up comprising also computing elements manipulated by handRosaries Indicating or scoring devices for games or playersAppliances for teaching counting or calculating Models for scientific, medical, or mathematical purposes ","G06C3/00|A44C23/00|A63B71/06|G09B19/02|G09B23/00","","","",""
"G06C3/00","Arrangements for table look-up, e.g. menstruation table","","Ovulation period determination in humans Ovulation period determination in animals ","A61B10/0012|A61D17/002","","","",""
"G06C7/00","Input mechanisms  (pin carriage G06C13/02)","G06C13/02","","","","","",""
"G06C9/00","Transfer mechanisms, e.g. for transmitting figures from the input mechanism into the computing mechanism  (G06C7/10, G06C11/00, G06C15/00 take precedence)","G06C7/10|G06C11/00|G06C15/00","","","","","",""
"G06C11/00","Output mechanism  (marking record carriers in general, visual presentation in general of results of the mathematical operations G06K)","G06K","Marking record carriers in general, visual presentation in general of results of the mathematical operations","G06K","","","",""
"G06C13/00","Storage mechanisms  (mechanical counters with input only to the lowest order G06M; information storage in general G11)","G06M|G11","Mechanical counters with input only to the lowest orderInformation storage in general","G06M|G11","","","",""
"G06C15/00","Computing mechanisms; Actuating devices therefor  (mechanisms for operating automatically upon more than two numbers otherwise than by repeated addition or substraction G06C21/00)","G06C21/00","","","","","",""
"G06C21/00","Programming mechanisms for determining steps to be performed by the computing machine, e.g. when a key or certain keys are depressed  (mechanisms merely for producing multiplication by repeated addition G06C15/08)","G06C15/08","","","","","",""
"G06C23/00","Driving mechanisms for functional elements  (G06C23/08 takes precedence over G06C23/02 - G06C23/06)","G06C23/08|G06C23/02|G06C23/06","",""," takes precedence over  - ","G06C23/08|G06C23/02|G06C23/06","",""
"G06C25/00","Auxiliary functional arrangements, e.g. interlocks  (interlocks in keyboards G06C7/04)","G06C7/04","","","","","",""
