"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G06N","COMPUTING ARRANGEMENTS BASED ON SPECIFIC COMPUTATIONAL MODELS","","","","","","","This place covers: Computing systems where the computation is not based on a traditional mathematical model of computer"
"G06N3/00","Computing arrangements based on biological models","","Computer systems using knowledge based modelsProbabilistic networksComputers systems using fuzzy logicMachine LearningAnalogue computers simulating functional aspects of living beingsMemories whose operation depends upon chemical changeBioinformatics","G06N5/00|G06N7/005|G06N7/02|G06N20/00|G06G7/60|G11C13/02|G16B","","","","This place covers: Computing systems where the computation is based on biological models (brains, intelligence, consciousness, genetic reproduction) or is using physical material of biological origin (biomolecules, DNA, biological neurons, etc.) to perform the computation. The computation can be digital, analogue or chemical in nature."
"G06N3/002","{Biomolecular computers, i.e. using biomolecules, proteins, cells  (using DNA G06N3/123; using neurons G06N3/061)}","G06N3/123|G06N3/061","Computation based on Inorganic chemicals","G06N99/007","","","","This place covers: Computers using actual physical material of biochemical origin or material as used in carbon-based living systems, i.e. biomolecules, proteins, cells or other biochemicals to perform computation."
"G06N3/004","{Artificial life, i.e. computers simulating life}","","Biological life forms that are created involving biological genetic engineering, e.g. clones","C12N15/00","","","Alife Artificial life","This place covers: Creation of synthetic life forms that are based on models of or are inspired by carbon-based life forms but are actually implemented on/or controlled by standard silicon-based computers."
"G06N3/006","{based on simulated virtual individual or collective life forms, e.g. single ""avatar"", social simulations, virtual worlds or particle swarm optimisation}","","Computer gamesInformation retrievalComputer Aided Design [CAD]Collaborative systems - GroupwareImage processing for animationsTelecommunications for virtual worlds","A63F13/00|G06F16/00|G06F30/00|G06Q10/00|G06T13/00|H04L29/06034","","","","This place covers: Software simulations on standard silicon-based digital computers of systems exhibiting behaviour normally ascribed to life forms."
"G06N3/008","{based on physical entities controlled by simulated intelligence so as to replicate intelligent life forms, e.g. robots replicating pets or humans in their appearance or behavior}","","Toys or dolls, Industrial robots or mechanical grippers","A63H3/00|A63H11/00|B25J19/00","","","","This place covers: Physical computer controlled mechanical devices emulating/simulating existing biological life forms mainly implemented as physical robots in the form of animals (pets) or humans (humanoids or androids). These robots can be standalone or work in groups (e.g. Robocup team of robotic football players)."
"G06N3/02","using neural network models","","","","","","","This place covers: Computation simulating or emulating the functioning of biological brains mainly implemented in non-biological material, i.e. electronics or optical material. It can be in digital electronic or analogue electronic or biological technology."
"G06N3/04","Architectures, e.g. interconnection topology","","","","","","","This place covers: The specific architecture or layout of the neural network, how the neurons are interconnected. For the different architectures see the titles of the different subgroups. Specific technologies for realizing these architectures are classified in  , learning methods in the subgroups of   and for the physical realization in the subgroups of  ."
"G06N3/0409","{Adaptive resonance theory [ART] networks}","","","","","","","This place covers: Adaptive Resonance Theory (ART). Adaptive Resonance Theory was a short live method of neural networks developed by Grossberg and Carpenter. This subgroup contains only documents on ART by Grossberg and Carpenter (obsolete technology)."
"G06N3/0418","{using chaos or fractal principles}","","Chaos models per se","G06N7/08","","","","This place covers: Neural networks using some form of chaos or fractal technology or methods"
"G06N3/0427","{in combination with an expert system}","","Experts systems; Artificial intelligence per se","G06N5/04","","","","This place covers: Combinations of neural network technology and expert system technology. Contains documents where expert systems and neural networks work together on the same level and also where expert systems are used to construct or control a neural network."
"G06N3/0436","{in combination with fuzzy logic}","","Fuzzy logic per se","G06N7/02","","","ANFISAdaptive Neuro-Fuzzy Inference Systems","This place covers: Combinations of neural network technology and fuzzy logic system technology. Contains documents where fuzzy logic and neural networks work together on the same level and also where fuzzy logic systems are used to construct or control a neural network"
"G06N3/0445","{Feedback networks, e.g. hopfield nets, associative networks}","","","","","","","This place covers: Neural networks involving connections from the output of a neural network to the inputs of the same neural network."
