"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G06T","IMAGE DATA PROCESSING OR GENERATION, IN GENERAL","","Apparatus for radiation diagnosisAspects of games using an electronically generated display having two or more dimensionsMeasuring, by optical means, length, thickness or similar linear dimensions, angles, areas, irregularities of surfaces or contoursPattern RecognitionCoding, decoding or code conversionPictorial communication, television systems - ","A61B6/00|A63F13/00|G01B11/00|G06K9/00|H03M13/00|H04N1/00|H04N21/00","Symbols under  -  may only be allocated as invention information.Whenever possible, additional information should be classified using one or more of the Indexing Codes from the range of .The indexing codes under  -  may only be allocated to documents to which a symbol under  -  is allocated as invention information as well.The following list of symbols from the series  are for allocation to documents within the whole range of  except :Indexing scheme for image data processing or generation, in general - Not used for classificationinvolving 3D image data - processing of 3D image data, i.e. voxels; relevant for , ,  or involving all processing steps from image acquisition to 3D model generation - complete systems from acquisition to modellinginvolving antialiasing - dejagging, staircase effectinvolving adaptation to the client's capabilities - adapting the colour or resolution of an image to the client's capabilitiesinvolving computational photographyinvolving graphical user interfaces [GUIs]involving image processing hardware - relevant for groups not directly related to hardware; not used in , , involving image mosaicing - image mosaicing, panoramic imagesReview paper; Tutorial; Survey - basic documents describing the state of the art.There are further series of symbols for  whose use is reserved to particular maingroups or ranges of maingroups and whose full list and description are given in the FCRs of the respective maingroups: for  only for  and  only for  only for  -  only; see list below for  only for  only; for  only; for  only; for  onlySymbols from the series  for allocation in the range of  -  only:Indexing scheme for image generation or computer graphics - Not used for classificationarchitectural design, interior design - interior/garden/facade design, architectural layout plansbandwidth reductionbounding box - convex hull for polygons or 3D objectscloth - animation, rendering or modeling of cloth/garment/textile, virtual dressing roomscollision detection, intersection - intersection/collision detection of 3D objectscropping - cropping of image bordersfluid dynamics - animation, rendering or modelling of fluid flowsforce feedback - virtual forceimage data format - conversion between different image or graphics formatslevel of detail - level of detail, also for textures (e.g. mip-mapping)medical - medical applications concerning e.g. heart, lung, brain, tumorsmorphing - morphing or warpingparallel processingparticle system, point based geometry or rendering - rendering and animation of particle systems (e.g. fireworks, dust, clouds), point clouds, splattingscene description - scene graphs, scene description languages, e.g. VRMLsemi-transparency - screen-door effect, change of transparency valuesweathering - weathering effects like e.g. aging, corrosion","G06T1/00|G06T19/20|G06T|G06T2200/00|G06T2219/2024|G06T1/00|G06T19/20|G06T2200/00|G06T|G06T9/00|G06T2200/00|G06T2200/04|G06T3/00|G06T5/00|G06T7/00|G06T11/00|G06T2200/08|G06T2200/12|G06T2200/16|G06T2200/21|G06T2200/24|G06T2200/28|G06T1/20|G06T1/60|G06T15/005|G06T2200/32|G06T2200/36|G06T|G06T2201/00|G06T1/0021|G06T2207/00|G06T5/00|G06T7/00|G06T2219/00|G06T9/00|G06T2210/00|G06T11/00|G06T19/00|G06T2211/40|G06T11/003|G06T2213/00|G06T13/00|G06T2215/00|G06T15/00|G06T2219/00|G06T19/00|G06T2219/20|G06T19/20|G06T2210/00|G06T11/00|G06T19/00|G06T2210/00|G06T2210/04|G06T2210/08|G06T2210/12|G06T2210/16|G06T2210/21|G06T2210/22|G06T2210/24|G06T2210/28|G06T2210/32|G06T2210/36|G06T2210/41|G06T2210/44|G06T2210/52|G06T2210/56|G06T2210/61|G06T2210/62|G06T2210/64","2DTwo-dimensional3DThree-dimensional4DFour-dimensional, 3D in timeCADComputer-Aided Design (in computer graphics); Computer-Aided Detection (in image analysis)MRMagnetic Resonance (in image analysis); Mixed Reality (in computer graphics)StereoTreatment of the images of exactly two cameras in a pairwise manner","This place covers: Processor architectures or memory management for general purpose image data processing Geometric image transformations Image enhancement or restoration Image analysis Image coding Two-dimensional image generation Animation Three-dimensional image rendering Three-dimensional modelling for computer graphics Manipulating three-dimensional models or images for computer graphics"
"G06T1/00","General purpose image data processing","","","","The IPC class  is not used. The corresponding documents are classified in .","G06T1/40|G06T1/20","","This place covers: General purpose image data processing systems and methods."
"G06T1/0007","{Image acquisition}","","","","","","","This place covers: Capturing or storing images from or to memory"
"G06T1/0014","{Image feed-back for automatic industrial control, e.g. robot with camera  (robots B25J19/023)}","B25J19/023","","","","","","This place covers: Machine vision or tool control Image feedback for robot navigation or walking 3D vision systems."
"G06T1/0021","{Image watermarking}",""," Security arrangements for protecting computers or computer systems against unauthorised activityCircuits for prevention of unauthorised reproduction or copying Scanning, transmission or reproduction of documents involving image watermarking","G06F21/00|G11B20/00086|H04N1/32144","","","","This place covers: Image watermarking in general. Applications or software packages for watermarking. Illustrative example - Hiding a digital image (message) into another digital image (carrier) (US6094483 - UNIV NEW YORK STATE RES FOUND):"
"G06T1/0028","{Adaptive watermarking, e.g. Human Visual System [HVS]-based watermarking}","","","","","","","This place covers: Adaptations based on Human Visual System [HVS]. Perceptual masking. Preservation of image quality; Distortion minimization. Methods to measure quality of watermarked images. Measuring the balance between quality and robustness, i.e., fixed robustness, adapting quality, or vice versa. Illustrative example - Changing a portion of an image based on an embedding strength map (EP1170938 - HITACHI LTD):"
"G06T1/0035","{Output size adaptive watermarking}","","","","","","","This place covers: Embedding without modifying the size of input. Embedding or modifying the watermark directly in a coded image or video stream, without decoding first."
"G06T1/0042","{Fragile watermarking, e.g. so as to detect tampering}","","","","","","","This place covers: Birthday attacks. Forgery. Illustrative example - Changing pixels at selected positions according to a replacement table (WO2011021114 - NDS LIMITED):"
"G06T1/005","{Robust watermarking, e.g. average attack or collusion attack resistant}","","","","","","","This place covers: Resistance; Resistance to attacks or distortions; Distortion compensation. Strength. Collusion attacks; Average attacks; Averaging. Reliable detection, e.g. with reduced likelihood of false positive/negative. Illustrative example - Watermarking an image using the difference of average intensity of two adjacent blocks (EP1927948 - FUJITSU LTD):"
"G06T1/0057","{Compression invariant watermarking}","","","","","","","This place covers: Watermarking techniques for JPEG or MPEG or for a wavelet transformed image. Illustrative example - Embedded a watermark in a DC component region of a wavelet transformed image (US2004047489 - KOREA ELECTRONICS TELECOMM):"
