"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G07B","TICKET-ISSUING APPARATUS; FARE-REGISTERING APPARATUS; FRANKING APPARATUS","","Printing machines or pressesOutput mechanism for digital computers in which all the computation is effected mechanically","B41F|G06C11/00","Use of Indexing Codes:All ECLA classes have a corresponding  Indexing Code-code, which is to be used for secondary aspects (non-invention aspects).In groups  - , from 01/03/2003 onwards, new documents are classified according to the ECLA Reform approach, i.e. ""invention information"" is identified with classification symbols, e.g. , while ""additional information"" is identified with Indexing Code symbols, e.g. .","G07B|G07B1/00|G07B15/00|G07B1/00|G07B1/00","","This place covers: Machines for printing and issuing tickets Machines for issuing pre-printed tickets Details of, or auxiliary devices for, ticket-issuing machines Holders providing direct manual access to tickets Ticket punches Apparatus for validating or cancelling issued tickets Taximeters Arrangements or apparatus for collecting fares, tolls or entrance fees at one or more control points Franking apparatus"
"G07B1/00","Machines for printing and issuing tickets  (printing mechanisms per se B41; output mechanisms of digital computers G06C11/00)","B41|G06C11/00","","","This group contains all mechanical aspect of the machine. For computer implemented ticket printing and issuing system, see .","G07B15/00","","This place covers: Ticket printers dedicated to tickets."
"G07B1/02","employing selectable printing plates","","","","","","","This place covers: Ticket printers comprising pre-defined printing plates (heads), e.g. ""valid"", ""void""."
"G07B1/04","wherein the plates are inserted","","","","","","","This place covers: Ticket printers comprising pre-defined removable printing plates (head)."
"G07B1/06","without selectable printing plates","","","","","","","This place covers: Ticket printers comprising individual printing heads, e.g. numbers or letters turning on rollers."
"G07B1/08","portable","","","","","","","This place covers: The ticket printers are portable."
"G07B3/00","Machines for issuing preprinted tickets","","","","","","","This place covers: the printing of tickets which are already pre-printed, meaning the ticket ""data carrier"" is already pre-printed with some information before storage in the ticket printer."
"G07B3/02","from stock in wound strip form","","","","","","","This place covers: Tickets paper supply in wound strip form."
"G07B3/04","from a stack","","","","","","","This place covers: Ticket paper supply from a stack."
"G07B5/00","Details of, or auxiliary devices for, ticket-issuing machines  (for validating inserted tickets G07B11/02)","G07B11/02","","","","","","This place covers: The details of the machines for printing and issuing tickets."
"G07B5/02","for cutting-off or separating tickets","","","","","","","This place covers: Means for separating tickets in the machine (e.g.. cutter)."
"G07B5/04","for recording or registering tickets issued","","","","","","","This place covers: Means for recording or registering the issued tickets (e.g. storage means)."
