"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G09B","EDUCATIONAL OR DEMONSTRATION APPLIANCES; APPLIANCES FOR TEACHING, OR COMMUNICATING WITH, THE BLIND, DEAF OR MUTE; MODELS; PLANETARIA; GLOBES; MAPS; DIAGRAMS  (devices for psychotechnics or for testing reaction times A61B5/16; games, sports, amusements A63; projectors, projector screens G03B)","A61B5/16|A63|G03B","Devices for psychotechnicsTelephone sets with features to facilitate their use, e.g. for blind people , ","A61B5/16|H04M1/247|H04M1/72475","","","",""
"G09B1/00","Manually or mechanically operated educational appliances using elements forming, or bearing, symbols, signs, pictures, or the like which are arranged or adapted to be arranged in one or more particular ways  (puzzle-games A63F9/00; advertising or displaying in general G09F)","A63F9/00|G09F","Games not otherwise privided forBuilding blocks and structures in general","A63F9/00|A63H33/00","","","",""
"G09B3/00","Manually or mechanically operated teaching appliances working with questions and answers  (electrically-operated G09B7/00; {e.g. G09B7/063} advertising or displaying in general G09F)","G09B7/00|G09B7/063|G09F","","","","","",""
"G09B5/00","Electrically-operated educational appliances  (working with questions and answers G09B7/00; simulators G09B9/00; advertising or displaying in general G09F)","G09B7/00|G09B9/00|G09F","","","","","",""
"G09B5/04","with audible presentation of the material to be studied  (reading and recognising printed or written characters G06K9/00; sound recording or reproducing G11B)","G06K9/00|G11B","Methods or arrangements for reading or recognising printed or written characters or for recognising patterns INFORMATION STORAGE BASED ON RELATIVE MOVEMENT BETWEEN RECORD CARRIER AND TRANSDUCER ","G06K9/00|G11B","","","",""
"G09B5/062","{Combinations of audio and printed presentations, e.g. magnetically striped cards, talking books, magnetic tapes with printed texts thereon}","","","","","","",""
"G09B5/08","providing for individual presentation of information to a plurality of student stations","","","","","","",""
"G09B5/10","all student stations being capable of presenting the same information simultaneously  (G09B5/14 takes precedence)","G09B5/14","","","","","",""
"G09B5/14","with provision for individual teacher-student communication","","","","","","",""
"G09B7/00","Electrically-operated teaching apparatus or devices working with questions and answers  (mechanically operated G09B3/00; computing arrangements G06F)","G09B3/00|G06F","ELECTRICAL DIGITAL DATA PROCESSING (computers in which a part of the computation is effected hydraulically or pneumatically ","G06F","","","",""
"G09B7/06","of the multiple-choice answer-type, i.e. where a given question is provided with a series of answers and a choice has to be made from the answers","","","","","","",""
"G09B7/07","providing for individual presentation of questions to a plurality of student stations","","","","","","",""
"G09B9/00","Simulators for teaching or training purposes  (for the use of weapons F41; computing aspects G06; {protocols for networked simulations H04L29/06034})","F41|G06|H04L29/06034","Protocols for networked simulations, virtual reality or games ","H04L29/06034","","","",""
"G09B9/006","{for locating or ranging of objects}","","","","","","",""
"G09B9/02","for teaching control of vehicles or other craft","","","","","","",""
"G09B9/04","for teaching control of land vehicles","","Abstract tuition, procedural aspects, ","G09B19/14|G09B19/16","","","",""
"G09B9/042","providing simulation in a real vehicle  (G09B9/052, G09B9/058 take precedence)","G09B9/052|G09B9/058","","","","","",""
"G09B9/058","for teaching control of cycles or motorcycles","","","","","","",""
"G09B11/00","Teaching hand-writing, shorthand, drawing, or painting","","Music instruments in generalRepresentaion of music","G10|G10G1/00","","","",""
"G09B11/04","Guide sheets or plates; Tracing charts  (templets for drawing purposes B43L13/20)","B43L13/20","Writing or drawing templates","B43L13/20","","","",""
"G09B11/10","Teaching painting","","","","","","",""
"G09B15/00","Teaching music  (metronomes G04F5/02)","G04F5/02"," Metronomes","G04F5/02","","","",""
"G09B15/002","{Electrically operated systems}","","","","","","",""
"G09B15/04","with sound emitters","","","","","","",""
"G09B15/06","Devices for exercising or strengthening fingers or arms; Devices for holding fingers or arms in a proper position for playing  (for teaching typing G09B13/00; exercising apparatus for developing or strengthening the muscles for physical training A63B21/00, A63B23/00)","G09B13/00|A63B21/00|A63B23/00","Exercising apparatus for developing or strengthening the muscles or joints of the body by working against a counterforce, with or without measuring devices Exercising apparatus specially adapted for particular parts of the body","A63B21/00|A63B23/00","","","",""
"G09B17/00","Teaching reading  (teaching lip-reading G09B21/00)","G09B21/00","","","","","",""
"G09B19/00","Teaching not covered by other main groups of this subclass  (teaching or practice apparatus for gun-aiming or gun-laying F41G3/26)","F41G3/26"," Teaching or practice apparatus for gun-aiming or gun-laying","F41G3/26","Instruments or devices which are adequate for teaching purposes but have no particular features aimed at facilitating tuition should be classified in the corresponding fields rather than in ; for example a black board and chalk don't have intrinsic properties that make them fit for teaching, their respective functions are to serve as a writing support and a writing tool.","G09B19/00","",""
"G09B19/0023","{Colour matching, recognition, analysis, mixture or the like}","","","","","","",""
"G09B19/003","{Repetitive work cycles; Sequence of movements}","","","","","","",""
"G09B19/0046","{History}","","","","","","",""
"G09B19/0053","{Computers, e.g. programming}","","","","Learning methods for atificial intelligence models are not to be classified in  or anywhere in . For such methods, see .","G09B19/0053|G09B|G06N3/08","",""
"G09B19/0061","{Geography}","","Maps ","G09B29/00","","","",""
"G09B19/0076","{Body hygiene; Dressing; Knot tying}","","Tooth brushes , ","A46B15/0002|A47K1/09","","","",""
"G09B19/02","Counting; Calculating  (abacus G06C1/00)","G06C1/00","","","","","",""
"G09B19/06","Foreign languages  (with audible presentation of material to be studied G09B5/04)","G09B5/04","Processing or translation of natural Speech recognition","G06F40/40|G10L","","","",""
"G09B19/10","Modelling","","","","","","",""
"G09B19/16","Control of vehicles or other craft  (simulators G09B9/02)","G09B9/02","","","","","",""
