"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"G16H","HEALTHCARE INFORMATICS, i.e. INFORMATION AND COMMUNICATION TECHNOLOGY [ICT] SPECIALLY ADAPTED FOR THE HANDLING OR PROCESSING OF MEDICAL OR HEALTHCARE DATA","","Signal processing or signal transmission associated to diagnostic measurements, e.g. signal waveform analysisDigital computers in which all the computation is effected mechanicallyDigital fluid-pressure computing devicesOptical computing devicesElectric digital data processingAnalogue computersHybrid computing arrangementsComputer systems based on specific computational modelsData processing systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposesBioinformaticsComputational chemistry; Chemoinformatics; Computational materials science ","A61B5/00|G06C|G06D|G06E|G06F|G06G|G06J|G06N|G06Q|G16B|G16C","","","Handlingof medical or healthcare data covers the acquisition, storage, retrieval, analysis, management, transmission or usage of such data","This place covers: Cross-sectional aspects of computer, information or communication science with medical or healthcare science, where the focus is clearly placed on digital computing or data processing or handling system or methods, which are specially adapted for medical or healthcare science. It deals with the ICT resources, devices, systems and methods for the handling and processing of information and data in healthcare, medicine and well-being. Healthcare informatics tools include not only computers, systems and devices but also clinical guidelines, formal medical terminologies, and information and communication systems. It is applied to the areas of medical care, nursing, diagnosis, therapy, dentistry, surgery, pharmacy, public health, occupational health, wellbeing, medical research and medical cooperation."
"G16H10/00","ICT specially adapted for the handling or processing of patient-related medical or healthcare data  (for medical reports G16H15/00; for therapies or health-improving plans G16H20/00; for the handling or processing of medical images G16H30/00)","G16H15/00|G16H20/00|G16H30/00","","","","","","This place covers: ICT specially adapted for the handling or processing of patient-related medical or healthcare data, e.g. for electronic clinical trials or questionnaires, for data related to laboratory analysis or for patient-specific data."
"G16H10/20","for electronic clinical trials or questionnaires","","Text processingElectrically-operated educational appliances","G06F40/10|G09B5/00","","","","This place covers: ICT specially adapted for the handling and processing of patient-related medical or healthcare data for electronic clinical trials or questionnaires, surveys, polls, studies, forms, enquiries, statistics, with or without manually input data. Example 1: Receiving first information about a patient via a first user interface that is communicatively coupled to a communication network, receiving second information about the patient via a second user interface that is communicatively coupled to the communication network, where the first information and the second information, together, comprise answered questions, evaluating the answered questions to yield follow-up questions and a suggested diagnosis, and transmitting the suggested diagnosis and the follow-up question to the second user interface via the communication network. Example 2: A method for managing a clinical trial, comprising: enabling information exchanges over an Internet-based network with users participating in a clinical trial; deploying over the Internet-based network for use by the users clinical trial setup information including tools to automate creation of a data repository; providing to the users over the Internet-based network, collaborative clinical trial setup and administration functions which allow the users to use the clinical trial setup information to collaborate with each other and administer the clinical trial; performing clinical trial management functions."
"G16H10/40","for data related to laboratory analysis, e.g. patient specimen analysis","","Medicinal preparations containing antigens or antibodiesContainers or dishes for laboratory useMeasuring or testing processes involving enzymes or microorganismsInvestigating or analysing biological material","A61K39/00|B01L3/00|C12Q1/00|G01N33/48","","","","This place covers: ICT specially adapted for the handling or processing of patient-related medical or healthcare data related to laboratory analysis. For example: Administrative and organisational software for laboratories and for testing, e.g. identifiers and tags for examination containers Identifying, labelling, sending, tracking and logging of specimens, samples and of the analysis results Handling of point-of-care testing [POCT] Supervising processes related to laboratory work and testing Handling of RFID tags for laboratory containers Example 1: Confidentially providing laboratory results to a consumer of a sample retrieval kit comprising: labelling the sample with a unique identification number; correlating the identification number with the consumer's identification number; testing the sample to obtain a clinical value; correlating the unique identification number with the clinical value; and electronically providing the clinical value to the consumer in a secure electronic manner. Example 2: Sample processing system with plurality of tracking devices coupled to a respective plurality of sample processing containers and storing sample identification information for a patient sample for use with sample processing devices configured to process the patient sample according to workflow steps of a processing protocol. A plurality of readers is configured to receive signals from the plurality of tracking devices. A controller may be coupled to the plurality of readers and configured to determine if the patient sample is processed according to the processing protocol based at least in part on the signals from the plurality of tracking devices."
"G16H10/60","for patient-specific data, e.g. for electronic patient records","","ICT specially adapted for the handling or processing of medical referencesInformation retrieval; Database structures thereforSecurity arrangements for protecting computers, components thereof, programs or data against unauthorised activity","G16H70/00|G06F16/00|G06F21/00","","","","This place covers: ICT specially adapted for the handling or processing of patient-specific data, e.g. for electronic patient records. It covers patient records (in any form of: local, remote, confidential, public, centralized, distributed, condensed) or reference data thereto; their conversion and merging and handling, and corresponding privacy, security or confidentiality aspects. It covers also databases, other data storage means and methods for handling patient-specific data, or reference data thereto. Example: A central computer has access to consolidated medical and biographical records databases and provides controlled access for local or remotely situated patient computers and healthcare computers. Patients can control access to their own records and/or specific parts of their records. Patients, health care providers and/or interested individuals may also inquire about patient records. Patient records can also be created based on sorting and merging data from different sources."
"G16H10/65","stored on portable record carriers, e.g. on smartcards, RFID tags or CD","","","","","","RFIDRadio-Frequency Identification","This place covers: ICT specially adapted for the handling or processing of patient-related medical or healthcare data for patient-specific data, e.g. for electronic patient records, which are stored on portable record carriers, e.g. on smartcards, RFID tags or CD. At least part of the patient-specific data or reference data thereto, is stored in such a manner that it is wearable or portable for the patient. This is often used for assisting patient identification or fast access to patient information, e.g. for accidents, emergencies, patient visits to doctor's offices or doctors' visits. It covers also patients' RFID tags."
"G16H15/00","ICT specially adapted for medical reports, e.g. generation or transmission thereof","","ICT specially adapted for the handling or processing for patient-specific data, e.g. for electronic patient records","G16H10/60","","","","This place covers: ICT specially adapted for medical reports, e.g. generation or transmission or handling or processing thereof. A medical report is an account of a person's health or wellbeing, or a person's medical, clinical or health history. It can be on paper, screen or merely stored. It covers report generation and distribution, as well as codes, standards and software algorithms for generating reports, which are applicable to any kind of medical or healthcare data: patient-related data or non-patient-related data. Report analysis is however classified in the fitting diagnosis or treatment groups. Example: Reporting healthcare data by creating displays or reports based on aggregating data from healthcare results data and history data. Optionally, patient progress indicators may be determined, narrative reports may be generated which integrate fixed textual matter with patient data, in various formats."
"G16H20/00","ICT specially adapted for therapies or health-improving plans, e.g. for handling prescriptions, for steering therapy or for monitoring patient compliance","","Prescription lists","A61G12/00","","","PrescriptionHealthcare plan for therapy","This place covers: ICT specially adapted for therapies or health-improving plans, e.g. for handling prescriptions, monitoring patients' compliance, handling therapy or health-improving plans. It relates to any kind of therapies, healthcare, regimen, strategies, trainings, plans, schedules, prescriptions or recommendations, relating to improving, restoring or maintaining health, well-being, or medical, clinical or bodily conditions. Well-being also includes lifestyle."
"G16H20/10","relating to drugs or medications, e.g. for ensuring correct administration to patients","","ICT specially adapted for the handling or processing of medical references","G16H70/00","","","","This place covers: ICT specially adapted for therapy or health-improving plans which are based on drugs or medication, e.g. for ensuring correct administration to patients. It covers: prescription, delivery, controlling, administration and monitoring of medication; treatment by medication; prescription handling; compliance checking; medication cross-checking; checking drug interactions; adverse effects of medication. With this, the aim is to make sure that the right patient receives the right medication at the right times and in the right dosages, form, procedure and route."
"G16H20/13","delivered from dispensers","","Containers specially adapted for medical or pharmaceutical purposes","A61J1/00","","","","This place covers: ICT specially adapted for therapy or health-improving plans which are based on drugs or medication delivered to patients from dispensers. Dispensers are meant as automatic machines or containers designed to release a specific amount of drugs or medications. It also covers tags and labels for drugs.  Example 1: Medication dispensing system comprising medicine cabinet with compartments containing medications for access by healthcare attendant for preparing medication dosages for patients; delivery device, e.g. mobile cart, with sections receiving dosages prescribed for patients. Medicine cabinet includes a processor and memory for storing the names of patients and their prescribed medication dosages, and a display screen for displaying the patient names and their respective prescribed medication dosages. The delivery device, e.g. tray, includes a display screen for displaying the patient names and their respective medication dosages, and a communication link with the medicine cabinet through which the cabinet processor communicates to the delivery device the patient names and their respective medication dosages. Example 2: Drug dispensing control system has a drug-dispensing unit with canister receiving a prescribed amount of medication from a prescription filling system. The canister includes a single dose dispensing mechanism. A circuitry, provided in the drug-dispensing unit, allows access to a dose of the medication at a predetermined interval. Example 3: Medication packets are automatically dispensed in the correct dosage amount and provided with identifiers and instructions, e.g. labels, tags, bar codes and/or human readable information."
