"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H01Q","ANTENNAS, i.e. RADIO AERIALS  (radiators or antennas for microwave heating H05B6/72)","H05B6/72","Microwave radiators for near-field therapeutic treatmentApparatus for testing antennas or for measuring antenna characteristicsRadiation diagrams of antennas; antenna testingusing anechoic chamberModification of radiation pattern for cancelling noise or interfering signalsMeans for calibrating or monitoringOptical elementsPhotonic crystalsRecognition and presentation of data; record carriers; handling record carriersTransponder cards without electrical contactsWaveguidesLine connectors; current collectorsModulating electromagnetic waves in radiation field of antennaImpedance networkscoupling circuits between transmission lines and antennasimpedance-matching networksHand-held transceiverswith reducing RF exposureRadio transmission systemsDiversity systemsat transmitting stationat receiving stationRelay systemsCapacity expanding techniquesMonitoring, testingSelectingPrinted circuits; Casings or constructional details of electric apparatus; manufacturescreening against electric or magnetic fields","A61N5/04|G01R|G01R29/10|G01R29/105|G01S7/2813|G01S7/40|G02B|G02B1/005|G06K|G06K19/07749|H01P|H01R|H03C7/02|H03H|H03H2/005|H03H7/38|H04B1/3833|H04B1/3838|H04B7/00|H04B7/02|H04B7/06|H04B7/08|H04B7/14|H04B7/26|H04B17/00|H04Q|H05K|H05K9/00","","","","This place covers: an electrical conductor or array of conductors that radiates signal energy (transmitting) or collects signal energy (receiving); it's a transducer between a guided electromagnetic wave e.g. in a coaxial cable, waveguide, stripline and an electromagnetic wave in free space; the reciprocity relation is valid; the antenna is a passive linear reciprocal device That part of a transmitting or receiving system that is designed to radiate or to receive electromagnetic waves."
"H01Q1/00","Details of, or arrangements associated with, antennas  (arrangements for varying orientation of directional pattern H01Q3/00)","H01Q3/00","","","","","","This place covers: Structural details or features of antennas not dependent on electric operation and applicable to more than one type of antenna. However, structural details or features described with reference to an antenna of a particular type are classified in the group or sub-group appropriate to that type. This implies that any class under   should normally be accompanied by another class specifying the antenna type and/or working principle."
"H01Q1/002","{Protection against seismic waves, thermal radiation or other disturbances, e.g. nuclear explosion; Arrangements for improving the power handling capability of an antenna}","","Cooling","H01Q1/02","","","","This place covers: Power handling capability means efficiency. Also effects due to high-power use, e.g. multipaction, (passive) intermodulation, as far as it relates to antennas, are to be classified here. Illustrative example of subject-matter classified in this group:"
"H01Q1/005","{Damping of vibrations; Means for reducing wind-induced forces}","","Damping of vibrations in general","F16F","","","","This place covers: Also covered by this group: reduction of mechanical deformations of an antenna, mast, etc. Illustrative example of subject-matter classified in this group:"
"H01Q1/007","{specially adapted for indoor communication}","","","","","","","This place covers: Indoor coverage with distributed antennas. 'Indoor' is to be interpreted in a broad sense, e.g. inside an airplane, room, building. Illustrative example of subject-matter classified in this group:"
"H01Q1/02","Arrangements for de-icing; Arrangements for drying-out {; Arrangements for cooling; Arrangements for preventing corrosion}","","Radomes","H01Q1/42","","","","This place covers: Heating for removing snow or ice, for example used to blow droplets of water of the radome of a horn radiator in an earth station antenna. Cooling of T/R modules (see also   Modular arrays). Illustrative example of subject-matter classified in this group:"
"H01Q1/04","Adaptation for subterranean or subaqueous use","","","","","","","This place covers: In a borehole, tunnel, underground or underwater. Illustrative example of subject-matter classified in this group:"
"H01Q1/06","Means for the lighting or illuminating of antennas, e.g. for purpose of warning","","","","","","","This place covers: Originally used for lamps on masts; now also used for a LED on an antenna of a mobile phone. See the class   as lighting devices for signalling; lamps on antennas or powerlines; antenna markers. Illustrative example of subject-matter classified in this group:"
"H01Q1/08","Means for collapsing antennas or parts thereof  (collapsible loop antennas H01Q7/02; means for collapsing H-antennas or Yagi antennas H01Q19/04)","H01Q7/02|H01Q19/04","Collapsible supportsCollapsible helical aerialsCollapsible reflecting surfaces, ","H01Q1/1235|H01Q11/086|H01Q15/161|H01Q15/20","Not used for the extractable antennas as used on mobile phones, nor for the clamshell phones with integrated antennas.","","","This place covers: For example: Illustrative example of subject-matter classified in this group:"
"H01Q1/081","{Inflatable antennas}","","","","","","","This place covers: For example: Illustrative example of subject-matter classified in this group:"
"H01Q1/082","{Balloon antennas}","","Balloon supported antennas","H01Q1/1292","","","","This place covers: For example: Illustrative example of subject-matter classified in this group:"
