"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H01R","ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS","","Switches, fusesSemiconductor devicesCoupling devices of the waveguide type Switching arrangements for the supply or distribution of electric power Installations of electric lines, cables or auxiliary apparatus Printed means for providing electric connections to or between printed","H01H|H01L|H01P5/00|H02B|H02G|H05K","In this subclass, a contact in a coupling device is only regarded as an additional earth contact if this contact is clearly designed for that purpose. General details are classified in groups , , .","H01R4/00|H01R9/00|H01R11/00","Pinrigid or flexible conductor for engagement with an appropriately shaped socket to establish contact therewithSocketrigid or flexible conductor for receiving an appropriate pin to establish electrical contact therewithCoupling devicesdevices having two or more parts specially adapted so as to be capable of ready and repeated physical engagement or disengagement, without the use of a tool, for the purpose of establishing or breaking an electrical path. Examples of such devices having more than two parts are: a) adapters for linking two coupling parts; and b) rails or bus-bars provided with a plurality of discrete connecting locations for counterparts","This place covers: all kinds of contact-making disconnectible and non-disconnectible electric line connectors, coupling devices, lamp or similar holders or current collectors for all kinds of electric lines, cables or apparatus; non-printed means for electric connections to or between printed circuits."
"H01R3/00","Electrically-conductive connections not otherwise provided for","","","","","","","This place covers: Fixed connections types which are not foreseen elsewhere in  ."
"H01R3/08","for making connection to a liquid {(slip rings with liquid contacts H01R39/30, H01R39/646)}","H01R39/30|H01R39/646","Electrodes for batteries or accumulators","H01M","","","",""
"H01R4/00","Electrically-conductive connections between two or more conductive members in direct contact, i.e. touching one another; Means for effecting or maintaining such contact; Electrically-conductive connections having two or more spaced connecting locations for conductors and using contact members penetrating insulation","","Two-part coupling devices ,  - Details of disengageable contacts of two-part coupling devices Flexible or turnable line connectors Non rotary current collectors ","H01R12/70|H01R24/00|H01R33/00|H01R13/00|H01R35/00|H01R41/00","","","","This place covers: Fixed connections, e.g. soldered, welded, spliced; Direct connections between conductors and conductive members of coupling; Insulation-penetrating"
"H01R4/02","Soldered or welded connections {(H01R4/625, H01R4/723, H01R12/59 take precedence)}","H01R4/625|H01R4/723|H01R12/59","","","","","",""
"H01R4/029","{Welded connections  (H01R4/021 - H01R4/028 take precedence)}","H01R4/021|H01R4/028","","","","","",""
"H01R4/06","Riveted connections  (by explosion H01R4/08)","H01R4/08","","","","","","This place covers: Illustrative example of subject matter classified in  : flatconductor cable (21,17) is connected to conductive member (9) via riveted structure (5):"
"H01R4/12","by twisting","","","","","","","This place covers: Illustrative example of subject matter classified in  : twisted cables (12) using element (3) for twisting:"
"H01R4/14","by wrapping","","","","","","","This place covers: Illustrative example of subject matter classified in  : terminals (106) and (107) are connected via wrapped around wire (108):"
"H01R4/16","by bending","","","","","","","This place covers: Illustrative example of subject matter classified in  : wire (5) is connected to an conductor plate (31) using press bits (43):"
"H01R4/18","by crimping {(H01R4/01, H01R4/2495 take precedence; for coaxial cables H01R9/0518)}","H01R4/01|H01R4/2495|H01R9/0518","","","","","",""
"H01R4/182","{for flat conductive elements, e.g. flat cables  (H01R4/01 takes precedence)}","H01R4/01","","","","","",""
"H01R4/183","{for cylindrical elongated bodies, e.g. cables having circular cross-section  (H01R4/01 takes precedence)}","H01R4/01","","","","","",""
"H01R4/185","{combined with a U-shaped insulation-receiving portion}","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/20","using a crimping sleeve {(H01R4/01 takes precedence)}","H01R4/01","","","","","",""
"H01R4/22","End caps, i.e. of insulating or conductive material for covering or maintaining connections between wires entering the cap from the same end","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/24","Connections using contact members penetrating or cutting insulation or cable strands","","For multiphase cablesFor coaxial cablesFor flat cables","H01R9/031|H01R9/053|H01R12/67","","","",""
"H01R4/2404","the contact members having teeth, prongs, pins or needles penetrating the insulation","","Penetration into a wire end in axial direction","H01R4/5033","","","",""
"H01R4/2408","actuated by clamping screws","","Clamped connection using a screw","H01R4/30","","","",""
"H01R4/2425","Flat plates, e.g. multi-layered flat plates","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/2462","the contact members being in a slotted bent configuration, e.g. slotted bight","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/26","Connections in which at least one of the connecting parts has projections which bite into or engage the other connecting part in order to improve the contact  ({H01R4/188, H01R4/203, H01R4/5075 take precedence}; using shape memory materials H01R4/01)","H01R4/188|H01R4/203|H01R4/5075|H01R4/01","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/28","Clamped connections, spring connections  (made by means of terminals specially adapted for contact with, or insertion into, printed circuits H01R12/00)","H01R12/00","","","","","",""
"H01R4/30","utilising a screw or nut clamping member  (H01R4/50 takes precedence; utilising a clamping member acted on by screw or nut H01R4/38; {for coaxial cables H01R9/0521})","H01R4/50|H01R4/38|H01R9/0521","","","","","",""
"H01R4/302","{having means for preventing loosening of screw or nut, e.g. vibration-proof connection}","","Locking of screw or nut in general","F16B39/00","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/307","{characterised by the thread of the screw or nut}","","Shapes of thread, special thread forms","F16B33/02","","","",""
"H01R4/38","utilising a clamping member acted on by screw or nut  (H01R4/50 takes precedence)","H01R4/50","","","","","",""
"H01R4/44","Clamping areas on both sides of screw","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/48","utilising a spring, clip, or other resilient member  (H01R4/52 takes precedence)","H01R4/52","","","","","",""
"H01R4/4827","{with an opening in the housing for insertion of a release tool}","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/505","{using an excentric element}","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/56","one conductor screwing into another","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R4/58","characterised by the form or material of the contacting members  (H01R4/01 takes precedence)","H01R4/01","","","","","","This place covers: Illustrative example of subject matter classified in  GB2256977"
"H01R4/60","Connections between or with tubular conductors  (H01R4/56 takes precedence)","H01R4/56","","","","","",""
"H01R4/62","Connections between conductors of different materials; Connections between or with aluminium or steel-core aluminium conductors  (H01R4/68 takes precedence)","H01R4/68","","","","","",""
"H01R4/66","Connections with the terrestrial mass, e.g. earth plate, earth pin","","","","","","","This place covers: Illustrative example of subject matter classified in  . "
"H01R4/70","Insulation of connections  (end caps H01R4/22)","H01R4/22","","","","","",""
"H01R4/72","using a heat shrinking insulating sleeve","","Heat recovarable plastics","B29C61/00","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/00","Structural associations of a plurality of mutually-insulated electrical connecting elements, e.g. terminal strips or terminal blocks; Terminals or binding posts mounted upon a base or in a case; Bases therefor","","Individual connecting parts , Coupling devices ,  - Flexible or turnable line connectors ","H01R4/00|H01R11/00|H01R12/70|H01R24/00|H01R33/00|H01R35/00","","","","This place covers: Structural associations of mutually-insulated electrical connecting elements"
"H01R9/031","{for multiphase cables, e.g. with contact members penetrating insulation of a plurality of conductors  (insulation penetrating contact members in general H01R4/24)}","H01R4/24","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/05","for coaxial cables","","","","","","","This place covers: Structural associations of coaxial cables"
"H01R9/0521","{Connection to outer conductor by action of a nut}","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/0524","{Connection to outer conductor by action of a clamping member, e.g. screw fastening means  (H01R9/0515 takes precedence)}","H01R9/0515","","","","","",""
"H01R9/16","Fastening of connecting parts to base or case; Insulating connecting parts from base or case","","Lead-through insulators ","H01B17/26","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/22","Bases, e.g. strip, block, panel {(for printed circuits H01R12/50)}","H01R12/50","","","","","","This place covers: Terminal strips, blocks, bases"
"H01R9/223","{Insulating enclosures for terminals  (for switches H01H9/0264)}","H01H9/0264","","","","","",""
"H01R9/226","{comprising a plurality of conductive flat strips providing connection between wires or components  (H01R9/2425 takes precedence)}","H01R9/2425","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/24","Terminal blocks","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/2408","{Modular blocks  (H01R9/26 takes precedence)}","H01R9/26","","","","","",""
"H01R9/2425","{Structural association with built-in components  (for coupling parts H01R13/66)}","H01R13/66","","","","","",""
"H01R9/2608","{Fastening means for mounting on support rail or strip  (H01R9/2691 takes precedence; for switch or other electrical device H02B1/042)}","H01R9/2691|H02B1/042","","","","","",""
"H01R9/2691","{with ground wire connection to the rail}","","","","","","","This place covers: Illustrative example of subject matter classified in "
"H01R9/28","Terminal boards","","","","","","","This place covers: Illustrative example of subject matter classified in "
