"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H02G","INSTALLATION OF ELECTRIC CABLES OR LINES, OR OF COMBINED OPTICAL AND ELECTRIC CABLES OR LINES  (distribution points incorporating switches H02B; guiding telephone cords H04M1/15; cable ducts or mountings for telephone or telegraph exchange installations H04Q1/06)","H02B|H04M1/15|H04Q1/06","","","","","""electric cable"" includes cables comprising optical conductors, e.g. fibres, in combination with electrical conductors","This place covers: Installation of communication cables or lines, including those comprising a combination of optical and electrical conductors, or of lightning conductors as well as installation of power cables or lines."
"H02G1/00","Methods or apparatus specially adapted for installing, maintaining, repairing or dismantling electric cables or lines","","","","","","","This place covers: Installation planning Tools for preparing walls, floor and ceilings, e.g. drilling tools Templates for positioning electrical boxes Laying cables Removing insulation from cables Joining or terminating cables"
"H02G1/02","for overhead lines or cables","","Cleaning of insulatorsEarthing sticks for live working","H01B17/52|H01R4/64","","","","This place covers: Planning of high voltage electrical networks Maintenance and repair of overhead lines Apparatus for workers, e.g. robots or carriages travelling along the lines Specialized vehicles Cleaning of electrical lines"
"H02G1/04","for mounting or stretching  (wire stretchers in general B25B25/00)","B25B25/00"," Wire stretchers in generalInstallation of trolley lines, ","B25B25/00|B60M1/28","","","","This place covers: Ground vehicles or Helicopter stringing Methods for stringing Devices temporarily fixed to pole for stringing lines"
"H02G1/06","for laying cables, e.g. laying apparatus on vehicle  (combined with trench digging or back-filling machines or dredgers E02F5/00)","E02F5/00","Trench digging or back-filling machines or dredgers","E02F5/00","","","","This place covers: The process of laying cables."
"H02G1/08","through tubing or conduit, e.g. rod or draw wire for pushing or pulling {(inserting electrical cables into tubes using wallbores E21B17/206; for optical cables G02B6/4401)}","E21B17/206|G02B6/4401","","","","","","This place covers: Not only inserting wires into conduits, but also removing wires from conduit where conduit stays intact."
"H02G1/12","for removing insulation or armouring from cables, e.g. from the end thereof  (pliers in general B25B; cutters in general B26B)","B25B|B26B","Pliers in generalCutters in general","B25B|B26B","","","",""
"H02G1/1207","{the cutting element not rotating about the wire or cable  (making longitudinal and transverse or helical cut H02G1/1229)}","H02G1/1229","","","","","",""
"H02G1/1221","{the cutting element rotating about the wire or cable  (making longitudinal and transverse or helical cut H02G1/1229)}","H02G1/1229","","","","","",""
"H02G1/1251","{the cutting element not rotating about the wire or cable  (making longitudinal and transverse or helical cut H02G1/1268)}","H02G1/1268","","","","","",""
"H02G1/1265","{the cutting element rotating about the wire or cable  (making longitudinal and transverse or helical cut H02G1/1268)}","H02G1/1268","","","","","",""
"H02G1/14","for joining or terminating cables  (joining electric conductors H01R43/00)","H01R43/00","","","","","","This place covers: The process of joining (end-to end) or bundling (side-by-side) or terminating cables"
"H02G3/00","Installations of electric cables or lines in or on buildings, equivalent structures or vehicles  (installations of bus-bars H02G5/00; overhead installations H02G7/00; installations in or on the ground H02G9/00; channels or vertical ducts for receiving utility lines E04F17/08; wiring of electric apparatus in general H05K)","H02G5/00|H02G7/00|H02G9/00|E04F17/08|H05K","Supports for pipes, cables or protective tubing, specially adapted for supporting the pipes all along their length, e.g. pipe channels or ductsWiring of electric apparatus in general","F16L3/26|H05K","","","","This place covers: Complete wiring of buildings or rooms Pre-wired installation Wirings for modular walls"
"H02G3/02","Details","","Labels","G09F3/00","","","","This place covers: Marking or labelling of cable channels"
"H02G3/04","Protective tubings or conduits {or channels or other supports} (pipes or tubings in general F16L)","F16L","Pipes or tubings in general","F16L","","","",""
"H02G3/0406","{Details thereof  (installation or suspension of conduit channels and other supports H02G3/263)}","H02G3/263","","","","","","This place covers: Manufacture of cable channels End pieces Dividers inside channels"
"H02G3/0412","{Heat or fire protective means  (for fire in electric circuits A62C3/16)}","A62C3/16","For fire in electric circuitsFor tubing in general","A62C3/16|F16L5/04","","","IntumescentMaterial expanding in case of fire or heat to fill air gaps","This place covers: Protection for fire coming from outside or inside. Use of intumescent materials"
"H02G3/0418","{Covers or lids; Their fastenings}","","","","","","","This place covers: Covers or lids only for cable channels, not for electrical boxes, housing or enclosures."
"H02G3/0425","{Plinths  (borders for use between floor or ceiling and wall E04F19/04)}","E04F19/04","Borders for use between floor or ceiling and wall","E04F19/04","","","",""
"H02G3/0437","{Channels}","","Pipe channels or ducts","F16L3/26","","","","This place covers: Non circular channels or raceways or wire harness fully enclosing the cables"
"H02G3/045","{provided with perforations or slots permitting introduction or exit of wires}","","","","","","","This place covers: Raceways or conduits or wire harness having side exits for cables, e.g. breakable parts."
"H02G3/0456","{Ladders or other supports}","","For pipes or ducts in general","F16L3/22","","","","This place covers: Open supports for cables or wire harness"
"H02G3/0462","{Tubings, i.e. having a closed section}","","Pipes placed side by side in contact with each other","F16L3/23","","","","This place covers: Single piece channels"
"H02G3/0468","{Corrugated}","","","","","","","This place covers: Tubings having radial ondulations"
"H02G3/0475","{formed by a succession of articulated units}","","","","","","",""
"H02G3/0481","{with a circular cross-section  (H02G3/0468, H02G3/0475 take precedence)}","H02G3/0468|H02G3/0475","","","","","",""
"H02G3/0487","{with a non-circular cross-section  (H02G3/0468, H02G3/0475 take precedence)}","H02G3/0468|H02G3/0475","","","","","",""
"H02G3/0493","{Service poles}","","Medical bed nursing arrangements","A61G12/00","","","","This place covers: Vertical ducts"
"H02G3/06","Joints for connecting lengths of protective tubing {or channels}, to each other or to casings, e.g. to distribution boxes; Ensuring electrical continuity in the joint","","Connecting general pipes to walls","F16L5/00","","","","This place covers: Only cylindrical conduits joint"
"H02G3/065","{with means biting into the conductor-insulation, e.g. teeth-like elements or gripping fingers  (H02G3/0675, H02G3/0683 take precedence)}","H02G3/0675|H02G3/0683","","","","","",""
"H02G3/0658","{with means constricting the conductor-insulation  (H02G3/065, H02G3/0675, H02G3/0683 take precedence)}","H02G3/065|H02G3/0675|H02G3/0683","","","","","",""
