"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H02J","CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY","","Steam turbinesGas turbinesWind power generationPhotovoltaic elementsFuel cellsBoards, substations or switching arrangementsElectric protectionsCircuits or apparatus for the conversion of electric power, arrangements for control or regulation of such circuits or apparatusControl or regulation of electric motors, electric generators or dynamo-electric convertersSolar power generationControl of high-frequency powerAdditional use of power line or power network for transmission of information","F01K|F02C|F03D|H01L31/00|H01M8/00|H02B|H02H|H02M|H02P|H02S|H03L|H04B","Claimed devices, systems, and methods always have to be classified. If there is additional information disclosed, then indexing codes for the additional information must be allocated.If a breakdown indexing code of the subclass  (only for additional information) is given, it must always be accompanied by a main trunk symbol under , for invention or additional information.","H02J|H02J","Wireless energy transfernon-conductive energy transfer, even if conductors can be used for implementing the separated sending and receiving units","This place covers: ac and/or dc supplying systems ac and/or dc distribution networks circuit arrangements for battery supplies, including charging or control thereof, or co-ordinated supply from two or more sources of any kind circuit arrangement providing remote indication and control of a network switch systems for supplying or distributing electric power by electromagnetic waves"
"H02J1/00","Circuit arrangements for dc mains or dc distribution networks","","Load protection by tripping of the load for dc systemsDC/DC power convertersAC/DC or DC/AC power converters","H02H|H02M3/00|H02M7/00","","","",""
"H02J1/02","Arrangements for reducing harmonics or ripples","","","","","","",""
"H02J1/10","Parallel operation of dc sources","","","","","","","This place covers: Circuit arrangements, systems and methods for the parallel connection of DC sources. Parallel operation must be interpreted as the operational characteristics allowing that the parallel-connected sources supply the load, for instance, how to share the load among the different sources, or how to sequentially switch different power sources on."
"H02J1/102","{being switching converters  (H02J1/108, H02J1/12 take precedence)}","H02J1/108|H02J1/12","Conversion of dc power input into dc power output without intermediate conversion into ac by static converters using semiconductor devices as final control devices for a single load Single converters with a plurality of output stages connected in parallel","H02M3/158|H02M3/285","","","","This place covers: Parallel operation of DC sources, where the sources are switched mode power supplies (SMPS), i.e. power electronic converters with a DC output."
"H02J1/108","{using diodes blocking reverse current flow  (H02J1/12 takes precedence)}","H02J1/12","","","","","",""
"H02J1/14","Balancing the load in a network","","","","","","","This place covers: Balancing the load in a DC distribution network, either by avoiding overloading one section of the network, or by load shedding"
"H02J3/00","Circuit arrangements for ac mains or ac distribution networks","","Wind turbinesComputer systems for tradingSystems, methods for trading (electricity/gas/water)Details of switches for load protection Photovoltaic panelMechanical details of connectorsElectromechanical detailsLoad protection by tripping of the load for ac systemsHarmonic reduction application for convertersDetails of converters for reactive power compensation and ac power generation from dc sourcesDetails of converters for HVDCPreventing/reducing oscillation with a single generator","F03D9/00|G06Q30/00|G06Q50/06|H01H|H01L31/00|H01R|H02B|H02H|H02M1/12|H02M7/48|H02M7/7575|H02P9/00","","","","This place covers: Arrangements for selectively connecting the load to one among a plurality of power lines or power sources Arrangements for reducing harmonics or ripples Arrangements using a single network for simultaneous distribution of power at different frequencies; using a single network for simultaneous distribution of ac power and of dc power Arrangements for connecting networks of the same frequency but supplied from different sources Constant-current supply systems Arrangements for adjusting, eliminating, or compensating reactive power in networks Arrangements for preventing or reducing oscillations of power in networks Arrangements for eliminating or reducing asymmetry in polyphase networks Arrangements for balancing of the load in a network by storage of energy Arrangements for transfer of electric power between networks of substantially different frequency Arrangements for transfer of electric power between ac networks via a high-tension dc link Arrangements for parallely feeding a single network by two or more generators, converters or transformers"
"H02J3/005","{Arrangements for selectively connecting the load to one among a plurality of power lines or power sources  (for providing uninterruptable power supply H02J9/00)}","H02J9/00","","","","","",""
"H02J3/01","Arrangements for reducing harmonics or ripples","","Arrangements for reducing harmonics or ripples in converters","H02M1/12","","","",""
