"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H02P","CONTROL OR REGULATION OF ELECTRIC MOTORS, ELECTRIC GENERATORS OR DYNAMO-ELECTRIC CONVERTERS; CONTROLLING TRANSFORMERS, REACTORS OR CHOKE COILS","","CurtainHand hammers, drillsPrintersPower steeringHeating cooling ventilatingElectrically propelled vehicles, current collector, maglevLightingElectric circuits for vehicle, Wiper controlMarine ElevatorWashing machines, household appliancesSliding roof, power windowGas turbineStarting of engine with electric motorWindmillsPumps, compressorsMotor coolingStructure of the mechanical brakeAir-conditioningRefrigerationMeasuring arrangementsElectromagnetic actuatorsSafety, control principlesPosition control, servosStructure of the mechanical speed regulatorControl of linear speed, control of angular speed; control of acceleration or decelerationSystems for regulating electric or magnetic variables using transformers, reactors or choke coils Cooling fans for computersData storage device (hard disk CD, DVD BlueRay...)Structure of the variable resistorMagnets, inductances or transformers structurally associated with motors, generators, dynamo-electric converters, transformers, reactors or choke coils Structure of the starter switchEmergency protective arrangements with automatic interruption of supplyDynamo-electric machines structurally associated with motors, generators, dynamo-electric converters, transformers, reactors or choke coilsApparatus for conversion between AC and AC, AC and DC or DC and DC and for use with mains or similar power supply systems; conversion of DC or AC input power into surge output power; control or regulation thereofAutomatic control, starting, synchronisation, or stabilisation of generators of electronic oscillations or pulses Housing, cooling of housing ","A47H|B25D17/00|B41J|B42D5/00|B60H1/00|B60L|B60Q1/00|B60R|H02J|B60S1/00|B63H|B66B|D06F39/00|E05F|F02C|F02N11/00|F03D|F04B|F04D|F16D|F24F|F25B|G01B7/00|G02B26/00|G05B9/00|G05B19/00|G05D|G05D13/00|G05F|G06F1/00|G11B|H01C|H01F|H01H|H02H|H02K|H02M|H03L|H05K","","","Controlinfluencing a variable in any way, e.g. changing its direction or its value (including changing it to or from zero), maintaining it constant, limiting its range of variation; Regulationmaintaining a variable at a desired value, or within a desired range of values, by comparison of the actual value with the desired value.","This place covers: Arrangements for starting, regulating, electronically commutating, braking, or otherwise controlling: motors, generators, dynamo-electric converters, clutches, brakes, gears, transformers, reactors or choke coils, of the types classified in the relevant subclasses, e.g.  ,  ."
"H02P1/00","Arrangements for starting electric motors or dynamo-electric converters  (starting of synchronous motors with electronic commutators except reluctance motors, H02P6/20, H02P6/22; starting dynamo-electric motors rotating step by step H02P8/04; vector control H02P21/00)","H02P6/20|H02P6/22|H02P8/04|H02P21/00","","","","","",""
"H02P1/021","{Protection against ""no voltage condition""}","","","","","","","This place covers: Arrangements or measures for starting a motor when the power re-establishes after a power failure, e.g. when the motor does not automatically starts turning."
"H02P1/029","{Restarting, e.g. after power failure}","","","","","","","This place covers: In particular restarting before the motor has stopped."
"H02P1/10","Manually-operated on/off switch controlling relays or contactors operating sequentially for starting a motor  (sequence determined by power-operated multi-position switch H02P1/08)","H02P1/08","","","","","",""
"H02P1/12","Switching devices centrifugally operated by the motor","","Starting an individual polyphase induction motor","H02P1/26","","","","This place covers: Repulsion start induction motor (RS-IM): An alternating-current motor that starts as a repulsion motor; at a predetermined speed the commutator bars are short-circuited to give the equivalent of a squirrel-cage winding for operation as an induction motor with constant-speed characteristics."
"H02P1/18","for starting an individual dc motor","","Starting of a commutator motor supplied with AC Computer fans ","H02P1/24|G06F1/20","","","","This place covers: Starting of DC motors supplied with a DC voltage, whereby the motor is seen as an independent block not being further elaborated. Starting of commutated motors Starting of fan motors for a PC, also being supplied with DC"
"H02P1/20","by progressive reduction of resistance in series with armature winding","","","","","","","This place covers: The resistance may be an actual resistor or it could also be a semiconductor operating in its linear region."
"H02P1/24","for starting an individual ac commutator motor  (starting of ac/dc commutator motors H02P1/18)","H02P1/18","","","","","","This place covers: In this group is for starting a commutator motor supplied by AC."
"H02P1/26","for starting an individual polyphase induction motor","","Repulsion start induction motor (RS-IM)","H02P1/12","","","","This place covers: Repulsion start induction motor (RS-IM): An alternating-current motor that starts as a repulsion motor; at a predetermined speed the commutator bars are short-circuited to give the equivalent of a squirrel-cage winding for operation as an induction motor with constant-speed characteristics."
"H02P1/265","{Means for starting or running a triphase motor on a single phase supply}","","","","","","","This place covers: Other means than an inverter"
"H02P1/28","by progressive increase of voltage applied to primary circuit of motor","","","","","","","This place covers: Other means than an inverter."
"H02P1/30","by progressive increase of frequency of supply to primary circuit of motor","","","","","","","This place covers: Other means than an inverter."
"H02P1/34","by progressive reduction of impedance in secondary circuit","","","","","","","This place covers: The resistance may be an actual resistor or it could also be a semiconductor operating in its linear region."
"H02P1/38","by pole-changing","","Pole changing for purposes other then starting","H02P25/20","","","",""
"H02P1/42","for starting an individual single-phase induction motor {(H02P27/04 takes precedence)}","H02P27/04","Running of a single phase induction motor","H02P25/04","","","",""
"H02P1/426","{by using a specially adapted frequency converter}","","","","","","","This place covers: Any typical frequency converter can be used to start from almost DC to nominal speed without modifications. These documents are not to be classified in this group except in the case where special measures are integrated with the sole purpose of starting."
