"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H02S","GENERATION OF ELECTRIC POWER BY CONVERSION OF INFRA-RED RADIATION, VISIBLE LIGHT OR ULTRAVIOLET LIGHT, e.g. USING PHOTOVOLTAIC [PV] MODULES  (obtaining electrical energy from radioactive sources G21H1/12; light sensitive inorganic semiconductor devices H01L31/00; thermoelectric devices H01L35/00; pyroelectric devices H01L37/00; light sensitive organic semiconductor devices H01L51/42)","G21H1/12|H01L31/00|H01L35/00|H01L37/00|H01L51/42","Space applications, e.g. power supply for satellites made of solar cell modulesSolar heat collectorsSystems for regulating electric power to the maximum power available from a generator, e.g. from PV cellsCircuit arrangements or systems for supplying or distributing electric power","B64G1/00|F24S|G05F1/67|H02J","","","","This place covers: Photovoltaic [PV] power plants, e.g. mobile PV generator systems Combination of PV power plants with other systems for generation of electric energy Supporting structures for PV modules Structural details of PV modules not involving light conversion Components or accessories specially adapted for PV modules, e.g. cleaning arrangements, optical components, electrical components, thermal components Monitoring or testing of PV systems, e.g. load balancing or fault identification Testing of PV devices"
"H02S10/00","PV power plants; Combinations of PV energy systems with other systems for the generation of electric power","","","","","","","This place covers: PV power plants Hybrid diesel-PV energy systems Hybrid wind-PV energy systems Hybrid hydroelectric-PV energy systems PV power plants comprising energy storage means integrated therein or associated therewith Thermophotovoltaic systems Mobile PV generators"
"H02S10/10","including a supplementary source of electric power, e.g. hybrid diesel-PV energy systems  (combinations with gas-turbine plants F02C6/00)","F02C6/00","","","","","","This place covers: PV power plants combined with a supplementary source of electric energy, e.g. combined with a diesel generator or a hydroelectric power plant"
"H02S10/12","Hybrid wind-PV energy systems","","Wind Motors per se","F03D","","","","This place covers: Electric power generators, where wind turbines are combined with PV modules, e.g.:"
"H02S10/20","Systems characterised by their energy storage means  (H02S40/38 takes precedence)","H02S40/38","Energy storage means directly associated or integrated with the PV cellSecondary accumulators structurally combined with charging apparatus, e.g. solar battery charging systemCircuit arrangements for charging batteries with solar cells","H01L31/053|H01M10/46|H02J7/35","","","","This place covers: PV power plants including rechargeable batteries for energy storage."
"H02S10/30","Thermophotovoltaic systems  (photovoltaic cells specially adapted for conversion or sensing of infra-red [IR] radiation H01L31/00; thermoelectric devices H01L35/00)","H01L31/00|H01L35/00","Burners","F23D","","","","This place covers: Systems formed by an infrared radiation emitting source and by a (an array of) low band-gap solar cell(s) which are specifically sensitive to the infrared spectrum emitted by the source. Generally two types of system are the most common one: one in which a special emitter (of refractory materials) is heated (e.g. by a gas flame) and emits a specially adapted infrared spectrum, the other in which the solar light is concentrated in a cavity and converted by the solar cells situated in the cavity. This subgroup is used to classify documents covering aspects of the systems, including the specific radiators."
"H02S10/40","Mobile PV generator systems","","Collapsible or foldable PV modules","H02S30/20","","","","This place covers: PV generator systems being movable or displaceable Example:"
"H02S20/00","Supporting structures for PV modules","","Other supports for positioning apparatus or articles per se","F16M13/00","Supporting structures also intended for use with solar heat collectors should also be classified in groups  or ","F24S50/20|F24S25/00","","This place covers: Mechanical structures for supporting one or a plurality of PV modules. Example:"
"H02S20/10","Supporting structures directly fixed to the ground  (H02S20/30 takes precedence)","H02S20/30","","","","","",""
"H02S20/20","Supporting structures directly fixed to an immovable object  (H02S20/30 takes precedence)","H02S20/30","Mobile PV generators","H02S10/40","","","",""
