"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H03D","DEMODULATION OR TRANSFERENCE OF MODULATION FROM ONE CARRIER TO ANOTHER  (masers, lasers H01S; circuits capable of acting both as modulator and demodulator H03C; details applicable to both modulators and frequency-changers H03C; demodulating pulses H03K9/00; transforming types of pulse modulation H03K11/00; coding, decoding or code conversion, in general H03M; repeater stations H04B7/14; demodulators adapted for ac systems of digital information transmission H04L27/00; synchronous demodulators adapted for colour television H04N9/66)","H01S|H03C|H03C|H03K9/00|H03K11/00|H03M|H04B7/14|H04L27/00|H04N9/66","Coding, decoding or code conversion, in general  Further details of receivers within transmission systems  Further circuits for superheterodyne receivers within transmission systems  ","H03M|H04B1/06|H04B1/26","","","Homodyne, synchrodyne or zero-IF receiver A receiver in which the local oscillator (LO) frequency is set to the same frequency as the received RF carrier frequency resulting in direct conversion of the received signal to a baseband (or zero IF) frequency for information recovery. In a near-zero IF receiver, the LO frequency is set very close to the carrier frequency of the RF signal.Superheterodyne receiverA receiver in which a received RF signal is converted to an intermediate frequency (IF) by at least one stage of frequency conversion (e.g. a ‘mixer’ stage which forms the product of the RF signal and a local oscillator signal)","This place covers: Demodulation or transference of signals modulated on a sinusoidal carrier or on electromagnetic waves."
"H03D1/00","Demodulation of amplitude-modulated oscillations  (H03D5/00, H03D9/00, H03D11/00 take precedence)","H03D5/00|H03D9/00|H03D11/00","Homodyne or synchrodyne single sideband receivers  ","H04B1/302","Documents should in general be classified in all subgroups which apply, e.g. a single sideband modulator may, in addition to , be classified in , if it is a transistor type.","H03C1/60|H03C1/36","IP2Second Order Intercept PointIM2Second order intermodulation product","This place covers: Demodulation of signals being amplitude-modulated on a sinusoidal carrier."
"H03D1/04","Modifications of demodulators to reduce interference by undesired signals","","","","","","","This place covers: Example:     WO2011047703 IM2 reduction e.g. by summing RF signal to LO"
"H03D1/08","by means of non-linear two-pole elements  (H03D1/22, H03D1/26, H03D1/28 take precedence)","H03D1/22|H03D1/26|H03D1/28","","","","","",""
"H03D1/14","by means of non-linear elements having more than two poles  (H03D1/22, H03D1/26, H03D1/28 take precedence)","H03D1/22|H03D1/26|H03D1/28","","","","","",""
"H03D1/18","of semiconductor devices","","","","","","","This place covers: Example:     US2009015295 Amplitude demodulation using e.g. MOS transistors"
"H03D1/22","Homodyne or synchrodyne circuits {(receiver circuits H04B1/30)}","H04B1/30","Homodyne or synchrodyne receiver circuits  ","H04B1/30","","","","This place covers: Example:     EP2315350 Demodulation using two quadrature channels (20b) and a PLL (12) in a synchronous circuit. (Analog/digital converter 6, decimation filter 8, Hilbert filter 10; elements 14, 16, 18, 20, 22 are not relevant for the demodulation principle)"
"H03D1/2227","{using switches for the decoding  (diodes used as switches H03D1/2218)}","H03D1/2218","Diodes used as switches   ","H03D1/2218","","","",""
"H03D1/2245","{using two quadrature channels  (H03D1/2209 takes precedence)}","H03D1/2209","","","","","",""
"H03D1/2254","{and a phase locked loop}","","Mean frequency regulation of modulators using a phase locked loop  ","H03C3/0908","","","",""
"H03D1/2272","{using FET's  (H03D1/2209, H03D1/2245 and H03D1/2281 take precedence)}","H03D1/2209|H03D1/2245|H03D1/2281","","","","","",""
