"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H03G","CONTROL OF AMPLIFICATION  (impedance networks, e.g. attenuators, H03H; control of transmission in lines H04B3/04)","H03H|H04B3/04","","","","","","This place covers: Control of gain of amplifiers or frequency-changers Control of frequency range of amplifiers Limiting amplitude or rate of change of amplitude"
"H03G1/00","Details of arrangements for controlling amplification {(for arrangements combined with means for generating a controlling signal, or these means per se, see the other main groups of H03G)}","H03G","Cascode amplifiersDifferential amplifiersResistor networks","H03F1/22|H03F3/45|H03H7/24","","","","This place covers: Details of gain control loops. The invention can be found in the details. This is opposite to control systems in which the total system, including the loop, is the invention."
"H03G1/0023","{in emitter-coupled or cascode amplifiers  (H03G1/0029 takes precedence)}","H03G1/0029","","","","","","This place covers: This is an important subgroup, including the emitter-coupled or cascode amplifiers. In these amplifiers, the gain is changed by e.g. a controlled resistor between coupled emitters."
"H03G1/0029","{using FETs}","","","","","","","This place covers: The subgroup   takes precedence and includes the same structures as  , but uses FETs instead of bipolar transistors."
"H03G1/0035","{using continuously variable impedance elements}","","","","","","","This place covers: This subgroup includes continuously variable elements that change the gain in a continuous manner. The control signal is an analogue signal."
"H03G1/0088","{using discontinuously variable devices, e.g. switch-operated}","","","","","","","This place covers: This subgroup includes discontinuously variable elements that change the gain. Discontinuously variable elements change the gain stepwise. Often a digital signal controls the gain."
"H03G3/00","Gain control in amplifiers or frequency changers {without distortion of the input signal} (gated amplifiers H03F3/72; peculiar to television receivers H04N)","H03F3/72|H04N","Amplitude control for seismic recording Speech amplifiers in telephonesHearing aids","G01V1/24|H04M1/60|H04R25/00","","","","This place covers: The gain of amplifiers or frequency changers is controlled. The main concept of controlling is the feedback loop from the output of the amplifier to a controlling element. Other gain control concepts are possible."
"H03G3/001","{Digital control of analog signals}","","","","","","","This place covers: This subgroup includes important details of the digital domain used for controlling an analogue signal; e.g. multiplying DACs."
"H03G3/002","{Control of digital or coded signals  (H03G3/3089 take precedence)}","H03G3/3089","","","","","","This place covers: In this subgroup, mathematical methods in the digital domain are included. In this subgroup, either the control loop is not described in the description, or parts of the amplifier are very detailed."
"H03G3/02","Manually-operated control {(H03G3/001 and H03G3/002 take precedence)}","H03G3/001|H03G3/002","","","","","","This place covers: In this subgroup, the amplification is manually controlled; e.g.buttons or sliders are included to be used by a person"
"H03G3/20","Automatic control  ({H03G3/005 takes precedence } ; combined with volume compression or expansion H03G7/00)","H03G3/005|H03G7/00","","","","","","This place covers: This is a heading subgroup for the further automatic control subgroups. The gain of amplifiers is controlled with an automatic system. The main automatic concept for controlling is the feedback loop from the output of the amplifier to a controlling element. Most systems are classified in the following classes"
"H03G3/30","in amplifiers having semiconductor devices","","","","","","","This place covers: This is a heading subgroup for the further automatic control subgroups having semiconductor devices. This group is also used when the amplifiers are not further described and either presented in functional blocks or just obviously have semiconductor devices. Most systems are classified in the following classes"
"H03G3/3005","{in amplifiers suitable for low-frequencies, e.g. audio amplifiers  (H03G3/32, H03G3/34 take precedence)}","H03G3/32|H03G3/34","","","","","","This place covers: In this subgroup, analogue and digital audio systems are included. Digital audio systems should additionally be classified in  ."
"H03G3/3036","{in high-frequency amplifiers or in frequency-changers  (H03G3/3052, H03G3/32, H03G3/34 take precedence)}","H03G3/3052|H03G3/32|H03G3/34","","","","","","This place covers: This subgroup specially includes AGCs in high frequency amplifiers e.g., pre amplifiers If the AGC is used in transmitters or if the AGC is used in power amplifiers, they are classified in the following sub groups."
"H03G3/3042","{in modulators, frequency-changers, transmitters or power amplifiers  (transmission power control in bidirectional transmission systems H04W52/04)}","H04W52/04","","","","","","This place covers: In this subgroup many examples of controlling the gain in amplifiers in transmitters e.g. in base stations, mobile phones, WLAN, and power amplifiers are included ."
"H03G3/3047","{for intermittent signals, e.g. burst signals}","","","","","","","This place covers: Circuits to control the burst of the transmission signal.In this subgroup many examples for controlling amplifiers in transmitters e.g. in base stations, mobile phones, WLAN, and power amplifiers are included. This subgroup is used if the burst is important for controlling the amplification."
"H03G3/3052","{in bandpass amplifiers (H.F. or I.F.) or in frequency-changers used in a (super)heterodyne receiver  (H03G3/32, H03G3/34 take precedence)}","H03G3/32|H03G3/34","","","","","","This place covers: This subgroup is a heading subgroup for controlling the amplification of receivers and band pass amplifiers."
"H03G3/3057","{using at least one diode as controlling device}","","","","","","","This place covers: This subgroup includes many amplifiers in RECEIVERS (mobile phones, WLAN....). This subgroup is used if especially a diode is important as controlling element."
"H03G3/3063","{using at least one transistor as controlling device, the transistor being used as a variable impedance device}","","","","","","","This place covers: This subgroup includes many amplifiers in RECEIVERS (mobile phones, WLAN....). This subgroup is used if it is important that at least one transistor is used as controlling element."
"H03G3/3068","{Circuits generating control signals for both R.F. and I.F. stages}","","","","","","","This place covers: This subgroup includes many amplifiers in RECEIVERS (mobile phones, WLAN....). This subgroup is used if both R.F. stages and I.F. stages are controlled."
"H03G3/3073","{Circuits generating control signals when no carrier is present, or in SSB, CW or pulse receivers}","","","","","","","This place covers: This subgroup includes receivers. This subgroup is e.g. used if the pulse is important for controlling the gain."
"H03G3/3078","{Circuits generating control signals for digitally modulated signals}","","","","","","","This place covers: This subgroup includes many amplifiers in RECEIVERS (mobile phones, WLAN....) This subgroup includes most of the modern receivers, since they are based on digital modulation, e.g. OFDM......"
"H03G3/3089","{Control of digital or coded signals}","","","","","","","This place covers: This subgroup includes many digital audio systems. Digital audio systems should additionally be classified in   or attached sub groups. This subgroup is also used for digital hf systems."
"H03G3/32","the control being dependent upon ambient noise level or sound level","","","","","","","This place covers: This subgroup includes many audio systems, whereby the noise signal is important for controlling the volume. These systems are often used in cars."
"H03G5/00","Tone control or bandwidth control in amplifiers","","Hearing aidsControl circuits for electronic adaptation of the sound field","H04R25/00|H04S7/00","","","","This place covers: This main group mainly consists of audio amplifiers. The characteristic of an audio signal is changed, so that the sound of the signal is changed. This is the function of tone control. The second possibility is bandwidth control, which includes also the control of high frequency bandwidth."
"H03G5/005","{of digital signals  (see provisionally also H03G5/00)}","H03G5/00","","","","","","This place covers: Modern audio systems are mostly digital systems. This subgroup mainly includes the digital tone control systems. If the system is a digital audio system it should be put additionally into  ,   or  ."
"H03G5/02","Manually-operated control  (variable bandpass or bandstop filters H03H7/12)","H03H7/12","","","","","","This place covers: In former years, tone control was mainly dominated by manual operation. Also today, the manual input is sometimes the important part of the device. This subgroup covers the manual operation of the tone control."
"H03G5/16","Automatic control","","","","","","","This place covers: This subgroup brings the automatic feature to the tone control."
"H03G5/165","{Equalizers; Volume or gain control in limited frequency bands}","","","","","","","This place covers: This subgroup contains equalizers. The audio signal is divided into different bands and the bands are treated separately. Digital audio equalizers should also be classified in "
"H03G7/00","Volume compression or expansion in amplifiers {(frequency dependent H03G9/00)}","H03G9/00","Logarithmic function generatorsHearing aids","G06G7/24|H04R25/00","","","","This place covers: This main group mainly consists of audio amplifiers. The controlling is independent of frequency. This main group includes: soft limiting, soft clipping, logarithmic amplifiers, and includes also: gain control which is linear in dB, Dolby compression."
"H03G7/001","{without controlling loop  (H03G7/007, H03G7/02, H03G7/06 take precedence)}","H03G7/007|H03G7/02|H03G7/06","","","","","","This place covers: This subgroup includes also limiting amplifiers, logarithmic amplifiers (also high frequency amplifiers) . In this context the controlling loop from the output of the system to the amplifier is missing. This results in that no strong time delay is present in the controlling."
"H03G7/002","{in untuned or low-frequency amplifiers, e.g. audio amplifiers  (H03G7/007, H03G7/001, H03G7/008, H03G7/02, H03G7/06 take precedence)}","H03G7/007|H03G7/001|H03G7/008|H03G7/02|H03G7/06","","","","","","This place covers: This subgroup mainly consists of audio amplifiers. The controlling is independent of frequency. This subclass also includes systems, if the audio system is only presented in the application in the form of functional blocks. If the system is a digital audio system it should be put into   and "
"H03G7/007","{of digital or coded signals  (see provis. also H03G7/00)}","H03G7/00","","","","","","This place covers: Modern audio systems are mostly digital systems. This subgroup mainly includes the digital volume compression and expansion systems. If the system is a digital audio system it should be put into   and "
"H03G9/00","Combinations of two or more types of control, e.g. gain control and tone control","","Hearing aidsControl circuits for the electronic adaptation of the sound field","H04R25/00|H04S7/00","","","","This place covers: This main group mainly consists of audio amplifiers. At least two types of controlling are combined into one invention."
"H03G9/005","{of digital or coded signals}","","","","","","","This place covers: Modern audio systems are mostly digital systems. This subgroup includes the digital systems in which at least two types of controlling are combined into one invention. This subgroup contains many psycho-acoustic systems."
