"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H04L","TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION  ({coding or ciphering apparatus for cryptographic or other purposes involving the need for secrecy G09C;} arrangements common to telegraphic and telephonic communication H04M)","G09C|H04M","TypewritersOrder telegraphs, fire or police telegraphsVisual telegraphy Teleautographic systemsCoding, decoding or code conversion, in generalSpread spectrum techniques in generalSelecting","B41J|G08B|G08B|G08C|H03M|H04B1/69|H04Q","","","","This place covers: Transmission of signals having been supplied in digital form, e.g. data transmission, telegraphic communication, or methods or arrangements for monitoring. As the scope of   covers a diversity of subject matter, the user is referred to the definitions for the main groups of  . The following list is intended to assist the user. Systems: characterised by the code used, e.g. Morse or Baudot; details, see definition for groups  ,  ,  ; step by step systems, see definition for group  ; mosaic printer telegraph systems, see definition for group  ; systems not covered by  - , see definition for group  ; baseband systems, see definition for group  ; modulated carrier systems, see definition for group  ; data switching networks, see definition for group  . Arrangements of general application: security: errors; secrecy, see definition for groups  ,  ; multiple communications, see definition for groups  ,  ; other arrangements, apparatus or systems, see definition for group  . network architectures or network communication protocols for network security "
"H04L1/00","Arrangements for detecting or preventing errors in the information received {(correcting synchronisation H04L7/00)}","H04L7/00","Computer systemsError correction or detection in electrical digital data processing - Coin-feed or like apparatus with coded identity card or credit cardError correction in speech codingCodes for error detection or error correction per se, i.e. theoretical code construction and coding circuit architecture designs TransmissionDiversity Systems for radio transmission systemsError detection and correction for transmission of compressed video (e.g. MPEG), ","G06F|G06F11/00|G06F11/20|G07F7/08|G10L19/005|H03M13/00|H04B|H04B7/02|H04N19/89|H04N21/2383","Classification into the main group  itself should be avoided and instead its relevant subgroups should be used by identifying the particular error technique used. If no other group can be assigned for error control applicable to transmission systems, then it may be assigned to this main group.In addition an Indexing Code can be given under  for network topology, which is of interest to .","H04L1/00|H04L2001/0092|H04L1/00","","This place covers: Codes for error detection or error correction, i.e. theoretical code construction and coding circuit architecture designs are classified in  ; the application of such codes in transmission systems is covered by   subgroups."
"H04L1/0001","{Systems modifying transmission characteristics according to link quality, e.g. power backoff  (adaptive data allocation for multicarrier modulation H04L5/0044; controlling transmission power for radio systems H04W52/04)}","H04L5/0044|H04W52/04","Splitting-up the transmission path, e.g. time, frequency etc.Allocating sub-channels of the transmission pathNegotiation of transmission parameters unrelated to channel qualityAdaptation of equalizers (attention: Indexing Code), Transmit line pre-equalization, e.g. precoding, MIMO calibrationMultichannel equalizers (attention: Indexing Code)Adaptation of timing of transmitters in a networkMode change for facsimile transmissionNetwork traffic and resource managementCommunication route selection based on channel qualityWireless resource allocation","H04L5/0001|H04L5/003|H04L5/1438|H04L25/03019|H04L2025/03535|H04L25/03343|H04L2025/03426|H04J3/06|H04N1/3333|H04W28/00|H04W40/12|H04W72/04","Adaptive techniques are covered by specific subgroups under  unless they are other aspects, e.g. frequency hopping, adaptive slew rate, adaptive interleaving, DSL power back-off.ARQ adaptive retransmission aspects should be classified mainly under the ,  subgroups.","H04L1/0001|H04L1/16|H04L1/18","","This place covers: General link adaptation techniques, including power control for non-radio links, and handshaking procedures involving link adaptation."
"H04L1/0002","{by adapting the transmission rate}","","Allocation of payloadManagement of data rate of a busNetwork nodes adapting their rate to physical link propertiesRate modificationExplicit feedback to the sourceNegotiation of communication rate in wireless communicationPower control taking into account the transmission rate","H04L5/0044|H04L12/4013|H04L12/40136|H04L47/25|H04L47/26|H04W28/22|H04W52/267","","","","This place covers: The end raw rate at which bits are transmitted through the channel, e.g. after encoding."
"H04L1/0003","{by switching between different modulation schemes}","","","","Adaptation of modulation is classified in  even if line bitrate remains constant, e.g. switch-over from 8-QAM to 8-PSK.Adaptation of modulation and coding schemes (MCS/AMR) are classifed also under .Particular ARQ physical mapping aspects should be classified mainly under the  or .","H04L1/0003|H04L1/0009|H04L1/1893|H04L1/1861","","This place covers: Also adaptive CDMA and direct sequence spread spectrum is covered by this subgroup."
"H04L1/0004","{applied to control information}","","","","If the adaptation concerns both control and payload then only  is used.","H04L1/0003","",""
"H04L1/0005","{applied to payload information}","","","","If the adaptation concerns both control and payload then only  is used.","H04L1/0003","",""
"H04L1/0006","{by adapting the transmission format}","","","","","","","This place covers: This group covers adaptive formatting aspects, e.g. adaptive slot allocation, or adaptive packet formats other than coding."
"H04L1/0007","{by modifying the frame length}","","","","","","","This place covers: Frame or packet length adaptation at lower OSI layers."
"H04L1/0009","{by adapting the channel coding  (H04L1/1812 takes precedence)}","H04L1/1812","","","ARQ redundancy schemes are classified under the subgroups of .Repetition coding per se is classified also in ; other types of codes under the subgroups of .Adaptation of space-time coded transmissions, in particular modification of the space-time matrix is classified under the subgroups of .Adaptation of modulation and coding schemes (MCS) are classified also under .","H04L1/1812|H04L1/08|H04L1/004|H04L1/0618|H04L1/0003","","This place covers: Also switching between uncoded and coded modes."
