"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H04M","TELEPHONIC COMMUNICATION  (circuits for controlling other apparatus via a telephone cable and not involving telephone switching apparatus G08)","G08","Counting mechanismsInformation storage based on relative movement between record carrier and transducerArrangements of electric cables or lines between relatively-movable partsMultiplex transmission between switching centresSelecting TransducersWireless communication networks","G06M|G11B|H02G11/00|H04J|H04Q|H04R|H04W","","","ExchangeSynonym for telephone switch.SatelliteA kind of exchange the operation of which depends upon control signals received from a supervisory exchange.SubscriberGeneral term for a user of terminal equipment, e.g. for the user of a telephone set, or for any equipment used by subscribers, e.g. telephones for public use.SubstationSubscriber or monitoring equipment which may connect a single subscriber to a line without choice as to subscriber.Switching centresInclude exchanges and satellites.Voice mail systemA centralized system for managing telephone messages for a large group of users.","This place covers: Subscriber equipment (fixed and mobile phones), e.g. Constructional features of telephone sets, User interfaces for telephones. Telecommunication systems including subscriber equipment and exchanges, e.g. Interconnection arrangements between switching centres, Interconnection arrangements not involving centralized switching, Metering arrangements, Time-controlling arrangements, Time-indicating arrangements, Party line systems, Prepayment telephone systems, Current supply arrangements for telephone systems, Computer telephony integration (CTI), SPIT and SPAM prevention in telephony; Telephonic communication systems combined with other electrical systems; Testing arrangements peculiar to telephonic communication systems."
"H04M1/00","Substation equipment, e.g. for use by subscribers  (subscriber services or facilities provided at exchanges H04M3/00; prepayment telephone coin boxes H04M17/00; current supply arrangements H04M19/08)","H04M3/00|H04M17/00|H04M19/08","","","","","","This place covers: Subscriber equipment e.g. for use by subscribers (fixed and mobile phones); . Constructional details of telephone sets; Arrangements for indicating or recording called number or number of calling subscriber at the substation equipment; Arrangements for answering calls and for recording messages and conversations at the substation equipment; Substation extension, e.g. cordless telephones; Arrangements for testing; User guidance features in telephone sets; Devices for signalling identity of wanted subscriber, e.g. telephone directories; Substation equipment including speech amplifiers; Arrangements for preventing unauthorized or fraudulent calling. User interfaces for telephones applications."
"H04M1/003","{Telephone sets using electrooptical means in the transmission path}","","","","","","",""
"H04M1/02","Constructional features of telephone sets","","Portable telephone sets- Casings, cabinets or drawers for electric apparatus in general","H04M1/0202|H04M1/0279|H05K5/00","","","",""
"H04M1/0202","{Portable telephone sets, e.g. cordless phones, mobile phones or bar type handsets  (constructional features of telephone transmitters or receivers, e.g. of speakers or microphones H04M1/03)}","H04M1/03","Construction or mounting dialsArrangements for reducing RF exposure to the user","H04M1/23|H04B1/3838","","","","This place covers: Constructional features of portable telephones. It is irrelevant whether they are mobile phones or handsets of a cordless phone having a local base station (e.g. DECT) at the user's premises. This group is intended to contain only candy-bar type telephone having no moving parts. For portable telephones having moving parts see below. Example:"
"H04M1/0206","{Portable telephones comprising a plurality of mechanically joined movable body parts, e.g. hinged housings}","","","","Documents are only classified in this class when none of the lower classes applies.","","","This place covers: Main aspect is the motion of body parts. This group is intended for documents that do not fit in any of the lower level groups. Example EP1843554"
"H04M1/0208","{characterized by the relative motions of the body parts}","","","","","","","This place covers: Neither rotatable nor foldable in the sense of the definitions of the classes   or  : the axis of the movement is neither perpendicular nor parallel to the plane defined by the bodies in the closed position. This group is for portable telephones having moving parts and that do not fit in any of the groups  ,  ,   or  . Example: EP1659700"
"H04M1/021","{using combined folding and rotation motions  (combined with translation movement H04M1/0235)}","H04M1/0235","","","","","","This place covers: Only foldable and rotatable phones without mechanical details of the hinge would be classified here (when combined with translation movement  ). Example: US2004/0203485"
"H04M1/0212","{with a two degrees of freedom mechanism, i.e. folding around a first axis and rotating around a second axis perpendicular to the first}","","","","","","","This place covers: This group is for documents disclosing details of the hinge mechanism that allow two degrees of freedom in the sense defined in the group  , i.e. folding around a first axis and rotating around a second axis, which is perpendicular to the first one. Example:EP1298890"
"H04M1/0214","{Foldable telephones, i.e. with body parts pivoting to an open position around an axis parallel to the plane they define in closed position  (combined with translation movement H04M1/0235)}","H04M1/0235","Using combined folding and rotation motions","H04M1/021","Indexing Codes will be converted to index classes and considered as additional information","","","This place covers: Only foldable and portable phone without mechanical details of the hinge. Example:EP1595386 :"
