"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H04W","WIRELESS COMMUNICATION NETWORKS  (broadcast communication H04H; communication systems using wireless links for non-selective communication, e.g. wireless extensions H04M1/72)","H04H|H04M1/72","Arrangements for programme control, e.g. control unitWireless sensing of record carriersSignalling or calling systemsTraffic control systemsTransceivers, i.e. devices in which transmitter and receiver form a structural unit and in which at least one part is used for functions of transmitting and receivingSpread spectrum techniques in generalNear-field transmission systems, e.g. inductive loop typeControl of transmission; EqualisingDiversity systemsSpace-based or airborne stationsFor communication between two or more posts at least one of which is mobileTransmission systems employing electromagnetic waves other than radio wavesTransmission systems employing sonic, ultrasonic or infrasonic wavesTransmission systems characterised by the medium used for transmissionMultiplex communicationArrangements for detection or preventing errors in the information receivedArrangements affording multiple use of the transmission pathArrangements for synchronising receiver with transmitterData switching networksModulated-carrier systemsCommunication control or processing characterised by a protocolTelephonic communicationTelephonic substation equipmentTelephonic automatic or semi-automatic exchangesMetering arrangements; Time controlling arrangements; Time- indicating arrangementsPrepayment telephone systemsArrangements using wireless links for the sole purpose of telecontrol or telemetry systems","G06F9/00|G06K7/10|G08B|G08G|H04B1/38|H04B1/69|H04B5/00|H04B7/005|H04B7/02|H04B7/185|H04B7/26|H04B10/00|H04B11/00|H04B13/00|H04J|H04L1/00|H04L5/00|H04L7/00|H04L12/00|H04L27/00|H04L29/06|H04M|H04M1/00|H04M3/00|H04M15/00|H04M17/00|H04Q9/00","","","Access pointmeans an equipment providing wireless user access to a backbone network by terminating a radio link.BSCBase Station ControllerBTSBase Transceiver StationBackbone networkdesignates equipment(s) for connecting one or several wireless access points to a wired or wireless infrastructure in order to allow communication(s) between users' inside or outside the wireless network.Care-of-addressdesignates the termination point of a tunnel toward a mobile node, for datagrams forwarded to the mobile node while it is away from home. Cellularan infrastructure deployment involving partitioning geographical areas in a plurality of sub-areas (cells) for the purpose of reusing wireless resources. Communication linkmeans a physical or logical connection selectively established for the purpose of conveying messages or information between users or networks.Connectionmeans network resource(s) allocated or reserved for an affiliated user.Connected statedesignates the state of a user/terminal having active i.e. allocated logical traffic/control channel, dormant or suspended, i.e. without allocated logical channels but with maintained service instances. It also incorporates context (PDP context), User Plane, Control Plane operations.Control channeltransports control information used to control the function of the network element. (""signalling channel"", e.g. paging channel, broadcast channel, pilot channel).Core network, CN 3GPP standard terminology. PLMN architecture is divided into Core Network (CN) and Access Network (AN). Whereas Access Network comprises GERAN (BSS for GSM), UTRAN (RNS) and E-UTRAN, Core Network is logically subdivided into a Circuit Switched (CS) domain, a Packet Switched (PS) domain and an IP Multimedia (IM) subsystem. Correspondent nodea peer with which a mobile node is communicating. A correspondent node may be either mobile or stationary.Data network PoA [Point of Attachment]entity within wireless network or mobility management infrastructure providing access to a data network for a wireless user.Direct modeestablishing a direct communication link between user/terminal; the link can be established using an intermediate node.Domain;CS domain, PS domain3GPP standard terminology. Circuit Switched domain (CS domain) refers to the set of all core network entities offering ""circuit switched type of connection"" for user traffic and for the related signalling. Dedicated network resources are allocated at connection establishment and released at connection release. Entities specific to the CS domain are: MSC, GMSC, VLR. The Packet Switched domain (PS domain, Packet domain) refers to the set of all core network entities offering ""packet switched type of connection"" for user traffic and for supporting the related signalling. Transports user information using autonomous concatenation of bits called packets: each packet can be routed independently from the previous one. PS domain includes General Packet Radio Service (GPRS) and Evolved Packet Core (EPC). Entities specific to the PS domain are: SGSN, GGSN, PDN GW, S-GW, MME, SGSN. CS and PS domains also have common network entities: e.g, HSS, HLRDownlinkmeans the wireless link from a wireless access point or network towards the user or terminal equipment (see also ""uplink"").Fixed allocation (of a dedicated resource)allocation of a resource that is not changed with each frame or time slot. It is also named ""persistent or semi-persistent scheduling"".Hand-off, handovera change of radio link or data network point of attachment, while a connection is ongoing. Home networkdesignates the network performing functions at a permanent location regardless of the location of the user's access point. The home network is responsible for subscription information management and for specific services not provided by the serving network; dedicated equipment used therefore is designed by HLR (Home Location Register); also Home Agent, Home Subscriber Server.Idle statedesignates the state of a user/terminal having no active traffic/control channel and no active service instances but being affiliated to the network. (See also ""null state"") Mobility bindingdesignates the association of a home address with a care-of address, along with the remaining lifetime of that association.Mobility datainformation obtained by the network or exchanged by network components, in particular user affiliation or location data, to be used in providing a network serviceMobility managementdesignates techniques or arrangements allowing operation of, or services to be provided to, a user capable of selecting or changing his point of attachment to the network. Mobility serverA network functional entity acting as an established reference point in location registration operations by (or on behalf of) a mobile user/terminal.Mobile nodedesignates a host or router that changes its point of attachment from one network or subnetwork to another, without changing its constant home IP address. Multi-callmeans a plurality of communication links established over one or a plurality of networks for transferring information to one user/terminal.Multiplexingsorting packets of flows onto one or several channels in time, frequency, code and space division. better or space division. Networkmeans the physical or logical entities involved in providing communication services to users.Network security(see Tanenbaum) roughly means the four intertwined areas: secrecy, authentication, nonrepudiation and integrity control for a interconnected collection of autonomous nodes, e.g, computers Null statedesignates the state of a user/terminal having no active traffic/control channel and no active service instances.Originatingmeans a user/terminal acting as a requester for communication towards a wireless access point.Packet domain PLMN backbone networkThe 3GPP standard terminology defines two kinds of packet domain PLMN backbone networks: The intra-PLMN backbone network is the IP network comprising routers interconnecting ps domain(s) within the same PLMN. The inter-PLMN backbone network is the IP network comprising routers interconnecting ps domain(s) of different PLMNs. PagingNotifying a terminating user of a communication event.Paging serviceone-way selective calling service.Partitioningmeans distributing/committing specific resources to a particular/specific network component.Pollingquestioning for needed transmission resources and according instant allocation for immediate transmission. Private networksdesignates networks owned and operated by non-public authorities.QoSQuality of ServiceResource allocationmeans allocation of a resource to a communication.Resource distributionmeans committing a resource to an entity for future allocation thereof for communication.RNCRadio Network ControllerScheduling means establishing an order of transmission of communication information based on precedence or priority policies.Scheduled accessaccess to a wireless resource follows a schedule or os performed in a defined order.Scheduled allocationresource allocation is continuously changed or adapted during a connection according to a transmission schedule. This requires the usage of a shared channel.(semi-) persistent schedulingallocation of resources that is persistent for a number of (consecutive) time slots or frames according to a transmission schedule. This requires the usage of a shared channel. Serving networkdesignate the part of the network to which the access point providing user's access is connected. The serving network is responsible for path finding and transport of users data; dedicated equipment used therefore is designed by VLR (Visitor Location Register; also Foreign Agent, Visiting Subscriber Server.SLAService Level AgreementSubscribermeans an entity recognized and authorized as user.Terminalmeans the equipment acting as/or on behalf of a user.Terminatingmeans a user/terminal specified as a recipient for communication from within or via a wireless network.Trackingmonitoring a user or terminal activity in the network for purposes of gathering, e.g. location, activity or status information.Traffic channeltransports communication information (user data) to and from one or several users.Trigger, triggeringthe act of initiating an action. This could be caused by certain criteria or events or involve the exchange of information. (transmission) schedulingdefines an order of transmission of one or several data flows in time, frequency, code and space dimension.Uplinkmeans the wireless link from the user or terminal equipment towards a wireless network or access point (see also ""Downlink"").Usermeans an entity acting as an information source (sender, transmitter, server) or information sink (recipient, receiver, client).Wireless extensionmeans equipment using a pre-defined dedicated wireless link.Wireless linkmeans a communication link established via radio, infra-red, inductive or other electromagnetic radiation.Wireless resourcemeans a communication link using a specific frequency, time, code or space (or combination thereof).Zoneddesignates an infrastructure deployment involving partitioning geographical areas in a plurality of sub-areas (zones, cells) for the purpose of reusing wireless resources.","This place covers: Communication networks deploying an infrastructure for mobility management of wireless users connected thereto, e.g. cellular networks, wireless LANs. Self organizing wireless communication networks, e.g. ad-hoc networks. Wireless access networks e.g. Wireless Local Loop. Said networks being used for selectively establishing one or a plurality of communication links between a desired number of users or between users and network equipments for the purpose of transferring information via these communication links. Arrangements or techniques for planning, deploying wireless networks. Arrangements or techniques specially adapted for wireless service provisioning. Arrangements or techniques specially adapted for wireless network operation."
"H04W4/00","Services specially adapted for wireless communication networks; Facilities therefor","","Wireless network securityCharging, metering arrangements, , Broadcast or conference in data switching networksMessage switching systemsNetwork arrangements or protocolsNetwork architectures or network communicationsNetwork arrangements or protocols in real timeNetwork arrangements or communication protocols for networked applicationsApplication independent communication protocol aspectsTelephonic communication, substation extension arrangements, cordless telephones, portable communication terminals with improved user interface to control a main telephone operation mode or to indicate the communication statusTelephonic communication systems providing special services or facilities to subscriber","H04W12/00|H04L12/14|H04M15/00|H04M17/00|H04L12/18|H04L51/00|H04L61/00|H04L63/00|H04L65/00|H04L67/00|H04L69/00|H04M1/72403|H04M3/42","","","Affiliatedmeans a user or terminal being recognized by a network and/or authorized to use network resources","This place covers: Providing wireless communication services by or via one or a plurality of network equipment to one or a plurality of affiliated user or terminal equipment."
"H04W4/06","Selective distribution of broadcast services, e.g. multimedia broadcast multicast service [MBMS]; Services to user groups; One-way selective calling services","","Resource management for broadcast servicesConnection management for selective distribution or broadcast","H04W72/005|H04W76/40","","","",""
"H04W4/10","Push-to-Talk [PTT] or Push-On-Call services","","Connection management for Push-to-Talk [PTT] or Push-to-Talk over cellular [PoC] servicesArrangements for real-time multimedia Push-to-X-Services ","H04W76/45|H04L65/4061","","","",""
"H04W8/00","Network data management","","","","","","","This place covers: Managing network data, e.g. storing, updating, transferring, obtaining or exchanging operation data, mobility data, user service data or terminal service data."
"H04W8/005","{Discovery of network devices, e.g. terminals}","","Connectivity information management, e.g. connectivity discovery or updateDiscovering, processing access restriction or access informationArrangements for service discovery, e.g. Service Location ProtocolProtocols for network applications involving the display to the application user of network conditions affecting the network applicationNetwork service discovery by a Service Manager","H04W40/24|H04W48/16|H04L29/08648|H04L29/0899|H04L41/5058","","","","This place covers: (RE-)scanning for and (re-)discovery of terminals or devices; inquiry methods"
"H04W8/02","Processing of mobility data, e.g. registration information at HLR [Home Location Register] or VLR [Visitor Location Register]; Transfer of mobility data, e.g. between HLR, VLR or external networks","","Network layer protocols, e.g. mobile IP [Internet Protocol]","H04W80/04","","","","This place covers: Processing, e.g. storing, updating of mobility data; Transfer of mobility data."
"H04W8/04","Registration at HLR or HSS [Home Subscriber Server]","","","","","","","This place covers: Registration of user or terminal affiliation or location information."
"H04W8/06","Registration at serving network Location Register, VLR or user mobility server","","","","","","","This place covers: Temporary or semi-permanent registration of user or terminal mobility data at a user mobility server not being the permanent reference point for mobile data queries."
"H04W8/065","{involving selection of the user mobility server}","","","","","","","This place covers: Selecting a user mobility server for registration."
